,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q3 2023,Q2 2023,Q1 2023
,Period Ending,"Mar '25 Mar 12, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023"
0,Market Capitalization,25639,17918,18906,-,-,-,-
1,Enterprise Value,25172,17309,18021,-,-,-,-
2,Last Close Price,60.29,42.43,44.52,-,-,-,-
3,PE Ratio,215.32,28.69,34.54,-,-,-,-
4,PS Ratio,10.49,5.16,6.02,-,-,-,-
5,PB Ratio,20.42,6.24,7.00,-,-,-,-
6,P/TBV Ratio,-,6.59,7.43,-,-,-,-
7,P/FCF Ratio,-,132.40,-,-,-,-,-
8,P/OCF Ratio,-,22.21,33.79,-,-,-,-
9,EV/Sales Ratio,12.13,4.99,5.74,-,-,-,-
10,EV/EBITDA Ratio,122.76,-,50.09,-,-,-,-
11,EV/EBIT Ratio,223.82,21.31,26.41,-,-,-,-
12,EV/FCF Ratio,-93.55,127.90,-,-,-,-,-
13,Debt / Equity Ratio,0.12,0.14,0.15,0.13,-,-,-
14,Debt / EBITDA Ratio,0.68,-,0.47,-,-,-,-
15,Debt / FCF Ratio,-,2.99,-,4.04,-,-,-
16,Asset Turnover,0.79,0.80,-,-,-,-,
17,Inventory Turnover,5.40,6.11,6.66,-,-,-,-
18,Quick Ratio,0.54,1.13,1.40,1.57,-,-,-
19,Current Ratio,0.79,1.48,1.67,1.89,-,-,-
20,Return on Equity (ROE),24.85%,26.16%,-,-,-,-,
21,Return on Assets (ROA),11.95%,9.62%,-,-,-,-,
22,Return on Capital (ROIC),18.40%,14.59%,-,-,-,-,
23,Return on Capital Employed (ROCE),9.03%,24.38%,21.33%,18.98%,-,-,-
24,Earnings Yield,0.39%,3.49%,2.89%,-,-,-,-
25,FCF Yield,-1.05%,0.76%,0.32%,-,-,-,-
26,Payout Ratio,4.36%,1.81%,62.39%,4.37%,-,1.20%,6.06%
27,Buyback Yield / Dilution,-14.41%,-9.67%,-,-,-,-,
28,Total Shareholder Return,0.41%,-14.41%,-9.67%,-,-,-,-
