,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q3 2023,Q2 2023,Q1 2023
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023"
0,Other Revenue,-98.3,98.3,-,-62.06,62.06,-
1,Revenue,975.08,921.23,784.36,788.93,647.68,524.53
2,Revenue Growth (YoY),50.55%,75.63%,-,-,-,-
3,Cost of Revenue,633.66,640.18,514.14,482.94,457.41,367.73
4,Gross Profit,341.42,281.04,270.22,306,190.26,156.8
5,"Selling, General & Admin",52.12,45.95,50.99,55.91,44.62,34.79
6,Research & Development,50.42,48.39,31.71,29.08,29.57,27.41
7,Other Operating Expenses,1.09,1.39,0.35,0.07,0.82,0.98
8,Operating Expenses,106.28,103.83,83.91,92.49,84.9,62.25
9,Operating Income,235.14,177.21,186.31,213.51,105.36,94.55
10,Interest Expense,-4.36,-4.14,-3.44,-3.21,-3.99,-3.46
11,Interest & Investment Income,5.26,5.16,3.26,0.89,0.7,0.39
12,Currency Exchange Gain (Loss),-25.58,25.58,-,-21.4,21.4,-
13,Other Non Operating Income (Expenses),4.16,-7.96,6.81,16.12,9.69,-11.83
14,EBT Excluding Unusual Items,214.62,195.84,192.95,205.91,133.16,79.65
15,Gain (Loss) on Sale of Investments,13.47,-2.88,-9.42,-2.7,-37.24,-4.69
16,Gain (Loss) on Sale of Assets,-0.09,-0.33,-0.09,-,0.14,0.54
17,Asset Writedown,-45.11,3.29,-3.31,-41.81,6.96,-8.74
18,Other Unusual Items,-0,-2.95,-,-0.39,0.39,-
19,Pretax Income,182.89,192.98,180.13,161,103.42,66.77
20,Income Tax Expense,9.78,18.68,35.05,28.95,7.52,4.88
21,Net Income,173.11,174.3,145.09,132.05,95.9,61.89
22,Net Income to Common,173.11,174.3,145.09,132.05,95.9,61.89
23,Net Income Growth,80.51%,181.65%,-,-,-,-
24,Shares Outstanding (Basic),427,424,380,384,373,387
25,Shares Outstanding (Diluted),427,424,380,384,373,387
26,Shares Change (YoY),14.41%,9.67%,-,-,-,-
27,EPS (Basic),0.41,0.41,0.38,0.34,0.26,0.16
28,EPS (Diluted),0.41,0.41,0.38,0.34,0.26,0.16
29,EPS Growth,57.78%,156.81%,-,-,-,-
30,Free Cash Flow,103.46,-98.26,64.54,65.58,29.18,-77.77
31,Free Cash Flow Per Share,0.24,-0.23,0.17,0.17,0.08,-0.20
32,Gross Margin,35.01%,30.51%,34.45%,38.79%,29.38%,29.89%
33,Operating Margin,24.11%,19.24%,23.75%,27.06%,16.27%,18.03%
34,Profit Margin,17.75%,18.92%,18.50%,16.74%,14.81%,11.80%
35,Free Cash Flow Margin,10.61%,-10.67%,8.23%,8.31%,4.51%,-14.83%
36,EBITDA,-,215.84,-,-,143.91,-
37,EBITDA Margin,-,23.43%,-,-,22.22%,-
38,D&A For EBITDA,-,38.63,-,-,38.56,-
39,EBIT,235.14,177.21,186.31,213.51,105.36,94.55
40,EBIT Margin,24.11%,19.24%,23.75%,27.06%,16.27%,18.03%
41,Effective Tax Rate,5.35%,9.68%,19.46%,17.98%,7.27%,7.31%
42,Revenue as Reported,975.08,921.23,784.36,788.93,647.68,524.53
