,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q3 2023,Q2 2023,Q1 2023
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023"
0,Cash & Equivalents,871.85,1023.0,1215,-,-,-
1,Cash & Short-Term Investments,871.85,1023.0,1215,-,-,-
2,Accounts Receivable,1131,1034.0,870.53,-,-,-
3,Other Receivables,18.93,69.13,14.69,-,-,-
4,Receivables,1150,1103.0,885.22,-,-,-
5,Inventory,425.08,404.42,364.29,-,-,-
6,Other Current Assets,200.48,14.44,56.36,-,-,-
7,Total Current Assets,2647,2545.0,2521,-,-,-
8,"Property, Plant & Equipment",2147,1940.0,1753,-,-,-
9,Other Intangible Assets,152.17,153.85,154.96,-,-,-
10,Long-Term Deferred Tax Assets,61.47,57.25,44.78,-,-,-
11,Long-Term Deferred Charges,4.04,3.53,2.66,-,-,-
12,Other Long-Term Assets,110.16,19.32,17.45,-,-,-
13,Total Assets,5121,4719.0,4493,-,-,-
14,Accounts Payable,1465,1201.0,1022,-,-,-
15,Accrued Expenses,73.11,98.72,56.86,-,-,-
16,Short-Term Debt,60.2,74.25,44,-,-,-
17,Current Portion of Long-Term Debt,110.33,67.48,-,-,-,-
18,Current Portion of Leases,-,4.59,-,-,-,-
19,Current Income Taxes Payable,21.87,30.98,47.12,-,-,-
20,Current Unearned Revenue,11.66,5.04,4.87,-,-,-
21,Other Current Liabilities,47.6,38.26,159.41,-,-,-
22,Total Current Liabilities,1790,1520.0,1334,-,-,-
23,Long-Term Debt,233.26,267.42,284.81,-,-,-
24,Long-Term Leases,0.37,0.02,0.51,-,-,-
25,Long-Term Unearned Revenue,157.71,162.22,167.06,-,-,-
26,Long-Term Deferred Tax Liabilities,67.03,67.03,66.8,-,-,-
27,Other Long-Term Liabilities,0.15,1.9,10.11,-,-,-
28,Total Liabilities,2248,2019.0,1863,-,-,-
29,Common Stock,422.3,422.3,422.3,-,-,-
30,Additional Paid-In Capital,1259,1259.0,1258,-,-,-
31,Retained Earnings,1191,1018.0,949.54,-,-,-
32,Shareholders' Equity,2873,2700.0,2630,-,-,-
33,Total Liabilities & Equity,5121,4719.0,4493,-,-,-
34,Total Debt,404.17,413.76,329.32,-,-,-
35,Net Cash (Debt),467.68,609.34,885.7,-,-,-
36,Net Cash Per Share,1.10,1.44,2.33,-,-,-
37,Filing Date Shares Outstanding,422.3,422.3,422.3,384.04,373.26,386.79
38,Total Common Shares Outstanding,422.3,422.3,422.3,384.04,373.26,386.79
39,Working Capital,857.2,1025.0,1187,-,-,-
40,Book Value Per Share,6.80,6.39,6.23,-,-,-
41,Tangible Book Value,2721,2546.0,2475,-,-,-
42,Tangible Book Value Per Share,6.44,6.03,5.86,-,-,-
43,Buildings,-,862.65,-,-,-,-
44,Machinery,-,1461.0,-,-,-,-
45,Construction In Progress,-,314.5,-,-,-,-
