,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,25,44,119,196,150,203,315,273,285,375,420
1,Market Cap Growth,-77.58%,-77.58%,-20.61%,-3.40%,-52.38%,-25.82%,10.53%,-27.20%,-32.14%,-45.65%,1.82%
2,Enterprise Value,101,85,204,273,141,203,302,264,288,351,425
3,Last Close Price,0.21,0.58,1.57,2.92,2.50,3.38,5.25,4.55,4.75,6.25,7.00
4,PE Ratio,-,-,-,-,-,-,-,-,-,-,20.01
5,PS Ratio,0.16,0.46,1.28,1.87,1.50,1.45,1.78,1.42,1.27,1.47,1.52
6,PB Ratio,0.42,1.17,1.86,2.54,1.66,1.63,2.07,1.45,1.39,1.87,1.93
7,P/TBV Ratio,1.54,1.54,2.17,2.89,1.85,1.78,2.23,1.59,1.51,2.04,2.09
8,P/FCF Ratio,-,-,7.83,-,-,-,-,29.82,-10.43,-,48.79
9,P/OCF Ratio,-,-,7.49,-,-,-,-,25.65,-12.50,-,18.94
10,EV/Sales Ratio,1.06,0.89,2.19,2.60,1.41,1.46,1.71,1.37,1.28,1.38,1.54
11,EV/EBITDA Ratio,-,-,-,-,-,-,-,-,-,-,15.87
12,EV/EBIT Ratio,-,-,-,-,-,-,-,-,-,-,17.61
13,EV/FCF Ratio,-39.18,-,13.38,-,-,-,-,28.87,-10.54,-,49.37
14,Debt / Equity Ratio,2.13,2.13,1.23,1.20,1.00,0.27,0.27,0.21,0.21,0.24,0.31
15,Debt / FCF Ratio,-,-,5.17,-,-,-,-,4.32,-1.59,-,7.83
16,Return on Capital Employed (ROCE),-,-,-,-,-,-,-,-,-,-,10.52%
17,Earnings Yield,-225.01%,-127.06%,-45.62%,-25.20%,-32.57%,-26.48%,-17.28%,-10.96%,-8.80%,-0.99%,5.00%
18,FCF Yield,-10.44%,-5.90%,12.77%,-47.55%,-57.81%,-14.66%,-5.16%,3.35%,-9.59%,2.28%,2.05%
19,Buyback Yield / Dilution,-23.09%,-23.14%,-23.05%,-2.34%,-,-,-,-,-,-,-1.88%
20,Total Shareholder Return,-23.09%,-23.14%,-23.05%,-2.34%,-,-,-,-,-,-,-1.88%
