,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020"
0,Market Capitalization,3252,2591,2827,2402,3046,4527,4793,5365,5312,4663,4922,6906,6073,9001,-,-,-,-
1,Market Cap Growth,-42.76%,-42.76%,-41.01%,-55.23%,-42.67%,-2.91%,-2.64%,-22.31%,-12.54%,-48.20%,-,-,-,-,-,-,-,-
2,Enterprise Value,3711,3049,3203,2623,3024,4505,4626,5092,4702,4052,4105,5940,6378,9306,-,-,-,-
3,Last Close Price,5.51,4.39,4.79,4.07,5.16,7.67,8.12,9.09,9.00,7.90,8.34,11.70,10.29,15.25,-,-,-,-
4,PS Ratio,2.49,1.99,2.43,2.28,3.16,5.23,5.01,5.54,5.65,4.57,5.21,8.24,7.72,12.22,-,-,-,-
5,PB Ratio,5.15,4.10,4.48,3.28,3.40,4.46,3.82,3.95,3.63,2.94,2.89,3.78,3.16,4.48,-,-,-,-
6,P/TBV Ratio,4.28,4.28,4.67,3.41,3.50,4.58,3.90,4.02,3.69,2.99,2.93,3.83,3.20,4.53,-,-,-,-
7,P/OCF Ratio,-,-,-42.75,-11.50,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8,EV/Sales Ratio,2.85,2.34,2.76,2.49,3.14,5.20,4.83,5.25,5.00,3.97,4.34,7.09,8.11,12.64,-,-,-,-
9,EV/EBITDA Ratio,-,-,-6.68,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10,Debt / Equity Ratio,0.82,0.82,0.82,0.64,0.49,0.39,0.37,0.37,0.34,0.30,0.33,0.29,0.24,0.22,1.55,-,0.44,0.44
11,Debt / EBITDA Ratio,-,-,5.95,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
12,Asset Turnover,-,0.53,0.47,0.43,0.38,0.35,0.30,0.24,0.43,0.30,0.22,0.31,0.41,-,-,-,-,
13,Inventory Turnover,-,-,1.65,2.23,1.68,2.74,1.27,1.86,1.38,2.35,1.89,1.76,2.45,2.63,-,-,-,-
14,Quick Ratio,-,-,0.37,0.39,0.50,0.59,0.86,1.02,1.15,1.35,1.42,1.62,1.74,1.64,0.32,-,-,0.61
15,Current Ratio,-,-,0.91,0.96,1.07,1.23,1.51,1.63,1.76,1.94,1.94,2.13,2.27,2.08,0.68,-,-,1.02
16,Return on Equity (ROE),-31.14%,-59.58%,-81.09%,-50.21%,-85.93%,-30.90%,-31.30%,-31.90%,-20.99%,-27.20%,-20.19%,-17.76%,-42.58%,-,-,-59.21%,-,
17,Return on Assets (ROA),-,-0.16%,-18.34%,-8.70%,-28.45%,-4.45%,-12.40%,-8.37%,-13.52%,-7.28%,-7.71%,-7.68%,-15.09%,-,-,-,-,
18,Return on Capital (ROIC),-32.63%,-0.36%,-37.17%,-16.35%,-46.96%,-6.71%,-18.32%,-12.18%,-19.36%,-10.19%,-10.73%,-10.67%,-23.99%,-,-,-28.57%,-,
19,Earnings Yield,-13.39%,-16.81%,-22.30%,-26.22%,-18.89%,-12.74%,-8.75%,-8.17%,-7.96%,-8.33%,-8.61%,-5.83%,-6.69%,-4.45%,-,-,-,-
20,FCF Yield,-,-12.27%,-17.29%,-16.16%,-11.78%,-11.41%,-11.30%,-13.10%,-13.49%,-17.41%,-11.02%,-9.53%,-6.19%,-,-,-,-,
21,Buyback Yield / Dilution,0.02%,-0.03%,-0.40%,3.82%,-3.52%,1.12%,1.46%,-3.26%,0.48%,-7.92%,-40.18%,-33.24%,-28.72%,-22.67%,-,-,-,-
22,Total Shareholder Return,0.02%,-0.03%,-0.40%,3.82%,-3.52%,1.12%,1.46%,-3.26%,0.48%,-7.92%,-40.18%,-33.24%,-28.72%,-22.67%,-,-,-,-
