,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020"
0,Cash & Equivalents,-,57.7,92.25,216.16,288.78,487.66,665.27,775.59,897.17,1173,1356,1424,1605,122.2,-,-,193.39
1,Cash & Short-Term Investments,57.7,57.7,92.25,216.16,288.78,487.66,665.27,775.59,897.17,1173,1356,1424,1605,122.2,-,193.39,193.39
2,Cash Growth,-80.02%,-88.17%,-86.13%,-72.13%,-67.81%,-58.41%,-50.92%,-45.55%,-44.09%,859.52%,-,636.55%,729.70%,-,-,-,-
3,Accounts Receivable,-,469,425.43,459.86,390.75,387.41,392.69,425.96,464.23,434.91,374.6,380.9,386.07,259,-,-,356.99
4,Other Receivables,-,7.94,11.71,7.79,9.82,7.61,11.04,4.45,5.39,2.73,6.91,7.62,5.32,5.43,-,-,3.39
5,Receivables,-,476.94,437.14,467.65,400.57,395.01,403.73,430.41,469.63,437.64,381.52,388.53,391.39,264.42,-,-,360.37
6,Inventory,-,686.88,674.78,658.67,633.1,558.66,546.07,534.84,505.43,515.85,476.3,440.14,430.2,351.7,-,-,279.77
7,Other Current Assets,-,94.72,113.49,110.09,112.11,106.75,92.17,100.79,80.59,74.9,69.88,112.19,106.99,90.53,-,-,86.85
8,Total Current Assets,-,1316,1318,1453,1435,1548,1707,1842,1953,2201,2283,2365,2533,828.86,-,-,920.39
9,"Property, Plant & Equipment",-,1157,1053,982.98,942.32,937.32,914.6,908.93,914.02,915.63,898.84,895.92,780.16,746.71,-,-,549.05
10,Other Intangible Assets,-,26.55,26.78,25.33,27.26,27.35,23.76,25.14,25.75,22.41,23.75,23.08,22.69,22.33,-,-,14.4
11,Long-Term Accounts Receivable,-,-,1.34,1.31,1.28,1.25,3.54,3.45,3.35,-,-,-,-,-,-,-,-
12,Long-Term Deferred Tax Assets,-,89.78,84.34,84.35,90.18,46.77,50.07,50.27,51.63,46.82,46.69,47.09,30.06,34.58,-,-,35.65
13,Long-Term Deferred Charges,-,29.71,30.29,27.88,27.63,26.14,24.65,5,4.61,3.51,3.05,3.06,3.88,4.48,-,-,10.51
14,Other Long-Term Assets,-,7.51,17.71,27.63,32.38,33.51,43.77,45.15,29.89,29.84,8.98,10.01,8.39,8.76,-,-,26.5
15,Total Assets,-,2627,2531,2602,2556,2620,2768,2880,2982,3219,3265,3344,3378,1646,-,-,1557
16,Accounts Payable,-,803.51,-,655.14,465.03,495.36,390.49,505.49,438.33,496.93,465.54,506.79,424.28,512.05,-,-,420.1
17,Accrued Expenses,-,28.29,22.89,29.3,32.68,15.1,17.26,18.87,38.3,15.44,17.57,18.44,41.89,32.63,-,-,34.26
18,Short-Term Debt,-,182.2,189.77,229.18,177.45,230.55,280.31,278.16,241.82,364.35,355.36,267.07,368.56,362.35,-,-,222.28
19,Current Portion of Long-Term Debt,-,81.07,29.66,61.33,19.95,-,0.25,-,0.03,-,-,-,-,-,-,-,-
20,Current Portion of Leases,-,-,45.49,-,46.88,52.2,40.01,46.57,51.1,48.8,30.11,28.95,28.11,19.72,-,-,8.65
21,Current Income Taxes Payable,-,3.49,650.37,2.96,-,3.21,-,4.32,-,3.57,0.05,4.63,-,2.97,-,-,-
22,Current Unearned Revenue,-,310.57,307.16,288.46,245.12,205.99,209.91,171.34,131.73,181.59,141.15,108.2,135.92,125.88,-,-,51.92
23,Other Current Liabilities,-,40.12,125.74,92.53,177.69,23.31,110.67,22.21,107.58,23.35,64.29,109,218.56,165.88,-,-,165.65
24,Total Current Liabilities,-,1449,1371,1359,1165,1026,1049,1047,1009,1134,1074,1043,1217,1221,-,-,902.86
25,Long-Term Debt,-,69.6,9.6,9.7,9.7,29.6,29.6,19.7,19.9,-,-,-,-,-,-,-,9.47
26,Long-Term Leases,-,183.24,193.87,136.28,144.82,153.58,148.32,157.76,165.77,149.12,153.1,163.15,50.44,45.12,-,-,1.08
