,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020"
0,Operating Revenue,384.45,355.19,289.08,274.81,217.84,238.28,206.82,177.96,217,332.82,95.08,258.89,162.41,225.08,44.45,208.47,203.18
1,Other Revenue,-,-14.55,14.55,-,25.34,-5.23,5.23,-,116.9,-87.79,87.79,-,95.91,-87.47,87.47,-,2.38
2,Revenue,384.45,340.64,303.63,274.81,243.18,233.05,212.05,177.96,333.9,245.03,182.87,258.89,258.32,137.61,131.92,208.47,205.56
3,Revenue Growth (YoY),58.09%,46.17%,43.19%,54.42%,-27.17%,-4.89%,15.96%,-31.26%,29.26%,78.06%,38.62%,24.19%,25.67%,-,-,-,-
4,Cost of Revenue,-924.02,280.28,372.34,271.4,408.43,174.91,251.27,178.87,300.44,234.74,202.04,266.45,257.36,157.52,151.56,213.43,241.79
5,Gross Profit,1308,60.36,-68.7,3.42,-165.26,58.14,-39.22,-0.91,33.46,10.29,-19.18,-7.56,0.96,-19.91,-19.64,-4.96,-36.23
6,"Selling, General & Admin",-177.05,53.04,64.18,59.83,72.49,55.43,62.42,47.77,34.49,64.47,54.45,55.24,66.15,50.67,39.37,38.7,41.16
7,Research & Development,-86.28,32.96,29.79,23.53,5.51,55.1,36.51,52.94,78.57,50.99,38.87,45.05,55.66,21.48,36.58,41.37,68.63
8,Other Operating Expenses,1725,-24.01,26.6,5.39,57.98,-7.01,-2.4,-9.71,53.65,-9.1,-10.03,-5.96,26.01,-2.32,-0.43,7.34,21.23
9,Operating Expenses,1458,62.06,119.57,93.21,129.23,106.14,100.82,97.26,201.18,104.67,82.72,95.73,152.56,70.6,62.78,85.46,121.43
10,Operating Income,-149.8,-1.7,-188.28,-89.79,-294.48,-48,-140.05,-98.17,-167.72,-94.38,-101.89,-103.29,-151.6,-90.52,-82.42,-90.42,-157.65
11,Interest Expense,-1.57,-14.73,-0.18,-6.34,-22.03,-1.63,-3.91,-2.64,-14.82,-2.89,-2.71,-2.76,-6.19,-3.98,-5.34,-2.6,-3.44
12,Interest & Investment Income,21.25,0.26,0.73,0.57,1.04,2.31,2.39,3.13,3.75,5.77,6.33,7.01,2.92,-,0.17,0.77,0.25
13,Currency Exchange Gain (Loss),-,-4.77,4.77,-,8.81,-16.71,16.71,-,7.35,-7.78,7.78,-,8.94,-2.24,2.24,-,-5.57
14,Other Non Operating Income (Expenses),8.03,5.73,-9.48,0.31,-2.86,8.98,1.37,-8.65,4.73,11.25,-19.65,1.16,-13.4,3.37,-9.25,11.36,116.37
15,EBT Excluding Unusual Items,-122.08,-15.21,-192.43,-95.25,-309.51,-55.06,-123.49,-106.34,-166.71,-88.03,-110.15,-97.88,-159.33,-93.36,-94.6,-80.88,-50.04
16,Gain (Loss) on Sale of Investments,1.35,-0.39,-0.96,-,-0.16,-0.09,-0.12,-0.28,-0.58,-,-,-,0.39,-,-0.27,-0.12,-
17,Gain (Loss) on Sale of Assets,-1.31,0.08,0.79,0.43,1.75,0.72,-0.38,-0.01,0,-0.31,-1.69,-,-,1.37,-2.74,-,0.01
