,Fiscal Quarter,H1 2024,H2 2023,H1 2023
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023"
0,Cash & Equivalents,10452,11360,-
1,Cash & Short-Term Investments,10452,11360,-
2,Accounts Receivable,687.6,541.09,-
3,Other Receivables,2.81,20.4,-
4,Receivables,690.41,561.49,-
5,Inventory,703.1,790.9,-
6,Prepaid Expenses,26.37,-,-
7,Restricted Cash,726.87,709.72,-
8,Other Current Assets,144.56,116.33,-
9,Total Current Assets,12744,13538,-
10,"Property, Plant & Equipment",769.7,650.63,-
11,Long-Term Investments,939.13,1188,-
12,Other Intangible Assets,283.53,302.91,-
13,Long-Term Accounts Receivable,24.76,-,-
14,Long-Term Deferred Tax Assets,100.65,99.97,-
15,Other Long-Term Assets,91.25,93.81,-
16,Total Assets,14953,15874,-
17,Accounts Payable,13.65,11.16,-
18,Accrued Expenses,425.53,700.27,-
19,Short-Term Debt,-,39240,-
20,Current Portion of Leases,43.94,52.01,-
21,Current Income Taxes Payable,37.93,0.17,-
22,Current Unearned Revenue,12.14,24.88,-
23,Other Current Liabilities,43854,224.05,-
24,Total Current Liabilities,44387,40252,-
25,Long-Term Debt,243.9,112.84,-
26,Long-Term Leases,88.96,112.35,-
27,Long-Term Unearned Revenue,47.6,61.95,-
28,Total Liabilities,44768,40539,-
29,Common Stock,0.04,0.04,-
30,Additional Paid-In Capital,146.26,146.26,-
31,Retained Earnings,-30670,-25570,-
32,Comprehensive Income & Other,707.29,758.38,-
33,Total Common Equity,-29816,-24665,-
34,Minority Interest,0.86,-0.11,-
35,Shareholders' Equity,-29815,-24665,-
36,Total Liabilities & Equity,14953,15874,-
37,Total Debt,376.8,39517,-
38,Net Cash (Debt),10076,-28157,-
39,Net Cash Per Share,3.58,-10.33,-
40,Filing Date Shares Outstanding,2431,2431,2674
41,Total Common Shares Outstanding,2431,2431,2674
42,Working Capital,-31644,-26714,-
43,Book Value Per Share,-12.26,-10.14,-
44,Tangible Book Value,-30099,-24968,-
45,Tangible Book Value Per Share,-12.38,-10.27,-
46,Machinery,540.33,435.8,-
47,Construction In Progress,289.26,197.3,-
48,Leasehold Improvements,57.23,54.87,-
