,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020"
0,Market Capitalization,5301,5127,4988,4835,5715,7885,8573,13194,13408,15968,17181,16302,12411,-,-,-,-,-,-
1,Market Cap Growth,-34.98%,-34.98%,-41.82%,-63.36%,-57.37%,-50.62%,-50.10%,-19.07%,8.03%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,3223,3048,2834,2704,3518,5688,6329,10777,10965,13525,14776,13920,12134,-,-,-,-,-,-
3,Last Close Price,43.42,41.99,40.84,39.38,46.44,64.07,69.66,107.20,108.06,128.70,138.47,131.39,99.89,-,-,-,-,-,-
4,PE Ratio,131.58,128.39,127.83,85.07,78.09,56.31,39.70,49.28,43.57,56.16,67.60,76.94,71.37,-,-,-,-,-,-
5,Forward PE,28.01,30.43,23.63,19.52,24.14,33.76,26.33,31.29,33.96,45.92,55.71,66.93,62.76,-,-,-,-,-,-
6,PS Ratio,5.24,5.11,5.65,5.63,6.77,8.10,7.82,11.15,11.05,14.30,16.96,17.58,14.66,-,-,-,-,-,-
7,PB Ratio,1.83,1.77,1.73,1.68,2.00,2.75,2.99,4.65,4.61,5.63,6.25,6.11,4.74,-,-,-,-,-,-
8,P/TBV Ratio,1.77,1.77,1.73,1.68,2.00,2.76,2.99,4.66,4.62,5.64,6.25,6.11,4.74,-,-,-,-,-,-
