,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020"
0,Revenue,322.07,260.98,246.43,173.11,202.88,236.89,230.91,302.17,326.27,323.82,260.61,205.66,222.9,238.37,179.47,141.35,111.27,89.31
1,Revenue Growth (YoY),58.75%,10.17%,6.72%,-42.71%,-37.82%,-26.84%,-11.40%,46.93%,46.38%,35.85%,45.21%,45.50%,100.33%,166.89%,-,-,-,-
2,Cost of Revenue,394.73,205.22,218.1,151.52,180.46,192.43,185.06,202.39,216.63,212.62,173.14,137.95,159.7,162.75,133.17,103.23,75.01,79.49
3,Gross Profit,-72.66,55.77,28.33,21.59,22.42,44.47,45.85,99.78,109.65,111.2,87.47,67.72,63.2,75.62,46.31,38.13,36.26,9.82
4,"Selling, General & Admin",-35.65,15.22,13.08,7.35,8.19,8.35,9.73,7.12,11.25,6.72,7.36,6.46,6.38,7.87,4.3,4.17,11.58,-
5,Research & Development,-54.69,15.91,18.68,20.1,25.23,20.39,20.42,19.02,18.86,15.35,12.45,8.28,12.01,12.92,10.06,6.44,15.99,-
6,Other Operating Expenses,5.35,-5.44,1.36,-1.27,-0.26,-3.63,-2.77,-0.81,7.69,-0.68,-3.28,-0.47,5.91,0.72,-4.15,0.46,0.46,-
7,Operating Expenses,-88.56,28.51,34.69,25.35,32.14,25.57,25.04,24.77,39.45,22.99,17.89,13.7,23.39,23.14,10.3,11.81,30.53,-
8,Operating Income,15.9,27.25,-6.36,-3.76,-9.72,18.89,20.81,75.02,70.19,88.21,69.58,54.01,39.81,52.48,36,26.32,5.73,9.82
9,Interest Expense,-24.45,-0.37,-0.3,-0.26,-0.25,-0.15,-0.04,-0.05,-0.05,-0.06,-0.06,-0.05,-0.06,-0.04,-0.04,-0.02,-,-
10,Interest & Investment Income,0.93,6.14,10.77,7.53,9.92,15.68,11.12,4.41,14.87,8.65,8.89,1.18,2.05,1.06,2.58,0.65,2.74,-
11,Currency Exchange Gain (Loss),-,-0.02,0.02,-,0.02,-0.01,0.01,-,0.56,-0.28,0.28,-,-0.11,0.02,-0.02,-,-0.33,-
12,Other Non Operating Income (Expenses),0.98,-0.95,-0.07,-0,-0,-0.01,-0.06,-0.01,-1.19,0.28,-0.01,-0,0.04,-0.06,-0.01,-0.01,0.18,-
13,EBT Excluding Unusual Items,-6.63,32.05,4.06,3.51,-0.04,34.41,31.84,79.37,84.37,96.8,78.68,55.14,41.73,53.46,38.52,26.94,8.32,9.82
14,Gain (Loss) on Sale of Investments,-4.68,1.96,2.83,-0.1,-0.76,-0.09,-0.64,1.49,-1.62,0.37,1.12,0.22,-,-,-,-,0.08,-
15,Gain (Loss) on Sale of Assets,-0.08,-,0.2,-0.12,-,-,-,-,-,-,-,-,-,0.1,-,-,0.01,-
16,Asset Writedown,18.39,-18.39,1.5,-1.5,2.44,-2.44,0.28,-0.28,0.68,-0.68,0.07,-0.07,1.39,-1.39,0.62,-0.62,-0,-
17,Other Unusual Items,-0.15,-1.78,1.9,0.03,4.66,-,-,-,12.02,-,-,-,8.04,0.09,-0.09,-,6.04,-
18,Pretax Income,6.84,13.84,10.48,1.82,6.3,31.89,31.47,80.58,95.44,96.49,79.86,55.3,51.17,52.25,39.05,26.32,14.45,9.82
19,Income Tax Expense,-2.45,0.14,-2.16,-2.47,-2.08,0.38,2.46,9.46,11.12,13.24,10.83,7.56,-2.96,11.29,8,5.56,2.12,2.45
