,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020"
0,Cash & Equivalents,-,1008,1316,1662,2251,1938,1852,2139,2304,2071,2208,2087,372.6,-,279.1,-,230.25,-
1,Short-Term Investments,-,-,-,-,-,-,68.95,-,-,-,-,-,-,-,-,-,-,-
2,Trading Asset Securities,-,1087,884.58,502.25,-,291.78,325.96,281.58,140.09,376.71,201.34,300.22,-,-,-,-,20.08,-
3,Cash & Short-Term Investments,2095,2095,2201,2164,2251,2229,2247,2420,2444,2447,2410,2387,372.6,-,279.1,250.33,250.33,-
4,Cash Growth,-6.93%,-6.05%,-2.05%,-10.60%,-7.92%,-8.90%,-6.76%,1.38%,555.99%,-,763.42%,853.68%,48.84%,-,-,-,-,-
5,Accounts Receivable,-,192.79,163.51,100.77,136.63,155.38,159.58,197.87,207.88,162.81,126.19,101.3,108.98,-,116.66,-,89.44,-
6,Other Receivables,-,4.73,4.74,5.55,3.48,3.35,3.35,3.36,3.36,0.51,0.51,0.51,0.39,-,0.35,-,0.35,-
7,Receivables,-,197.52,168.25,106.32,140.11,158.73,162.93,201.24,211.24,163.32,126.7,101.81,109.37,-,117.01,-,89.79,-
8,Inventory,-,361.26,332.75,354.15,340.35,305.43,263.26,203.77,175.04,157.87,142.21,147.43,99.62,-,76.74,-,74.76,-
9,Prepaid Expenses,-,-,-,58.91,-,61.64,3.54,0,-,-,6.09,-,3.43,-,0.02,-,-,-
10,Other Current Assets,-,101.09,34.21,30.64,31.57,8.83,24,45.01,11.87,42.41,33.51,52.85,28.61,-,21.4,-,13.01,-
11,Total Current Assets,-,2754,2736,2714,2763,2764,2701,2870,2842,2811,2718,2689,613.62,-,494.26,-,427.88,-
12,"Property, Plant & Equipment",-,83.86,68.44,23.76,22.65,22.27,18.78,17.56,14.6,13.51,12.5,12.39,10.97,-,10.08,-,4.96,-
13,Long-Term Investments,-,167.78,170.31,140.05,143.74,149.83,135.64,59.2,40.34,1,-,-,-,-,-,-,-,-
14,Other Intangible Assets,-,1.24,1.38,1.48,1.63,1.78,1.93,2.25,2.34,2.1,0.71,0.69,0.69,-,0.74,-,0.85,-
15,Long-Term Deferred Tax Assets,-,6.11,6.03,6.77,4,3.7,3.72,4.04,3.63,1.36,1.19,0.96,1.09,-,1.92,-,1.75,-
16,Long-Term Deferred Charges,-,16,16.64,1.46,1.56,1.8,1.99,1.74,1.9,2.06,2.23,2.11,2.11,-,2.17,-,2.15,-
17,Other Long-Term Assets,-,9.69,62.95,92.51,75.49,66.58,25.11,18.27,21.26,0.02,0.2,0.04,0.09,-,0.74,-,0.04,-
18,Total Assets,-,3039,3062,2980,3012,3010,2888,2973,2926,2831,2735,2706,628.57,-,509.91,-,437.64,-
19,Accounts Payable,-,110.67,87.09,71.51,91.23,88.39,19.54,26.81,33.46,45.53,43.44,72.76,42.3,-,15.41,-,7.29,-
20,Accrued Expenses,-,7.89,11.76,3.05,11.32,9.57,9.23,4.55,18.33,4.85,13.76,2.79,10.29,-,7.03,-,3.2,-
21,Short-Term Debt,-,-,30.01,30.02,30.02,30.02,-,-,-,-,-,-,-,-,-,-,-,-
22,Current Portion of Leases,-,6.48,5.79,2.27,2.28,2.01,2.05,1.89,-,2.7,1.8,0.93,1.25,-,-,-,-,-
23,Current Income Taxes Payable,-,0.46,-,0.2,-,1.31,-,14.22,13.37,20.52,0,0.57,-,-,5.83,-,2.64,-
24,Current Unearned Revenue,-,2.12,1.51,1.67,1.37,0.53,0.94,1.71,0.72,2.75,3.81,3.08,3.66,-,1.74,-,0.49,-
25,Other Current Liabilities,-,2.29,26.45,1.18,4.24,1.74,9.88,6.15,13.54,2.23,2.04,0.47,2.09,-,5.62,-,4.16,-
26,Total Current Liabilities,-,129.92,162.61,109.9,140.47,133.58,41.64,55.33,79.42,78.57,64.84,80.6,59.59,-,35.64,-,17.78,-
27,Long-Term Leases,-,9.52,11.17,0.85,1.03,0.45,0.96,1.58,1.93,1.75,2.88,4.47,2.69,-,2.85,-,-,-
28,Long-Term Unearned Revenue,-,8.16,6.43,7.14,7.84,8.61,9.19,9.76,10.23,0.16,0.27,0.39,0.5,-,0.72,-,0.95,-
29,Long-Term Deferred Tax Liabilities,-,1.42,1.23,0.58,0.28,0.77,0.89,1.07,0.35,0.26,0.2,0.03,-,-,-,-,0.02,-
30,Total Liabilities,-,149.02,181.44,118.47,149.62,143.41,52.68,67.74,91.94,80.74,68.2,85.49,62.78,-,39.21,-,18.74,-
31,Common Stock,-,122.53,94.33,94.33,94.33,94.33,94.33,67.38,67.38,67.38,67.38,67.38,50.53,-,50.53,-,50.53,-
32,Additional Paid-In Capital,-,2315,2343,2316,2316,2316,2316,2343,2343,2343,2343,2343,353.15,-,353.15,-,353.15,-
33,Retained Earnings,-,478.59,464.9,469.05,464.76,456.38,424.87,495.32,424.18,339.87,256.62,209.82,162.07,-,66.97,-,15.17,-
34,Treasury Stock,-,-26.02,-21.93,-17.98,-12.93,-,-,-,-,-,-,-,-,-,-,-,-,-
35,Comprehensive Income & Other,-,0.07,0.08,0.08,0.08,0.08,0.08,0.06,0.07,0.08,0.06,0.04,0.04,-,0.04,-,0.05,-
36,Shareholders' Equity,2890,2890,2881,2861,2862,2867,2835,2906,2834,2750,2667,2620,565.79,-,470.7,418.9,418.9,-
37,Total Liabilities & Equity,-,3039,3062,2980,3012,3010,2888,2973,2926,2831,2735,2706,628.57,-,509.91,-,437.64,-
38,Total Debt,16,16,46.97,33.14,33.33,32.48,3.01,3.47,1.93,4.44,4.68,5.4,3.94,-,2.85,-,-,-
39,Net Cash (Debt),2079,2079,2154,2131,2217,2197,2244,2417,2442,2443,2405,2382,368.65,-,276.24,250.33,250.33,-
