,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Revenue,617973,548340,376132,324848,440299,468516,405713,355252,495144,388347,413527,351035,386664,154953,407464,369882,478487,388988,572419,342256,Upgrade
1,Revenue Growth (YoY),40.35%,17.04%,-7.29%,-8.56%,-11.08%,20.64%,-1.89%,1.20%,28.06%,150.62%,1.49%,-5.10%,-19.19%,-60.16%,-28.82%,8.07%,10.37%,20.38%,66.27%,76.31%,Upgrade
2,Cost of Revenue,458834,413738,295615,256908,350882,351980,309955,275167,391181,307513,299725,274545,293105,109480,307680,285828,354281,295732,414216,270411,Upgrade
3,Gross Profit,159139,134602,80517,67940,89417,116536,95758,80086,103963,80835,113802,76490,93559,45473,99785,84054,124206,93256,158203,71846,Upgrade
4,"Selling, General & Admin",89530,70930,57534,44077,60283,65372,55604,41827,62840,45439,46262,35732,45020,19657,46869,40139,65254,56535,70389,46554,Upgrade
5,Other Operating Expenses,-1081,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
6,Operating Expenses,88449,70930,57534,44077,60283,65372,55604,41827,62840,45439,46262,35732,45020,19657,46869,40139,65254,56535,70389,46554,Upgrade
7,Operating Income,70690,63672,22983,23863,29134,51164,40154,38258,41123,35396,67540,40758,48538,25816,52916,43915,58952,36720,87814,25292,Upgrade
8,Interest Expense,-3292,-3202,-3558,-3535,-10170,-3075,-3558,-3064,-2886,-2590,-2866,-2950,-3098,-3209,-3828,-3069,-3207,-3270,-3739,-4238,Upgrade
9,Interest & Investment Income,1571,1172,1104,1209,1845,2203,2556,2385,1899,1215,1185,1059,763.69,798.14,979.04,802.67,1204,1887,1620,1461,Upgrade
10,Earnings From Equity Investments,19.24,44,14.65,8.82,40.52,0.17,11.65,31.85,38.14,11.85,15.78,13.23,55.34,-0.05,13.46,29.86,76.98,15.15,37,3.01,Upgrade
11,Currency Exchange Gain (Loss),-127.76,-,1.21,-286.34,2.43,-,0.54,-28.16,3.31,-,-2.78,16.09,0.21,-,-2.77,92.7,27.36,-,23.5,64.52,Upgrade
12,Other Non Operating Income (Expenses),-437.31,531.19,442.64,500.83,-137.52,-63.65,-154.66,-250.88,344.69,980.8,471.19,65.48,1641,-490.99,-729.87,347.57,-615.69,231.27,-1656,476.27,Upgrade
13,EBT Excluding Unusual Items,68423,62217,20987,21761,20714,50229,39009,37332,40522,35014,66343,38963,47900,22914,49348,42119,56439,35583,84098,23058,Upgrade
14,Gain (Loss) on Sale of Assets,-,-,-,-,-,-,-,-,722.54,-,-,-,5.61,-,742.55,-463.47,427.27,-,596.06,-,Upgrade
15,Other Unusual Items,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,214.79,-,-214.79,-,Upgrade
16,Pretax Income,68423,62217,20987,21761,20714,50229,39009,37332,41244,35014,66343,38963,47906,22914,50090,41656,57081,35583,84480,23058,Upgrade
17,Income Tax Expense,12870,10777,2817,3831,3076,11106,7570,6696,6361,6674,17140,7482,14145,3193,9665,7024,9963,5263,16594,-832.73,Upgrade
18,Earnings From Continuing Operations,55554,51441,18171,17929,17638,39123,31438,30636,34884,28340,49203,31481,33761,19721,40425,34632,47117,30321,67886,23891,Upgrade
19,Minority Interest in Earnings,-1153,-798.06,-250.05,-372.39,-551.82,-508.58,-660.55,-449.13,-562.65,-779.06,-270.3,-165.14,-326.57,348.07,-269.85,-253.64,-1212,-252.37,-198.73,-14.81,Upgrade
20,Net Income,54401,50643,17921,17557,17086,38614,30778,30187,34321,27561,48933,31316,33434,20069,40155,34378,45906,30068,67687,23876,Upgrade
21,Preferred Dividends & Other Adjustments,3264,-,3027,2140,1025,-,2317,3658,4902,-,1654,4815,2006,-,1204,4472,2754,-,1804,5494,Upgrade
22,Net Income to Common,51136,50643,14894,15417,16061,38614,28461,26529,29419,27561,47279,26501,31428,20069,38951,29906,43151,30068,65883,18382,Upgrade
23,Net Income Growth,218.40%,31.15%,-41.77%,-41.84%,-50.22%,40.10%,-37.10%,-3.61%,2.65%,37.33%,21.86%,-8.91%,-27.17%,-33.25%,-40.68%,43.99%,38.35%,7.75%,194.14%,5.88%,Upgrade
24,Shares Outstanding (Basic),26,28,26,24,27,28,30,21,24,26,28,24,26,26,23,24,26,28,28,24,Upgrade
25,Shares Outstanding (Diluted),26,28,26,24,27,28,30,21,24,26,28,24,26,26,23,24,26,28,28,24,Upgrade
26,Shares Change (YoY),-3.98%,-0.00%,-12.36%,17.77%,10.62%,6.38%,7.36%,-15.17%,-7.00%,0.59%,21.68%,0.01%,-0.20%,-9.40%,-18.48%,0.02%,-4.66%,3.13%,7.24%,-0.02%,Upgrade
27,EPS (Basic),1971.19,1835.00,573.73,635.27,594.48,1399.12,960.82,1287.40,1204.63,1062.37,1713.52,1090.89,1196.81,778.15,1717.75,1231.13,1639.99,1056.22,2368.68,756.88,Upgrade
28,EPS (Diluted),1971.00,1835.00,573.73,635.27,594.48,1399.12,960.78,1287.22,1204.63,1062.37,1713.31,1090.89,1196.81,778.15,1717.75,1230.96,1639.99,1056.22,2368.66,756.88,Upgrade
29,EPS Growth,231.55%,31.15%,-40.29%,-50.65%,-50.65%,31.70%,-43.92%,18.00%,0.65%,36.53%,-0.26%,-11.38%,-27.02%,-26.33%,-27.48%,62.64%,45.11%,4.48%,187.96%,-7.21%,Upgrade
30,Free Cash Flow,153728,26055,6084,-59566,10961,54877,4558,6924,-101172,-38253,148595,-27580,38711,35216,18986,-35970,-88664,12212,104112,25189,Upgrade
31,Free Cash Flow Per Share,5925.86,944.08,234.35,-2454.52,405.71,1988.36,153.86,335.99,-4142.73,-1474.51,5385.46,-1135.32,1474.17,1365.42,837.31,-1480.79,-3369.71,428.97,3743.11,1037.15,Upgrade
32,Dividend Per Share,1000.000,1000.000,-,-,884.956,884.956,-,-,769.527,769.527,-,-,923.432,615.621,-,-,-,559.656,-,-,Upgrade
