,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022"
0,Market Capitalization,638,608,653,730,2050,-
1,Market Cap Growth,-16.78%,-16.78%,-68.17%,-,-,-
2,Enterprise Value,684,574,590,562,2076,-
3,Last Close Price,0.42,0.41,0.43,0.61,1.72,-
4,PE Ratio,103.79,124.64,47.16,13.10,26.47,-
5,PS Ratio,1.98,2.37,3.10,3.11,7.07,-
6,PB Ratio,1.49,1.42,1.51,2.21,6.10,-
7,P/TBV Ratio,1.56,1.56,1.67,2.57,6.83,-
8,P/FCF Ratio,-,-,-,-,-248.37,-
9,P/OCF Ratio,-,-,-,-,-252.63,-
10,EV/Sales Ratio,2.67,2.24,2.80,2.40,7.16,-
11,EV/EBITDA Ratio,38.72,33.11,22.21,7.79,21.67,-
12,EV/EBIT Ratio,55.11,46.72,27.59,8.35,22.88,-
13,EV/FCF Ratio,-5.92,-,-,-,-251.55,-
14,Debt / Equity Ratio,0.41,0.41,0.40,0.30,0.13,-
15,Debt / FCF Ratio,-,-,-,-,-5.25,-
16,Return on Capital Employed (ROCE),2.88%,2.86%,4.90%,20.16%,26.56%,-
17,Earnings Yield,0.76%,0.80%,2.12%,7.63%,3.78%,-
18,FCF Yield,-18.12%,-19.03%,-13.60%,-1.15%,-0.40%,-
19,Buyback Yield / Dilution,-32.18%,4.58%,-71.69%,-24.38%,-,-
20,Total Shareholder Return,-32.18%,4.58%,-71.69%,-24.38%,-,-
