,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022"
0,Revenue,116.2,122.09,68.98,148,108.59
1,Revenue Growth (YoY),68.47%,-17.51%,-36.48%,-,-
2,Cost of Revenue,74.74,63.84,25.56,72,51.13
3,Gross Profit,41.47,58.25,43.42,76,57.46
4,"Selling, General & Admin",25.33,28.46,17.83,14.81,11.77
5,Research & Development,10.32,11.59,9.39,11.36,7.51
6,Operating Expenses,37.78,50.5,31.77,25.38,27.81
7,Operating Income,3.69,7.75,11.65,50.62,29.65
8,Interest Expense,-2.49,-1.7,-0.92,-0.88,-0.76
9,Interest & Investment Income,0.26,1.79,0.85,0.21,0.1
10,Currency Exchange Gain (Loss),0,0.3,0.61,-1.71,-
11,Other Non Operating Income (Expenses),1.83,4.39,1.3,-11.76,5.1
12,EBT Excluding Unusual Items,3.29,12.54,13.49,36.48,34.09
13,Merger & Restructuring Charges,-0.11,-,-,-,-
14,Gain (Loss) on Sale of Investments,-,-10.07,-,-,-
15,Gain (Loss) on Sale of Assets,-,0.05,-,-,-
16,Asset Writedown,-,-1.11,-,-,-
17,Other Unusual Items,-,-,-,10.61,-
18,Pretax Income,3.18,1.41,13.49,47.09,34.09
19,Income Tax Expense,0.45,0.33,2.01,7.01,5.66
20,Earnings From Continuing Operations,2.73,1.08,11.48,40.08,28.43
21,Minority Interest in Earnings,0.73,-,-,-,-
22,Net Income,3.46,1.08,11.48,40.08,28.43
23,Net Income to Common,3.46,1.08,11.48,40.08,28.43
24,Net Income Growth,-69.88%,-97.31%,-59.62%,-,-
25,Shares Outstanding (Basic),890,1490,933,868,750
26,Shares Outstanding (Diluted),890,1490,933,868,750
27,Shares Change (YoY),-4.58%,71.69%,24.38%,-,-
28,EPS (Basic),0.00,0.00,0.01,0.05,0.04
29,EPS (Diluted),0.00,0.00,0.01,0.05,0.04
30,EPS Growth,-68.44%,-98.43%,-67.54%,-,-
31,Free Cash Flow,-61.12,-46.49,-34.06,26.28,-33.58
32,Free Cash Flow Per Share,-0.07,-0.03,-0.04,0.03,-0.04
33,Operating Margin,3.17%,6.35%,16.90%,34.20%,27.30%
34,Profit Margin,2.97%,0.88%,16.64%,27.08%,26.18%
35,Free Cash Flow Margin,-52.59%,-38.08%,-49.38%,17.76%,-30.93%
36,EBITDA,6.08,10.07,14.05,52.74,32.04
37,D&A For EBITDA,2.39,2.32,2.39,2.12,2.39
38,EBIT,3.69,7.75,11.65,50.62,29.65
