,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022"
0,Cash & Equivalents,118.91,186.48,148.23,186.85,-
1,Cash & Short-Term Investments,118.91,186.48,148.23,186.85,-
2,Cash Growth,-19.78%,-0.20%,-,-,-
3,Receivables,148.2,167.1,150.24,100.31,-
4,Inventory,9.63,3.82,4.11,2.42,-
5,Prepaid Expenses,30.55,18.69,-,1.9,-
6,Restricted Cash,1.72,0.35,-,-,-
7,Other Current Assets,245.3,205.87,101.36,72.62,-
8,Total Current Assets,554.31,582.3,403.93,364.1,-
9,"Property, Plant & Equipment",2.72,1.85,2.61,0.97,-
10,Long-Term Investments,11.87,12.45,12.7,-,-
11,Goodwill,25.38,25.38,26.73,14.34,-
12,Other Intangible Assets,11.56,13.54,15.62,17.59,-
13,Long-Term Deferred Tax Assets,3.97,1.87,-,-,-
14,Other Long-Term Assets,-,-,-,2.7,-
15,Total Assets,609.82,637.38,461.6,399.7,-
16,Accounts Payable,10.67,17.03,9.89,15.72,-
17,Accrued Expenses,9.09,25.52,9.5,6.83,-
18,Short-Term Debt,162.31,156.18,90.02,38,-
19,Current Portion of Leases,0.07,0.17,0.19,0.19,-
20,Current Income Taxes Payable,13.26,11.04,11.31,13.38,-
21,Current Unearned Revenue,8.51,6.07,5.89,7.58,-
22,Other Current Liabilities,5.55,25.4,25.98,15.78,-
23,Total Current Liabilities,209.45,241.41,152.77,97.48,-
24,Long-Term Leases,-,-,0.08,0.16,-
25,Long-Term Unearned Revenue,1.65,3.07,3.13,4.27,-
26,Long-Term Deferred Tax Liabilities,0.2,0.24,0.29,0.33,-
27,Total Liabilities,211.3,244.73,156.28,102.24,-
28,Common Stock,10.35,10.35,6.79,6.79,-
29,Additional Paid-In Capital,199.4,199.4,112.83,112.83,-
30,Retained Earnings,237.75,234.29,233.21,221.73,-
31,Comprehensive Income & Other,-48.74,-51.38,-47.51,-43.89,-
32,Total Common Equity,398.76,392.66,305.32,297.46,-
33,Minority Interest,-0.24,-,-,-,-
34,Shareholders' Equity,398.52,392.66,305.32,297.46,-
35,Total Liabilities & Equity,609.82,637.38,461.6,399.7,-
36,Total Debt,162.38,156.35,90.29,38.35,-
37,Net Cash (Debt),-43.47,30.13,57.94,148.5,-
38,Net Cash Growth,-,-79.71%,-,-,-
39,Net Cash Per Share,-0.05,0.02,0.06,0.17,-
40,Filing Date Shares Outstanding,1500,1500,1000,1000,750
41,Total Common Shares Outstanding,1500,1500,1000,1000,750
42,Working Capital,344.86,340.89,251.16,266.63,-
43,Book Value Per Share,0.27,0.26,0.31,0.30,-
44,Tangible Book Value,361.81,353.73,262.97,265.53,-
45,Tangible Book Value Per Share,0.24,0.24,0.26,0.27,-
46,Machinery,-,4.39,-,2.97,-
47,Leasehold Improvements,-,0.48,-,0.48,-
