,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,2046,2105,1830,1940,2253,2538,2220,2383,2333,2449,3232,3572,-,-,-,-,-,-,-,-
1,Market Cap Growth,-17.06%,-17.06%,-17.57%,-18.58%,-3.43%,3.63%,-31.30%,-33.28%,-,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,1687,1702,1374,1388,1700,1933,1608,1768,1718,1825,2595,3378,-,-,-,-,-,-,-,-
3,Last Close Price,26.73,27.42,23.43,23.75,27.58,31.07,27.18,29.00,28.39,29.80,39.33,43.32,-,-,-,-,-,-,-,-
4,PE Ratio,48.75,48.64,41.01,35.29,44.61,50.87,44.14,56.21,57.28,49.00,65.07,73.82,-,-,-,-,-,-,-,-
5,PS Ratio,8.52,8.50,7.61,8.19,9.99,10.50,8.78,9.24,9.13,9.31,12.14,13.19,-,-,-,-,-,-,-,-
6,PB Ratio,2.28,2.34,2.05,2.07,2.29,-,2.31,2.50,2.47,2.61,3.49,6.81,-,-,-,-,-,-,-,-
7,P/TBV Ratio,2.52,2.52,2.21,2.19,2.35,-,2.37,2.57,2.54,2.69,3.60,7.19,-,-,-,-,-,-,-,-
8,P/FCF Ratio,-,-,-19.20,-,-,-,-105.20,-,-,-,64.27,80.54,-,-,-,-,-,-,-,-
9,P/OCF Ratio,30.36,30.36,27.25,31.06,41.42,51.92,42.35,-,34.70,29.73,46.02,56.75,-,-,-,-,-,-,-,-
10,EV/Sales Ratio,6.81,6.87,5.71,5.86,7.54,8.00,6.36,6.86,6.72,6.94,9.75,12.48,-,-,-,-,-,-,-,-
11,EV/EBITDA Ratio,40.35,39.56,34.12,27.84,-,31.84,26.20,32.14,30.34,26.23,35.91,47.29,-,-,-,-,-,-,-,-
12,EV/EBIT Ratio,72.82,74.09,67.92,44.29,-,45.77,37.55,48.46,45.16,35.83,48.43,64.15,-,-,-,-,-,-,-,-
13,EV/FCF Ratio,-20.31,-,-14.41,-,-,-,-76.16,-,-,-,51.59,76.18,-,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.00,0.00,0.00,0.00,0.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
15,Debt / EBITDA Ratio,0.00,0.00,0.00,0.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
16,Debt / FCF Ratio,-,-,0.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
17,Asset Turnover,0.26,0.25,-,0.21,-,0.23,0.22,0.28,0.27,-,-,-,-,0.49,0.49,0.60,0.62,0.48,-,
18,Inventory Turnover,-,2.40,2.35,-,2.11,-,1.45,1.77,2.53,1.79,-,-,-,-,1.62,1.86,2.47,2.21,1.56,-
19,Quick Ratio,8.36,8.36,10.54,13.72,11.23,-,25.34,27.25,17.45,21.23,21.82,-,7.94,-,8.92,8.92,6.01,6.01,4.30,4.30
20,Current Ratio,8.89,8.89,11.17,14.54,11.80,-,26.68,28.46,18.18,22.19,22.84,-,9.08,-,10.30,10.30,6.75,6.75,7.74,7.74
21,Return on Equity (ROE),4.29%,4.55%,-,3.75%,-,8.66%,4.03%,3.66%,4.89%,7.08%,6.03%,-,-,9.32%,9.54%,12.25%,12.63%,9.40%,-,
22,Return on Assets (ROA),3.11%,2.11%,-,-2.18%,-,4.78%,1.75%,1.58%,2.48%,-,-,-,-,5.44%,5.48%,6.86%,7.11%,4.45%,-,
23,Return on Capital (ROIC),3.37%,2.28%,-,-2.36%,-,5.07%,1.87%,1.69%,2.66%,4.52%,4.13%,-,-,6.15%,6.30%,8.00%,8.26%,5.14%,-,
24,Return on Capital Employed (ROCE),2.50%,2.48%,2.19%,3.25%,-,-,4.30%,3.70%,3.89%,5.25%,5.58%,-,10.03%,-,10.25%,9.68%,9.48%,6.53%,3.77%,1.88%
25,Earnings Yield,2.11%,2.06%,2.44%,2.83%,2.24%,1.97%,2.27%,1.78%,1.75%,2.04%,1.54%,1.35%,-,-,-,-,-,-,-,-
26,FCF Yield,-4.06%,-3.95%,-5.21%,-4.93%,-3.05%,-2.47%,-0.95%,-0.35%,0.55%,1.70%,1.56%,1.24%,-,-,-,-,-,-,-,-
27,Dividend Yield,0.97%,-,-,-,0.94%,-,-,-,0.56%,-,-,-,-,-,-,-,-,-,-,-
28,Payout Ratio,46.25%,-,192.29%,-,-,-,62.31%,-,-,-,81.88%,-,-,-,-,-,-,-,116.35%,116.35%
29,Buyback Yield / Dilution,2.34%,9.35%,-0.03%,0.01%,0.02%,-0.08%,0.04%,-19.99%,-33.39%,-33.23%,-33.37%,-11.13%,0.04%,-0.03%,0.00%,0.00%,-,-,-,-
30,Total Shareholder Return,3.31%,9.35%,-0.03%,0.01%,0.97%,-0.08%,0.04%,-19.99%,-32.82%,-33.23%,-33.37%,-11.13%,0.04%,-0.03%,0.00%,0.00%,-,-,-,-
