,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H1 2018,H2 2017,H1 2017,H2 2016,H1 2016
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Jun '18 Jun 30, 2018","Dec '17 Dec 31, 2017","Jun '17 Jun 30, 2017","Dec '16 Dec 31, 2016","Jun '16 Jun 30, 2016"
0,Market Capitalization,2285,10996,12056,-,-,-,-,-,-,-,-
1,Enterprise Value,1980,10757,11938,-,-,-,-,-,-,-,-
2,Last Close Price,2.93,14.10,15.46,-,-,-,-,-,-,-,-
3,PS Ratio,0.76,3.70,4.10,-,-,-,-,-,-,-,-
4,PB Ratio,2.43,11.36,11.26,-,-,-,-,-,-,-,-
5,P/TBV Ratio,13.15,13.15,12.98,-,-,-,-,-,-,-,-
6,P/FCF Ratio,-,-429.02,-,-,-,-,-,-,-,-,-
7,P/OCF Ratio,-,-1705.27,-,-,-,-,-,-,-,-,-
8,EV/Sales Ratio,0.67,3.62,4.06,-,-,-,-,-,-,-,-
9,EV/FCF Ratio,-77.24,-419.72,-,-,-,-,-,-,-,-,-
10,Debt / Equity Ratio,0.13,0.13,0.11,0.15,0.13,-,0.48,0.46,0.92,1.24,1.39
11,Debt / FCF Ratio,-,-4.82,-,1.25,-,-,5.95,-,-,-,-
12,Return on Capital Employed (ROCE),-,-,-,-,-,-,12.73%,13.94%,9.96%,9.88%,12.73%
13,Earnings Yield,-12.96%,-2.69%,-2.99%,-,-,-,-,-,-,-,-
14,FCF Yield,-1.12%,-0.23%,0.53%,-,-,-,-,-,-,-,-
15,Buyback Yield / Dilution,-1.97%,-2.98%,-,-,-,-,-53.15%,-18.38%,-2.07%,-,-
16,Total Shareholder Return,-1.97%,-2.98%,-,-,-,-,-53.15%,-18.38%,-2.07%,-,-
