,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 12, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,2763,2691,2598,2208,2595,3417,3719,4041,3955,3759,3792,-,-,-,-,-,-
1,Market Cap Growth,-21.22%,-21.22%,-30.16%,-45.37%,-34.39%,-9.11%,-1.92%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,1618,1546,1489,1016,1557,2379,2269,2626,2536,2340,3884,-,-,-,-,-,-
3,Last Close Price,20.15,19.63,18.78,15.96,18.37,24.19,26.33,26.51,25.95,24.66,24.88,-,-,-,-,-,-
4,PE Ratio,30.07,28.91,39.06,39.00,34.80,-,26.50,22.38,23.95,21.48,20.53,-,-,-,-,-,-
5,PS Ratio,4.70,4.52,4.42,3.76,4.28,5.38,5.53,5.45,5.48,5.13,5.30,-,-,-,-,-,-
6,PB Ratio,1.05,1.01,0.98,0.83,0.97,1.28,1.38,1.51,1.35,1.30,1.33,-,-,-,-,-,-
7,P/TBV Ratio,1.08,1.08,1.04,0.89,1.03,1.37,1.50,1.64,1.46,1.41,1.45,-,-,-,-,-,-
8,P/FCF Ratio,-,-,14.76,12.51,16.01,22.41,26.00,26.17,30.08,34.41,32.11,-,-,-,-,-,-
9,P/OCF Ratio,-,-,12.97,10.39,11.78,15.65,14.94,15.92,16.64,16.94,17.90,-,-,-,-,-,-
10,EV/Sales Ratio,2.72,2.60,2.53,1.73,2.57,3.75,3.37,3.54,3.51,3.19,5.42,-,-,-,-,-,-
11,EV/EBITDA Ratio,7.87,7.51,9.09,7.35,10.25,13.99,12.00,10.66,10.60,9.10,14.22,-,-,-,-,-,-
12,EV/EBIT Ratio,15.98,15.28,25.25,27.23,30.09,32.20,-,16.55,16.09,12.99,19.32,-,-,-,-,-,-
13,EV/FCF Ratio,-,-,8.46,5.76,9.60,15.61,15.86,17.00,19.29,21.42,32.89,-,-,-,-,-,-
14,Debt / Equity Ratio,0.11,0.11,0.11,0.12,0.11,0.11,0.12,0.14,0.15,0.16,0.18,0.34,0.41,0.41,-,-,0.32
15,Debt / EBITDA Ratio,1.41,1.01,1.59,1.50,2.04,2.45,4.15,1.41,2.00,2.43,1.72,2.01,1.78,1.85,-,-,1.27
16,Debt / FCF Ratio,-,-,1.64,1.75,1.89,1.91,2.29,2.38,3.39,4.36,4.47,5.06,-,23.67,-,-,-
17,Asset Turnover,-,0.17,0.19,0.17,0.20,0.15,0.19,0.18,0.22,0.27,-,-,-,-,-,-,
18,Inventory Turnover,-,-,14.85,15.72,15.53,25.85,40.75,42.21,38.96,47.53,39.44,-,-,-,-,-,-
19,Quick Ratio,-,-,3.80,3.51,3.85,3.77,3.96,2.78,4.42,4.07,4.94,1.50,-,1.52,-,-,-
20,Current Ratio,-,-,3.98,3.69,4.04,3.94,4.22,2.86,4.54,4.18,5.03,1.58,-,1.65,-,-,-
21,Return on Equity (ROE),5.10%,2.55%,3.96%,2.37%,-3.91%,0.67%,6.10%,4.25%,5.33%,9.78%,9.40%,14.41%,-,-,-,-,
22,Return on Assets (ROA),-,1.48%,1.90%,0.87%,0.25%,-0.17%,2.65%,2.25%,1.75%,5.02%,-,-,-,-,-,-,
23,Return on Capital (ROIC),3.86%,1.63%,2.10%,0.97%,0.27%,-0.20%,3.06%,2.49%,1.94%,5.70%,5.25%,7.78%,-,-,-,-,
24,Return on Capital Employed (ROCE),-,-,2.09%,1.33%,1.81%,2.60%,-,5.41%,4.88%,5.60%,6.14%,11.68%,-,12.04%,-,-,-
25,Earnings Yield,3.37%,3.46%,2.56%,2.56%,2.87%,2.59%,3.77%,4.47%,4.18%,4.65%,4.87%,-,-,-,-,-,-
26,FCF Yield,-,6.78%,7.99%,6.25%,4.46%,3.85%,3.82%,3.32%,2.91%,3.11%,-,-,-,-,-,-,
27,Dividend Yield,1.77%,-,-,-,-,1.49%,-,-,-,8.73%,-,-,-,-,-,-,-
28,Payout Ratio,0.00%,-,27.26%,11.21%,233.93%,-,2698.63%,20.92%,14.88%,15.65%,16.34%,31.73%,8.29%,5.40%,15.12%,120.28%,120.28%
29,Buyback Yield / Dilution,-0.63%,-1.38%,-0.75%,0.13%,-0.55%,0.06%,-19.45%,-31.98%,-34.88%,-32.84%,-11.41%,-0.39%,0.95%,-,-,-,-
30,Total Shareholder Return,1.13%,-1.38%,-0.75%,0.13%,-0.55%,1.55%,-19.45%,-31.98%,-34.88%,-24.11%,-11.41%,-0.39%,0.95%,-,-,-,-
