,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,-,233.71,1161,770.46,1455,764.11,1798,1020,1917,934.06,354.32,-,469.56,-,-,-
1,Short-Term Investments,-,-,-,-,-,-,50,-,-,-,-,-,-,-,-,-
2,Trading Asset Securities,-,1201,263.02,726,0.65,625.06,1.67,878.11,0.29,1060,70.43,-,0.54,-,-,-
3,Cash & Short-Term Investments,1435,1435,1424,1496,1456,1389,1849,1898,1917,1994,424.75,470.1,470.1,-,-,403.99
4,Cash Growth,-1.41%,3.31%,-23.00%,-21.15%,-24.08%,-30.34%,335.37%,303.69%,307.84%,-,-,16.37%,-,-,-,-
5,Accounts Receivable,-,176.79,187.46,203.65,232.02,247.64,261.82,259.49,251.97,253.43,281.44,-,206.21,-,-,-
6,Other Receivables,-,10.57,13.79,10.15,8.82,16.41,11.64,15.5,15.41,15.61,11.25,-,12.2,-,-,-
7,Receivables,-,187.36,201.26,213.8,240.83,264.05,273.45,274.98,267.38,269.03,292.69,-,218.41,-,-,-
8,Inventory,-,20.27,24.82,23.95,23.51,10.31,9.26,9.37,9.37,11.47,9.68,-,9.19,-,-,-
9,Prepaid Expenses,-,-,-,-,-,-,-,-,-,-,5.81,-,5.81,-,-,-
10,Other Current Assets,-,55.74,57.05,64.73,55.16,100.29,51.59,52.72,49.52,31.93,24.06,-,43.39,-,-,-
11,Total Current Assets,-,1698,1707,1799,1775,1764,2184,2235,2244,2307,756.99,-,746.9,-,-,-
12,"Property, Plant & Equipment",-,1107,1113,1152,1161,1201,1216,1219,1235,1187,1200,-,1112,-,-,-
13,Long-Term Investments,-,279.05,277.01,195.33,193.82,189.37,82.76,81.86,81.86,46.93,47.42,-,46.62,-,-,-
14,Goodwill,-,29.15,29.15,29.15,29.15,49.4,49.4,49.4,49.4,49.4,49.4,-,49.4,-,-,-
15,Other Intangible Assets,-,126.24,127.49,128.82,129.98,131.23,132.48,133.74,134.97,136.23,137.47,-,139.58,-,-,-
16,Long-Term Deferred Tax Assets,-,-,2.12,-,-,1.01,1.19,0.35,0.4,-,-,-,-,-,-,-
17,Long-Term Deferred Charges,-,4.11,3.57,5.7,-,-,-,-,-,0.46,0.27,-,0.54,-,-,-
18,Other Long-Term Assets,-,0.02,1.76,0.02,4.12,2.89,32.66,2.93,5.79,5.62,4.39,-,77.8,-,-,-
19,Total Assets,-,3244,3262,3310,3293,3338,3698,3722,3751,3732,2196,-,2173,-,-,-
20,Accounts Payable,-,119.93,135.49,151.47,151.55,135.78,144.57,137.8,173.75,169.16,178.91,-,176.65,-,-,-
21,Accrued Expenses,-,23.14,26.93,20.83,38.5,34.5,38.57,26.72,43.29,40.7,34.64,-,39.37,-,-,-
22,Short-Term Debt,-,95.69,96.76,95.91,61.51,20.49,60.39,48.8,62.32,89.64,58.88,-,105.75,-,-,-
23,Current Portion of Long-Term Debt,-,101.33,129.78,97.17,115.6,138.76,115.7,161.63,158.34,54.41,81.7,-,5.35,-,-,-
24,Current Portion of Leases,-,-,0.32,-,0.33,-,0.19,-,0.26,-,0.26,-,0.33,-,-,-
25,Current Income Taxes Payable,-,8.58,7.29,7.47,6.98,6.82,10.18,17.37,11.52,10.53,7.55,-,22.6,-,-,-
26,Current Unearned Revenue,-,62.45,50.42,56.92,55.34,59.06,42.21,45.34,34.51,45.94,62.56,-,48.91,-,-,-
27,Other Current Liabilities,-,15.63,15.98,15.03,20.61,22.43,351.26,54.18,52.63,47.95,53.19,-,54.84,-,-,-
28,Total Current Liabilities,-,426.76,462.97,444.8,450.42,417.84,763.07,491.85,536.61,458.35,477.69,-,453.79,-,-,-
29,Long-Term Debt,-,91.72,81.61,112.51,112.64,168.25,190.91,235.39,255.1,384.16,328.42,-,411.55,-,-,-
30,Long-Term Leases,-,0.56,0.7,0.39,0.53,0.82,0.6,0.56,0.57,0.16,0.13,-,0.12,-,-,-
