,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,171.46,135.63,151.83,136.37,163.39,134.44,171.98,164.59,194.9,202.6,152.73,175.92,182.62,177.54,152.17,152.17
1,Other Revenue,-,-0.18,0.18,-,0.4,-0.11,0.11,-,7.01,-0.15,0.15,-,2.18,-2.02,1.01,1.01
2,Revenue,171.46,135.45,152.01,136.37,163.79,134.33,172.09,164.59,201.9,202.45,152.88,175.92,184.8,175.52,153.18,153.18
3,Revenue Growth (YoY),4.68%,0.84%,-11.67%,-17.14%,-18.88%,-33.65%,12.56%,-6.44%,9.25%,15.34%,-0.19%,14.84%,-,-,-,-
4,Cost of Revenue,-271.7,83.72,95.84,92.14,109.29,99.69,98.29,91.24,123.84,104.27,85.26,91.14,96.23,93.46,75.14,75.14
5,Gross Profit,443.16,51.73,56.17,44.23,54.5,34.64,73.8,73.35,78.06,98.18,67.62,84.78,88.57,82.06,78.04,78.04
6,"Selling, General & Admin",-76,26.92,24.03,25.05,33.94,27.48,25.56,27.29,34.94,29.28,20.65,20.83,27.72,20.1,20.96,20.96
7,Research & Development,-20.73,5.38,7.3,8.06,4.67,8.3,9.09,9.57,4.7,11.64,10.98,10.6,4.99,12.48,9.16,9.16
8,Other Operating Expenses,496.19,-2.43,0.1,0.23,5.18,-1.93,-3.06,-1.61,10.13,-6.66,-2.29,-4.39,7.13,-6.86,-3.71,-3.71
9,Operating Expenses,397.65,32.48,31.22,32.74,51.24,37.02,34.42,39.73,51.8,38.71,29.4,28.64,41.36,22.98,27.69,27.69
10,Operating Income,45.52,19.25,24.95,11.49,3.26,-2.38,39.38,33.62,26.26,59.46,38.22,56.14,47.21,59.08,50.35,50.35
11,Interest Expense,-9.64,-,-5.43,-2.42,-15.71,-,-0.39,-3.99,-2.5,-2.01,-2.2,-3.48,-1.08,-3.51,-2.94,-2.94
12,Interest & Investment Income,7.45,3.51,2.95,3.57,6.28,4.62,3.33,2.91,3.67,1.63,0.37,1.72,0.73,1.36,1.64,1.64
13,Currency Exchange Gain (Loss),-,0.05,-0.05,-,-1.44,1.33,-1.33,-,-0.03,0.44,-0.44,-,0.44,-0.1,0.05,0.05
14,Other Non Operating Income (Expenses),1.77,-3.07,1.76,-0.6,-1.97,-1.74,-2.63,2.48,-1.13,0.41,-0.02,-0.83,1.47,-1.24,0.53,0.53
15,EBT Excluding Unusual Items,45.1,19.75,24.18,12.04,-9.57,1.83,38.36,35.02,26.27,59.93,35.93,53.54,48.77,55.59,49.62,49.62
16,Impairment of Goodwill,-,-,-,-,-20.25,-,-,-,-,-,-,-,-,-,-,-
17,Gain (Loss) on Sale of Investments,-17.69,5.61,6.04,6.05,4.52,4.5,14.29,2.92,4.39,0.38,2.02,1.13,2.72,0.64,1.12,1.12
18,Gain (Loss) on Sale of Assets,-,-,-,-,-0.1,-0.02,-0.33,-,-0.09,-,-,-,0.22,0.38,-0.08,-0.08
19,Asset Writedown,-1.21,1.23,-1.78,1.75,0.09,-0.2,0.01,-0.05,-0.59,0.57,-0.58,0.09,0.01,-0.35,-,-
20,Other Unusual Items,-,-3.53,3.53,-,10.13,0.01,-0.01,-,17.16,0.02,-0.02,-,11.66,-4.1,2.05,2.05
21,Pretax Income,26.2,23.06,31.97,19.84,-15.18,6.12,52.31,37.89,47.15,60.9,37.35,54.76,63.37,52.16,52.71,52.71
22,Income Tax Expense,-7.71,6.14,5.55,3.99,10.97,1.63,9.53,6.94,8.79,9.31,6.28,8.66,11.59,8.29,9.29,9.29
23,Earnings From Continuing Operations,33.9,16.92,26.42,15.85,-26.15,4.49,42.78,30.95,38.35,51.59,31.06,46.11,51.78,43.88,43.42,43.42
24,Minority Interest in Earnings,-15.84,5.35,3.96,6.53,17.64,7.87,5.56,5.22,5.15,0.96,1.83,-0.09,1.48,0.82,2.23,2.23
25,Net Income,18.07,22.26,30.38,22.38,-8.51,12.36,48.34,36.17,43.5,52.55,32.9,46.02,53.26,44.7,45.66,45.66
26,Net Income to Common,18.07,22.26,30.38,22.38,-8.51,12.36,48.34,36.17,43.5,52.55,32.9,46.02,53.26,44.7,45.66,45.66
27,Net Income Growth,-,80.10%,-37.16%,-38.12%,-,-76.48%,46.95%,-21.41%,-18.33%,17.56%,-27.95%,0.80%,-,-,-,-
28,Shares Outstanding (Basic),139,139,138,140,137,138,138,139,137,116,105,103,103,104,104,104
29,Shares Outstanding (Diluted),139,139,138,140,137,138,138,139,137,116,105,103,103,104,104,104
30,Shares Change (YoY),1.38%,0.75%,-0.13%,0.55%,-0.06%,19.45%,31.98%,34.88%,32.84%,11.41%,0.39%,-0.95%,-,-,-,-
31,EPS (Basic),0.13,0.16,0.22,0.16,-0.06,0.09,0.35,0.26,0.32,0.45,0.31,0.45,0.52,0.43,0.44,0.44
