,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,453,518,653,2150,2150,2150,4147,11827,4512,1277,1376
1,Market Cap Growth,-75.89%,-75.89%,-69.64%,0%,-48.15%,-81.82%,-8.09%,826.32%,227.91%,-36.67%,-10.23%
2,Enterprise Value,402,443,561,2248,2248,2248,4245,11107,4017,1009,1160
3,Last Close Price,0.12,0.14,0.17,0.56,0.56,0.56,1.08,3.08,1.17,0.33,0.35
4,PE Ratio,-,-26.31,-,3.64,71.20,-1.47,-,27.97,12.43,3.56,6.59
5,PS Ratio,3.40,3.89,4.84,16.91,18.69,3.64,4.01,16.14,8.20,2.48,4.53
6,PB Ratio,3.39,3.64,4.65,12.59,-5.10,-4.93,-9.10,11.31,6.56,2.09,3.58
7,P/TBV Ratio,3.87,3.87,4.98,13.37,-,-,-,-,6.69,2.18,3.66
8,P/FCF Ratio,-,-,-,-,4854.18,-,7.60,27.74,9.69,3.61,9.37
9,P/OCF Ratio,-,-,-,-,829.63,-,7.53,27.62,9.64,3.56,9.06
10,EV/Sales Ratio,3.01,3.32,4.16,17.68,19.54,3.81,4.10,15.16,7.30,1.96,3.82
11,EV/EBITDA Ratio,125.13,274.19,-,106.85,178.54,7.81,6.50,20.05,8.99,2.31,4.51
12,EV/EBIT Ratio,482.45,482.45,-,105.72,191.00,7.13,6.63,21.86,9.19,2.36,4.62
13,EV/FCF Ratio,-18.26,-,-,-,5075.19,-,7.77,26.05,8.63,2.86,7.90
14,Debt / Equity Ratio,0.01,0.01,0.01,0.00,-1.39,-1.38,-1.36,0.71,0.01,0.01,0.03
15,Debt / FCF Ratio,-,-,-,-,1322.61,-,1.14,1.74,0.02,0.03,0.07
16,Return on Capital Employed (ROCE),0.64%,0.64%,-,12.21%,-,-,-,30.34%,60.34%,66.99%,61.30%
17,Earnings Yield,-3.32%,-3.80%,85.06%,27.51%,1.40%,-68.10%,-29.25%,3.58%,8.04%,28.13%,15.17%
18,FCF Yield,-4.85%,-4.24%,-4.09%,9.38%,0.02%,5.03%,13.17%,3.60%,10.32%,27.67%,10.68%
