,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019"
0,Operating Revenue,6062,6684,4765,5770,5114,5533,3661,5151,5493,5757,4124,4797,4457,4475,3702,3584,3391,3481,3436,4052
1,Other Revenue,-22.94,22.94,-,35.71,-17.94,17.94,-,44.7,-17.8,17.8,-,37.81,-17.41,17.41,-,38.87,-14.11,14.11,-,31.54
2,Revenue,6039,6707,4765,5805,5097,5551,3661,5195,5475,5774,4124,4835,4440,4492,3702,3623,3377,3495,3436,4083
3,Revenue Growth (YoY),18.50%,20.83%,30.15%,11.74%,-6.92%,-3.87%,-11.23%,7.45%,23.33%,28.55%,11.39%,33.46%,31.46%,28.52%,7.77%,-11.27%,-,-,-,-
4,Cost of Revenue,4350,4879,3413,4434,3660,4226,2806,4091,3990,4337,3066,3674,3217,3308,2652,2878,2412,2809,2616,2335
5,Gross Profit,1690,1828,1352,1371,1436,1325,854.56,1104,1486,1438,1058,1162,1223,1184,1051,745.11,964.81,686.27,820.21,1749
6,"Selling, General & Admin",362.39,355.2,269.86,188.94,244.85,173.14,142.26,131.45,260.41,278.21,173.28,196.62,198.86,190.2,160.57,52.84,183.31,203.19,212.11,918.1
7,Research & Development,85.36,73.51,79,80.66,82.03,74.26,72.09,68.86,70.33,90.74,60.93,60.13,54.13,62.27,57.75,47.37,56.48,40.69,64.57,283.7
8,Other Operating Expenses,0.85,1,0.81,2.39,0.43,0.1,1.73,4.14,-1.53,-0.04,0.87,2.9,0.26,-0.29,0.01,11.73,-5.8,-2.96,0.08,1.62
9,Operating Expenses,439.07,444.74,341.26,280.87,321.72,259.73,204.15,208.03,322.12,381.24,230.82,260.37,251.14,259.41,220.14,116.21,231.65,240.22,270.79,1209
10,Operating Income,1251,1383,1011,1091,1115,1065,650.41,896.35,1163,1057,826.83,901.26,971.65,924.7,830.42,628.9,733.16,446.05,549.42,539.48
11,Interest Expense,-8.1,-9.18,-12.55,-12.38,-22.3,-19.45,-16.96,-13.82,-27.89,-17.15,-8.9,-12.44,-8.76,-9.31,-6.76,-8.25,-6.78,-15.85,-20.99,-125.24
12,Interest & Investment Income,42.37,52.64,43.29,36.16,56.64,41.68,37.02,48.76,23.16,44.08,27.84,37.57,30.91,10.99,3.92,2.01,2.9,1.84,1.51,76.17
13,Currency Exchange Gain (Loss),18.09,-18.09,-,62.52,-67.18,67.18,-,82.17,-84.18,84.18,-,30.51,-3.53,3.53,-,-18.64,8.22,-8.22,-,7.66
14,Other Non Operating Income (Expenses),15.37,11.48,-23.98,-60.46,50.89,28.38,-41.57,-171.43,160.59,-15.11,0.49,-19.76,18.04,6.31,-9.84,26.7,-26.28,3.61,-3.55,0.97
15,EBT Excluding Unusual Items,1318,1420,1017,1116,1133,1183,628.9,842.04,1235,1153,846.26,937.14,1008,936.22,817.74,630.72,711.22,427.44,526.39,499.04
16,Gain (Loss) on Sale of Investments,-0.09,2.5,5.36,-16.77,4.01,3.92,2.84,8.19,1.96,8.03,5.93,0.18,0.1,0.11,-0.09,0.05,-,-,-,-
17,Gain (Loss) on Sale of Assets,-2.49,0.28,-0.39,-0.92,0.27,0.68,-0.02,-0.01,-0.07,0.21,-0.59,0.07,-1.64,1.78,-1.95,0.3,-1.03,-1.09,0.76,-2.89
18,Asset Writedown,-78.45,21.83,-21.83,93.52,-109.59,49.24,-49.24,147.15,-152.95,34.2,-38.93,73.81,-81.63,32.93,-42.19,70.87,-72.25,34.23,-41.68,-0.16
19,Other Unusual Items,-2.11,3.98,-2.65,-2.43,-,-,-,0.94,-,-,-,3.61,-,-,-,12.88,-,-,-,-1.57
20,Pretax Income,1235,1449,997.96,1190,1027,1237,582.48,998.31,1084,1195,812.68,1015,925.14,971.03,773.5,714.84,637.94,460.58,485.47,494.42
21,Income Tax Expense,269.6,358.07,210.46,276.48,196.11,261.99,101.33,215.83,200.38,281.32,164.47,244.04,218.61,257.19,196.78,153.83,95.07,91.17,80.17,95.92
22,Earnings From Continuing Operations,965.57,1091,787.51,913.29,831.25,974.52,481.15,782.48,883.69,913.65,648.21,770.77,706.53,713.84,576.71,561.01,542.87,369.41,405.3,398.49
23,Minority Interest in Earnings,-0.67,0.16,-0.01,-0.05,0.05,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
24,Net Income,964.9,1091,787.49,913.24,831.3,974.52,481.15,782.48,883.69,913.65,648.21,770.77,706.53,713.84,576.71,561.01,542.87,369.41,405.3,398.49
25,Net Income to Common,964.9,1091,787.49,913.24,831.3,974.52,481.15,782.48,883.69,913.65,648.21,770.77,706.53,713.84,576.71,561.01,542.87,369.41,405.3,398.49
26,Net Income Growth,16.07%,11.94%,63.67%,16.71%,-5.93%,6.66%,-25.77%,1.52%,25.07%,27.99%,12.40%,37.39%,30.15%,93.24%,42.29%,40.78%,-,-,-,-
27,Shares Outstanding (Basic),1162,1158,1175,1171,1171,1156,1174,1168,1163,1174,1158,1172,1178,1120,1049,1036,1068,1055,1039,1050
28,Shares Outstanding (Diluted),1162,1158,1175,1171,1171,1156,1174,1168,1163,1174,1158,1172,1178,1120,1049,1036,1068,1055,1039,1050
29,Shares Change (YoY),-0.76%,0.21%,0.16%,0.31%,0.76%,-1.54%,1.38%,-0.35%,-1.32%,4.75%,10.39%,13.14%,10.27%,6.24%,0.90%,-1.36%,-,-,-,-
30,EPS (Basic),0.83,0.94,0.67,0.78,0.71,0.84,0.41,0.67,0.76,0.78,0.56,0.66,0.60,0.64,0.55,0.54,0.51,0.35,0.39,0.38
31,EPS (Diluted),0.83,0.94,0.67,0.78,0.71,0.84,0.41,0.67,0.76,0.78,0.56,0.66,0.60,0.64,0.55,0.54,0.51,0.35,0.39,0.38
32,EPS Growth,16.96%,11.70%,63.41%,16.35%,-6.64%,8.33%,-26.79%,1.88%,26.75%,22.19%,1.82%,21.43%,18.03%,81.88%,41.03%,42.72%,-,-,-,-
33,Free Cash Flow,2165,188.94,744.96,26.72,1609,303.16,600.4,-32.93,1608,267.29,-24.71,170.52,614.95,162.16,198.65,111.09,916.45,800.02,528.56,-
34,Free Cash Flow Per Share,1.86,0.16,0.63,0.02,1.37,0.26,0.51,-0.03,1.38,0.23,-0.02,0.15,0.52,0.14,0.19,0.11,0.86,0.76,0.51,-
35,Dividend Per Share,-,-,-,1.200,-,-,-,1.200,-,-,-,1.100,-,1.000,-,-,-,-,-,-
36,Dividend Growth,-,-,-,0%,-,-,-,9.09%,-,-,-,-,-,-,-,-,-,-,-,-
