,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,77279,86253,71012,71327,61431,58572,56880,61291,66647,55899,85284,84818,103921,103186,132921,-,-,-,-,-,-
1,Market Cap Growth,47.26%,47.26%,24.85%,16.37%,-7.83%,4.78%,-33.31%,-27.74%,-35.87%,-45.83%,-35.84%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,70332,80202,64924,65960,56064,53662,52102,56257,61614,51562,81086,80602,99706,98410,131871,-,-,-,-,-,-
3,Last Close Price,66.22,73.91,60.85,60.04,51.71,49.31,47.88,50.26,54.65,45.84,69.93,68.54,83.98,83.38,106.12,-,-,-,-,-,-
4,PE Ratio,20.13,22.96,19.60,20.34,19.20,19.08,18.22,20.02,20.65,17.38,28.06,29.87,37.55,40.34,55.51,-,-,-,-,-,-
5,Forward PE,17.92,19.98,17.02,19.19,17.11,16.97,16.80,16.96,17.41,14.68,23.14,24.47,32.22,33.52,49.27,-,-,-,-,-,-
6,PS Ratio,3.22,3.70,3.17,3.36,3.05,3.00,2.86,3.05,3.24,2.77,4.45,4.74,5.95,6.35,8.75,-,-,-,-,-,-
7,PB Ratio,4.72,5.27,4.61,4.52,4.06,4.10,4.20,4.51,5.05,4.39,7.41,7.33,9.51,10.11,12.50,-,-,-,-,-,-
8,P/TBV Ratio,5.53,5.53,4.86,4.72,4.26,4.30,4.41,4.72,5.22,4.52,7.65,7.51,9.76,10.31,12.74,-,-,-,-,-,-
9,P/FCF Ratio,27.59,27.59,27.64,26.58,24.19,23.62,22.94,25.09,-,27.65,82.96,-,90.66,94.94,95.74,-,-,-,-,-,-
10,P/OCF Ratio,18.30,18.30,17.62,17.71,16.63,16.45,15.02,15.85,19.02,14.51,30.54,35.73,42.89,51.44,63.40,-,-,-,-,-,-
11,EV/Sales Ratio,2.93,3.44,2.90,3.11,2.79,2.75,2.62,2.80,3.00,2.55,4.23,4.51,5.71,6.05,8.68,-,-,-,-,-,-
12,EV/EBITDA Ratio,12.54,14.90,12.42,13.46,12.40,12.46,12.05,13.18,13.96,11.76,19.35,19.91,24.62,26.08,37.39,-,-,-,-,-,-
13,EV/EBIT Ratio,14.16,16.94,14.12,15.41,14.30,14.40,13.80,14.94,15.63,13.06,21.59,22.24,27.48,29.33,42.30,-,-,-,-,-,-
14,EV/FCF Ratio,25.66,25.66,25.27,24.58,22.08,21.64,21.02,23.03,-,25.51,78.87,-,86.98,90.55,94.98,-,-,-,-,-,-
15,Debt / Equity Ratio,0.05,0.05,0.04,0.04,0.06,0.06,0.11,0.10,0.06,0.19,0.22,0.19,0.19,0.20,0.19,0.26,0.26,-,0.51,0.37,0.37
16,Debt / EBITDA Ratio,0.14,0.14,0.09,0.15,0.17,0.18,0.30,0.42,0.19,0.47,0.53,0.59,0.48,0.48,0.49,0.44,0.51,-,1.14,0.60,0.61
17,Debt / FCF Ratio,0.25,0.25,0.22,0.26,0.35,0.37,0.60,0.54,-,1.19,2.48,-,1.78,1.91,1.49,0.81,0.64,-,1.92,2.94,-
18,Asset Turnover,1.13,1.31,0.97,1.21,1.07,1.20,0.84,1.15,1.16,1.32,1.01,1.23,1.15,1.37,1.46,-,-,-,-,-,
