,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019"
0,Cash & Equivalents,4962,4787,4583,3879,4160,4598,4428,3620,5669,5192,4284,4408,4380,5604,2701,2438,-,2360,-,1299
1,Trading Asset Securities,2771,1840,2215,2342,2125,1806,1676,1995,1769,1694,2136,1870,1910,1242,0.09,0.05,-,130,-,100
2,Cash & Short-Term Investments,7733,6627,6797,6222,6285,6405,6104,5616,7438,6887,6420,6278,6290,6846,2701,2438,-,2490,1399,1399
3,Cash Growth,23.05%,3.46%,11.36%,10.79%,-15.50%,-7.00%,-4.92%,-10.56%,18.24%,0.59%,137.70%,157.54%,-,174.96%,93.09%,74.27%,-,-,-,-
4,Accounts Receivable,3435,4423,2873,3765,2853,3507,2120,3115,2796,3398,1998,2487,2450,2615,1961,1770,-,1688,-,2231
5,Other Receivables,78.34,81.18,32.51,17.64,68.64,60.05,33.65,49.53,68.51,89,81.95,92.5,73.91,56.42,49.97,44.45,-,35.02,-,25.61
6,Receivables,3513,4504,2906,3782,2921,3567,2154,3164,2864,3487,2080,2580,2524,2672,2011,1814,-,1723,-,2257
7,Inventory,3204,3004,3265,2741,2951,2800,3183,2464,2843,2957,3054,2671,2484,2328,2273,2088,-,1961,-,2283
8,Other Current Assets,445.64,419.9,561,372.8,342.6,341.04,357,260.7,246.77,255.66,295.57,335.92,317.45,206.81,236.78,169.36,-,135.67,-,327.56
9,Total Current Assets,14896,14555,13529,13118,12500,13113,11798,11504,13392,13586,11850,11865,11615,12053,7221,6510,-,6309,-,6266
10,"Property, Plant & Equipment",5265,5060,4829,4949,4971,4977,4619,4369,4423,4171,3715,3535,3098,3029,2970,2818,-,2987,-,2955
11,Long-Term Investments,206.66,206.66,202.45,202.45,223.31,192,188.9,189.87,172.43,171.08,-,143,-,-,-,-,-,-,-,-
12,Goodwill,126.24,128.39,127.82,127.6,136.85,131.42,124.98,-,-,-,-,-,-,-,-,-,-,-,-,-
13,Other Intangible Assets,628.86,622.87,540.94,557.28,511.5,513.21,494.56,436.82,366.61,352.18,273.85,279.34,196.57,199.49,206.14,200.4,-,210.68,-,182.29
14,Long-Term Deferred Tax Assets,71.05,75.66,74.36,68.06,95.27,121.71,128.82,99.97,91.37,88.73,85.24,65.8,63.39,72.51,65.98,68.35,-,85.98,-,65.46
15,Long-Term Deferred Charges,199.23,189.29,183.86,177.09,170.54,175.73,176.75,177.96,164.96,137.91,120.67,111.74,97.21,87.59,86.68,92.95,-,93.17,-,87.57
16,Other Long-Term Assets,384.37,305.31,341.14,247.34,178.8,202.43,184.46,326.86,310.32,176.86,352.35,179.42,210.8,89.54,68.37,48.81,-,53.56,-,56.12
17,Total Assets,21778,21143,19829,19447,18787,19426,17715,17105,18921,18684,16397,16179,15281,15530,10618,9738,-,9739,-,9613
18,Accounts Payable,2218,2061,1787,1793,1810,1583,1438,1502,1777,1773,1386,1835,1653,1559,1300,1317,-,890.1,-,1290
19,Accrued Expenses,1347,1263,992.61,1059,1010,997.12,884.38,991.03,1041,1028,712.64,801.36,637.1,632.87,508.14,562.22,-,617.12,-,843.1
20,Short-Term Debt,528.84,316.65,546.48,733.3,742.89,1315,1170,683.01,2227,2379,2059,1876,1908,1901,1579,1496,-,2546,-,1552
21,Current Portion of Leases,43.99,45.21,51.18,57.73,57.33,54.87,49.3,50.33,50.22,46.06,43.71,42.56,43.35,41.1,-,-,-,-,-,-
22,Current Income Taxes Payable,573.94,432.87,412.07,463.75,547.35,444.58,358.42,470.41,711.41,563.19,384.63,484.46,549.05,549.73,715.68,576.03,-,537.66,-,406.3
23,Current Unearned Revenue,41.09,33.21,38.01,26.82,67.15,30.82,17.05,17.77,24.71,34.23,21.72,29.94,24.89,18.81,14.85,12.13,-,1.07,-,10.96
24,Other Current Liabilities,45.32,1227,36.39,35.64,33.31,1225,33.59,28.18,88.25,1101,36.49,13.02,36.63,11.95,66.17,12.68,-,143.11,-,1333
25,Total Current Liabilities,4798,5380,3864,4169,4268,5650,3951,3743,5920,6925,4644,5083,4852,4714,4184,3977,-,4735,-,5435
26,Long-Term Leases,198.11,198.27,96.2,107.16,117.89,125.58,107.24,109,126.94,124.1,119.28,116.22,123.1,127.99,72.28,-,-,-,-,-
27,Long-Term Deferred Tax Liabilities,214.87,164.99,73.05,43.7,117.34,100.57,64.31,57.64,142.97,131.04,69.26,53.61,104,52.35,20.78,20.03,-,10.07,-,10.09
28,Other Long-Term Liabilities,185.37,10.44,10.49,10.65,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
29,Total Liabilities,5396,5754,4043,4331,4503,5877,4122,3910,6190,7181,4833,5253,5079,4894,4277,3997,-,4745,-,5445
30,Common Stock,1167,1167,1167,1167,1167,1167,1167,1167,1167,1167,1167,1167,1167,1167,1050,1050,-,1050,-,1050
31,Additional Paid-In Capital,5704,5704,5704,5704,5704,5704,5704,5704,5704,5704,5704,5704,5704,5704,2158,2158,-,2158,-,2158
32,Retained Earnings,10021,9056,9365,8578,7664,6833,7259,6778,5995,5112,5482,4834,4063,4523,3809,3233,-,2129,-,1354
33,Comprehensive Income & Other,-525.21,-552.19,-465.97,-339.37,-251.06,-154.35,-537.31,-453.14,-135.49,-478.6,-788.25,-777.49,-731.59,-758.14,-675.69,-698.92,-,-341.84,-,-393.46
