,Fiscal Quarter,Current,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,880,985,1127,1351,1920,2633,3005,2788,4646,7310,9169
1,Market Cap Growth,-27.06%,-27.06%,-41.29%,-48.71%,-36.08%,-5.56%,-35.33%,-61.86%,-49.32%,-17.48%,-18.59%
2,Enterprise Value,831,974,1054,1340,1801,2534,2815,2656,4559,7299,9178
3,Last Close Price,0.14,0.16,0.18,0.22,0.31,0.42,0.48,0.45,0.75,1.18,1.48
4,PE Ratio,-,-,-,-230.97,-,-,-,35.60,52.67,119.98,248.16
5,PS Ratio,3.90,4.37,4.21,4.78,7.43,10.00,11.05,10.75,19.35,31.60,36.02
6,PB Ratio,2.23,2.50,2.83,3.12,4.42,5.98,6.16,5.78,10.51,18.47,26.56
7,P/TBV Ratio,2.50,2.50,2.83,3.12,4.42,5.97,6.16,5.78,10.51,18.47,26.56
8,P/FCF Ratio,10.06,11.27,26.27,36.31,15.15,-96.97,-,-36.22,-,44.51,-555.07
9,P/OCF Ratio,7.66,7.66,13.42,25.31,11.10,92.99,-,-243.22,-,28.35,118.90
10,EV/Sales Ratio,3.69,4.32,3.94,4.74,6.97,9.62,10.35,10.24,18.99,31.55,36.05
11,EV/EBITDA Ratio,25.71,-97.42,-,24.22,32.00,29.96,23.30,26.92,38.13,53.16,86.79
12,EV/EBIT Ratio,-,-,-,-287.98,-,-,47.14,31.70,57.00,91.74,134.35
13,EV/FCF Ratio,9.51,11.14,24.56,36.04,14.21,-93.34,-,-34.51,-,44.44,-555.66
14,Debt / Equity Ratio,0.04,0.04,0.08,0.08,0.12,0.07,0.08,0.06,0.08,0.13,0.24
15,Debt / FCF Ratio,0.18,0.18,0.77,0.95,0.40,-1.15,-,-0.36,-,0.31,-5.10
16,Return on Capital Employed (ROCE),-,-,-,-1.04%,-,-,11.12%,16.24%,16.66%,18.03%,17.46%
17,Earnings Yield,-4.67%,-4.20%,-2.51%,-0.43%,-2.13%,-1.13%,1.26%,2.81%,1.90%,0.83%,0.40%
18,FCF Yield,9.94%,8.88%,3.81%,2.75%,6.60%,-1.03%,-3.32%,-2.76%,0.95%,2.25%,-0.18%
19,Buyback Yield / Dilution,-,-,-,-,-,0.08%,-0.08%,-0.08%,0.08%,-,
20,Total Shareholder Return,-,-,-,-,-,0.08%,-0.08%,-0.08%,0.08%,-,
