,Fiscal Quarter,Current,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,+20 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019",+20 Quarters
0,Market Capitalization,23,38,41,17,20,21,26,25,25,28,21,31,35,33,44,52,73,76,69,73,57,Upgrade
1,Market Cap Growth,79.88%,79.88%,59.22%,-31.50%,-20.00%,-24.89%,21.18%,-19.68%,-27.27%,-13.46%,-51.43%,-39.27%,-52.59%,-56.67%,-36.36%,-29.31%,28.89%,3.45%,-25.68%,7.41%,-69.39%,Upgrade
2,Enterprise Value,-6,21,24,-6,-3,-7,-3,-12,-12,-11,-18,-15,-12,-9,2,-34,-13,-24,-31,-30,-46,Upgrade
3,Last Close Price,0.05,0.08,0.08,0.10,0.11,0.12,0.15,0.14,0.14,0.16,0.12,0.18,0.20,0.19,0.25,0.29,0.42,0.43,0.39,0.42,0.32,Upgrade
4,PS Ratio,0.19,0.84,0.87,0.33,0.35,0.35,0.42,0.41,0.39,0.44,0.33,0.47,0.51,0.46,0.58,0.68,1.02,1.03,1.00,0.99,0.74,Upgrade
5,PB Ratio,0.43,0.71,0.76,0.46,0.38,0.40,0.41,0.40,-,0.34,0.23,0.34,-,0.32,0.36,0.43,-,0.47,0.41,0.43,-,Upgrade
6,P/TBV Ratio,0.71,0.71,0.77,0.46,0.37,0.39,0.39,0.38,-,0.33,0.23,0.33,-,0.34,0.38,0.45,-,0.47,0.41,0.43,-,Upgrade
7,EV/Sales Ratio,0.47,0.47,0.51,-,-,-,-,-,-,-,-,-,-,-,0.03,-,-,-,-,-,-,Upgrade
8,Debt / Equity Ratio,0.10,0.10,0.10,0.14,0.10,0.10,0.14,0.14,-,0.13,0.16,0.16,-,0.11,0.10,0.10,-,0.02,0.02,0.02,-,Upgrade
9,Debt / EBITDA Ratio,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.16,-,-,-,Upgrade
10,Asset Turnover,0.54,0.59,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,
11,Quick Ratio,1.44,1.44,1.44,0.88,-,1.09,-,1.22,-,1.50,-,1.47,-,1.57,-,1.42,-,3.14,-,2.48,-,Upgrade
12,Current Ratio,2.47,2.47,2.47,1.86,-,2.32,-,2.27,-,2.82,-,2.83,-,3.09,-,3.37,-,5.59,-,4.51,-,Upgrade
13,Return on Equity (ROE),-36.55%,-43.16%,-103.27%,-45.31%,-60.89%,-11.49%,-,-,-17.57%,-18.27%,-,-,-52.23%,-5.02%,-,-,-7.57%,-6.01%,-,-,Upgrade,
14,Return on Assets (ROA),-9.52%,-10.44%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,
15,Return on Capital (ROIC),-13.33%,-15.51%,-62.60%,-24.39%,-30.37%,-3.82%,-,-,-7.67%,-5.97%,-,-,-20.83%,-7.79%,-,-,-0.23%,-3.18%,-,-,Upgrade,
16,Earnings Yield,-118.42%,-71.67%,-75.82%,-163.25%,-132.11%,-140.93%,-96.15%,-107.71%,-86.35%,-60.49%,-129.69%,-79.49%,-164.42%,-179.94%,-108.13%,-95.02%,-44.48%,-35.88%,-31.51%,-28.50%,-38.89%,Upgrade
17,FCF Yield,-72.37%,-25.50%,-11.82%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
18,Buyback Yield / Dilution,-8.79%,-23.73%,-23.73%,-,-,-,-,-139.70%,-,-,-,-0.00%,0.00%,-,-,0.00%,-,0.00%,-,0.00%,-,Upgrade
19,Total Shareholder Return,-8.79%,-23.73%,-23.73%,-,-,-,-,-139.70%,-,-,-,-0.00%,0.00%,-,-,0.00%,-,0.00%,-,0.00%,-,Upgrade
