,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,3605,3250,2285,2314,2455,1972,1916,2297,2069,2196,2196,1557,1557,857.33,857.33
1,Other Revenue,-3.25,3.25,-,10.76,-6.33,6.33,-,8.97,-,-,-,-0.53,-0.53,0.53,0.53
2,Revenue,3602,3253,2285,2325,2449,1978,1916,2306,2069,2196,2196,1556,1556,857.87,857.87
3,Revenue Growth (YoY),47.06%,64.44%,19.26%,0.83%,18.34%,-9.91%,-12.73%,48.18%,32.99%,155.94%,155.94%,-,-,-,-
4,Cost of Revenue,3333,2847,2214,2276,2310,1850,1782,2170,2043,1989,1989,1296,1296,687.75,687.75
5,Gross Profit,269.03,405.74,71.42,48.59,139.01,127.79,134.35,135.68,26.36,206.44,206.44,259.58,259.58,170.12,170.12
6,"Selling, General & Admin",67.96,60.74,64.41,64.42,53.98,52.81,47.88,48.92,143.86,-,-,39.23,39.23,30.05,30.05
7,Research & Development,13.18,8.46,5.62,8.38,5.08,4.57,5.14,6.01,16.68,-,-,4.81,4.81,3.97,3.97
8,Other Operating Expenses,5.53,-5.14,8.66,0.76,2.99,-0.72,1.59,1.55,-252.3,120.86,120.86,-0.89,-0.89,0.97,0.97
9,Operating Expenses,88.06,65.16,78.88,70,65.39,59.79,56.04,57.32,-83.51,120.86,120.86,43.3,43.3,36.71,36.71
10,Operating Income,180.97,340.58,-7.45,-21.41,73.62,68,78.31,78.36,109.87,85.59,85.59,216.28,216.28,133.41,133.41
11,Interest Expense,-46.36,-26.78,-35.97,-30.88,-62.34,-24.79,-17.96,-34.22,-79.59,-,-,-2.89,-2.89,-2.27,-2.27
12,Interest & Investment Income,2.81,1.96,0.27,-,-,37.08,6.23,-,17.74,-,-,5.84,5.84,1.56,1.56
13,Other Non Operating Income (Expenses),-31.53,0.56,-0.3,11.7,-4.47,-3.45,-4.59,9.19,-0.26,-4.63,-4.63,-0.76,-0.76,-0.09,-0.09
14,EBT Excluding Unusual Items,105.89,316.31,-43.46,-40.59,6.81,76.84,62,53.33,47.76,80.95,80.95,218.47,218.47,132.61,132.61
15,Gain (Loss) on Sale of Investments,32.3,-143.03,-38.08,57.1,45.1,-5.62,-13.75,-45.29,4.82,-,-,-0,-0,-,-
16,Gain (Loss) on Sale of Assets,-0,0.04,-,0.01,-,-0.19,-,-0.01,0,-,-,0.35,0.35,-0.11,-0.11
17,Asset Writedown,-2.3,-1.16,-,-4.52,-6.39,1.72,-1.72,4.8,-13.19,-,-,-2.47,-2.47,-1.34,-1.34
18,Other Unusual Items,0.21,-8.41,8.2,-4.51,-,-,-,-6.9,-,-,-,11.8,11.8,-2.26,-2.26
19,Pretax Income,136.09,163.75,-73.34,7.48,45.53,72.76,46.53,5.93,39.39,80.95,80.95,228.15,228.15,128.9,128.9
20,Income Tax Expense,-0.05,-1.43,1.09,-3.68,-1.62,0.52,1.54,2.11,7.87,-3.24,-3.24,39.65,39.65,22.8,22.8
21,Earnings From Continuing Operations,136.14,165.18,-74.43,11.16,47.15,72.24,44.98,3.82,31.53,84.19,84.19,188.49,188.49,106.1,106.1
22,Minority Interest in Earnings,-38.88,-6.53,-0.57,0.34,0.35,2.45,1.38,4.25,1.69,1.38,1.38,1.32,1.32,1.1,1.1
23,Net Income,97.27,158.65,-75,11.5,47.5,74.69,46.37,8.07,33.22,85.57,85.57,189.81,189.81,107.2,107.2
24,Net Income to Common,97.27,158.65,-75,11.5,47.5,74.69,46.37,8.07,33.22,85.57,85.57,189.81,189.81,107.2,107.2
25,Net Income Growth,104.79%,112.42%,-,42.49%,42.97%,-12.72%,-45.81%,-95.75%,-82.50%,-20.18%,-20.18%,-,-,-,-
26,Shares Outstanding (Basic),400,400,400,400,360,360,360,360,909,86,86,360,360,360,360
27,Shares Outstanding (Diluted),400,400,400,400,360,360,360,360,909,86,86,360,360,360,360
28,Shares Change (YoY),11.06%,11.14%,11.12%,11.13%,-60.38%,320.62%,320.70%,0.01%,152.44%,-76.23%,-76.23%,-,-,-,-
29,EPS (Basic),0.24,0.40,-0.19,0.03,0.13,0.21,0.13,0.02,0.04,1.00,1.00,0.53,0.53,0.30,0.30
30,EPS (Diluted),0.24,0.40,-0.19,0.03,0.13,0.21,0.13,0.02,0.04,1.00,1.00,0.53,0.53,0.30,0.30
31,EPS Growth,84.39%,91.12%,-,28.22%,260.84%,-79.25%,-87.12%,-95.75%,-93.07%,235.80%,235.80%,-,-,-,-
32,Free Cash Flow,76.01,235.17,-377.11,-487.51,-577.42,-596.28,-533.21,-99.68,-1240,159.16,159.16,-156.99,-156.99,-115.81,-115.81
33,Free Cash Flow Per Share,0.19,0.59,-0.94,-1.22,-1.60,-1.66,-1.48,-0.28,-1.36,1.86,1.86,-0.44,-0.44,-0.32,-0.32
34,Gross Margin,7.47%,12.47%,3.13%,2.09%,5.68%,6.46%,7.01%,5.88%,1.27%,9.40%,9.40%,16.68%,16.68%,19.83%,19.83%
35,Operating Margin,5.02%,10.47%,-0.33%,-0.92%,3.01%,3.44%,4.09%,3.40%,5.31%,3.90%,3.90%,13.90%,13.90%,15.55%,15.55%
36,Profit Margin,2.70%,4.88%,-3.28%,0.49%,1.94%,3.78%,2.42%,0.35%,1.61%,3.90%,3.90%,12.20%,12.20%,12.50%,12.50%
37,Free Cash Flow Margin,2.11%,7.23%,-16.50%,-20.97%,-23.58%,-30.14%,-27.83%,-4.32%,-59.92%,7.25%,7.25%,-10.09%,-10.09%,-13.50%,-13.50%
38,EBITDA,228.8,414.58,40.38,26.42,108.87,106.65,113.57,113.62,134.99,110.71,110.71,231.6,231.6,146.79,146.79
39,EBITDA Margin,6.35%,12.75%,1.77%,1.14%,4.45%,5.39%,5.93%,4.93%,6.52%,5.04%,5.04%,14.88%,14.88%,17.11%,17.11%
40,D&A For EBITDA,47.83,74,47.83,47.83,35.26,38.64,35.26,35.26,25.12,25.12,25.12,15.32,15.32,13.38,13.38
41,EBIT,180.97,340.58,-7.45,-21.41,73.62,68,78.31,78.36,109.87,85.59,85.59,216.28,216.28,133.41,133.41
42,EBIT Margin,5.02%,10.47%,-0.33%,-0.92%,3.01%,3.44%,4.09%,3.40%,5.31%,3.90%,3.90%,13.90%,13.90%,15.55%,15.55%
43,Effective Tax Rate,-,-,-,-,-,0.72%,3.32%,35.51%,19.97%,-,-,17.38%,17.38%,17.69%,17.69%
44,Revenue as Reported,3602,3253,2285,8668,2449,1978,1916,8767,-,-,-,-,-,-,-
