,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,1082,681.09,450.72,384.56,1067,-,-,213.74,-,-,-,175.78,175.78,61.56,61.56
1,Short-Term Investments,-,-,-,-,-,-,-,-,-,-,-,40.99,40.99,40.28,40.28
2,Trading Asset Securities,0,3.67,-,0.75,29.46,-,-,-,-,-,-,110.87,110.87,331.07,331.07
3,Cash & Short-Term Investments,1082,684.76,450.72,385.31,1097,-,213.74,213.74,-,-,284.84,327.64,327.64,432.91,432.91
4,Cash Growth,-1.32%,-,110.87%,80.27%,-,-,-24.96%,-34.76%,-,-,-34.20%,-,-,-,-
5,Accounts Receivable,46.56,69.1,55.98,105.9,121.15,-,-,86.47,-,-,-,169.76,169.76,114.39,114.39
6,Other Receivables,182.74,303.8,187.62,293.52,165.02,-,-,262.95,-,-,-,81.4,81.4,38.69,38.69
7,Receivables,229.3,372.9,243.59,399.42,286.18,-,-,349.42,-,-,-,251.16,251.16,153.09,153.09
8,Inventory,3856,3751,3565,3288,2987,-,-,2083,-,-,-,1151,1151,954.89,954.89
9,Other Current Assets,316.16,316.23,531.12,310.98,442.71,-,-,151.39,-,-,-,79.43,79.43,53.59,53.59
10,Total Current Assets,5483,5124,4790,4383,4813,-,-,2798,-,-,-,1809,1809,1594,1594
11,"Property, Plant & Equipment",6299,6194,5852,5737,5225,-,-,4246,-,-,-,1406,1406,945.72,945.72
12,Long-Term Investments,50.95,50.78,50.12,51.09,52.78,-,-,52.86,-,-,-,16.19,16.19,22.63,22.63
13,Other Intangible Assets,391.5,393.87,396.17,398.52,394.12,-,-,350.49,-,-,-,181.26,181.26,177.12,177.12
14,Long-Term Deferred Tax Assets,13.66,13.73,12.36,13.5,10.85,-,-,12.84,-,-,-,7.3,7.3,4.48,4.48
15,Long-Term Deferred Charges,5.29,5.73,4.39,4.88,5.16,-,-,8.08,-,-,-,12.48,12.48,14.83,14.83
16,Other Long-Term Assets,27.67,88.46,61,16.74,101.63,-,-,121.48,-,-,-,127.27,127.27,69.59,69.59
17,Total Assets,12271,11871,11167,10606,10602,-,-,7589,-,-,-,3559,3559,2829,2829
18,Accounts Payable,1650,791.64,1619,478.23,1272,-,-,274.63,-,-,-,97.42,97.42,65.53,65.53
19,Accrued Expenses,38.84,120.05,41.33,101.93,33.78,-,-,70.95,-,-,-,40.66,40.66,45.93,45.93
20,Short-Term Debt,2974,2853,2404,2013,2529,-,-,1990,-,-,-,410.96,410.96,240.89,240.89
21,Current Portion of Long-Term Debt,536.67,340.39,107.21,190.41,94.82,-,-,120.86,-,-,-,-,-,-,-
22,Current Portion of Leases,-,1.9,-,1.82,-,-,-,33.52,-,-,-,-,-,-,-
23,Current Income Taxes Payable,14.7,-,21.65,0.41,22.86,-,-,8.83,-,-,-,48.55,48.55,26.46,26.46
24,Current Unearned Revenue,64.17,76.74,129.39,6.09,60.72,-,-,17.23,-,-,-,62.49,62.49,95.98,95.98
25,Other Current Liabilities,110.19,1056,101.86,1080,53.04,-,-,837.74,-,-,-,372.23,372.23,230.92,230.92
26,Total Current Liabilities,5389,5239,4424,3871,4065,-,-,3354,-,-,-,1032,1032,705.72,705.72
27,Long-Term Debt,1973,1890,2166,2087,1918,-,-,629.79,-,-,-,-,-,-,-
28,Long-Term Leases,51.02,21.42,22,22.23,24.39,-,-,65.7,-,-,-,-,-,-,-
29,Long-Term Unearned Revenue,54.92,56.61,58.31,58.98,53.6,-,-,57.93,-,-,-,46.87,46.87,27.01,27.01
30,Long-Term Deferred Tax Liabilities,3.12,3.24,3.34,3.39,-,-,-,3.34,-,-,-,-,-,-,-
31,Total Liabilities,7471,7211,6673,6043,6061,-,-,4110,-,-,-,1079,1079,732.73,732.73
32,Common Stock,402.1,400.01,400.01,400.01,400.01,-,-,360,-,-,-,360,360,360,360
33,Additional Paid-In Capital,1649,1633,1633,1633,1633,-,-,783.51,-,-,-,937.09,937.09,937.09,937.09
34,Retained Earnings,2433,2336,2177,2252,2241,-,-,2072,-,-,-,1140,1140,760.81,760.81
35,Treasury Stock,-17.79,-,-,-,-,-,-,-,-,-,-,-,-,-,-
36,Comprehensive Income & Other,100.57,99.49,98.23,95.97,93.13,-,-,93.47,-,-,-,45.25,45.25,38.81,38.81
37,Total Common Equity,4567,4469,4309,4382,4367,-,3309,3309,-,-,3225,2483,2483,2097,2097
38,Minority Interest,233.04,191.14,184.61,181.08,173.94,-,-,169.24,-,-,-,-2.76,-2.76,-0.57,-0.57
39,Shareholders' Equity,4800,4660,4493,4563,4541,-,3478,3478,-,-,3221,2480,2480,2096,2096
40,Total Liabilities & Equity,12271,11871,11167,10606,10602,-,-,7589,-,-,-,3559,3559,2829,2829
41,Total Debt,5535,5106,4699,4314,4566,-,2840,2840,-,-,1617,410.96,410.96,240.89,240.89
42,Net Cash (Debt),-4452,-4422,-4248,-3929,-3469,-,-2626,-2626,-,-,-1332,-83.32,-83.32,192.02,192.02
43,Net Cash Per Share,-11.13,-11.05,-10.62,-9.82,-9.63,-,-7.29,-7.29,-,-,-15.57,-0.23,-0.23,0.53,0.53
44,Filing Date Shares Outstanding,402.1,400.01,400.01,400.01,400.01,400,359.99,360,908.8,85.57,85.57,360,360,360,360
45,Total Common Shares Outstanding,402.1,400.01,400.01,400.01,400.01,400,359.99,360,908.8,85.57,85.57,360,360,360,360
46,Working Capital,94.68,-114.8,366.5,511.85,747.55,-,-,-556.04,-,-,-,776.53,776.53,888.76,888.76
47,Book Value Per Share,11.36,11.17,10.77,10.95,10.92,-,9.19,9.19,-,-,8.96,6.90,6.90,5.82,5.82
48,Tangible Book Value,4176,4075,3913,3983,3973,-,2959,2959,-,-,2988,2302,2302,1920,1920
49,Tangible Book Value Per Share,10.38,10.19,9.78,9.96,9.93,-,8.22,8.22,-,-,8.30,6.39,6.39,5.33,5.33
50,Buildings,-,2853,-,2587,-,-,-,934.16,-,-,-,359.89,359.89,331.92,331.92
51,Machinery,-,1716,-,1501,-,-,-,993.08,-,-,-,458.97,458.97,381.38,381.38
52,Construction In Progress,-,2322,-,2207,-,-,-,2703,-,-,-,781.46,781.46,402.84,402.84
