,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 11, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,8187,8668,6980,7876,8668,10120,-,-,-,-,-,-,-,-,-,-
1,Market Cap Growth,-14.35%,-14.35%,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,12872,13281,11413,11519,12311,14017,-,-,-,-,-,-,-,-,-,-
3,Last Close Price,20.36,21.67,17.45,19.69,21.67,25.30,-,-,-,-,-,-,-,-,-,-
4,PE Ratio,42.33,45.05,48.93,-,48.14,57.30,-,-,-,-,-,-,-,-,-,-
5,PS Ratio,0.71,0.76,0.68,0.87,1.00,1.17,-,-,-,-,-,-,-,-,-,-
6,PB Ratio,1.79,1.81,1.50,1.75,1.90,2.23,-,-,-,-,-,-,-,-,-,-
7,P/TBV Ratio,2.08,2.08,1.71,2.01,2.18,2.55,-,-,-,-,-,-,-,-,-,-
8,P/FCF Ratio,-,-15.66,-5.78,-,-,-,-,-,-,-,-,-,-,-,-,-
9,P/OCF Ratio,15.46,15.46,-83.36,-,-,-,-,-,-,-,-,-,-,-,-,-
10,EV/Sales Ratio,1.12,1.16,1.11,1.27,1.42,1.62,-,-,-,-,-,-,-,-,-,-
11,EV/EBITDA Ratio,17.77,18.70,19.34,40.80,34.63,31.66,-,-,-,-,-,-,-,-,-,-
12,EV/EBIT Ratio,26.13,26.96,29.62,-,-,46.99,-,-,-,-,-,-,-,-,-,-
13,EV/FCF Ratio,-23.26,-24.00,-9.46,-,-,-,-,-,-,-,-,-,-,-,-,-
14,Debt / Equity Ratio,1.15,1.15,1.10,1.05,0.95,1.01,-,0.82,0.82,-,-,0.50,0.17,0.17,0.11,0.11
15,Debt / EBITDA Ratio,7.64,6.05,3.07,29.09,37.19,10.48,-,6.25,6.10,-,-,3.65,0.44,0.44,0.41,0.41
16,Debt / FCF Ratio,-,-10.00,-4.23,-,-,-,-,-,-,-,-,-5.98,-,-,-,-
17,Asset Turnover,1.19,1.13,0.84,0.88,-,-,-,-,-,-,-,1.75,1.95,1.21,-,
18,Inventory Turnover,3.12,3.51,3.11,2.58,2.90,-,-,-,-,-,-,-,4.51,4.93,2.88,-
19,Quick Ratio,0.24,0.24,0.20,0.16,0.20,0.34,-,-,0.17,-,-,-,0.56,0.56,0.83,0.83
20,Current Ratio,1.02,1.02,0.98,1.08,1.13,1.18,-,-,0.83,-,-,-,1.75,1.75,2.26,2.26
21,Return on Equity (ROE),11.51%,14.44%,-6.57%,0.98%,-,-,5.17%,-,-,-,-,30.40%,32.95%,20.25%,-,
22,Return on Assets (ROA),3.75%,7.39%,-0.17%,-0.50%,-,-,-,-,-,-,-,15.19%,16.93%,11.79%,-,
23,Return on Capital (ROIC),4.50%,8.98%,-0.21%,-0.60%,-,-,3.10%,-,-,-,-,18.70%,20.68%,14.27%,-,
24,Return on Capital Employed (ROCE),7.16%,7.16%,5.81%,-,-,4.56%,-,-,8.49%,-,-,-,27.68%,19.12%,12.57%,6.28%
25,Earnings Yield,2.35%,2.22%,2.04%,0.75%,2.08%,1.75%,-,-,-,-,-,-,-,-,-,-
26,FCF Yield,-6.76%,-6.38%,-17.29%,-25.88%,-25.32%,-17.85%,-,-,-,-,-,-,-,-,-,-
27,Payout Ratio,91.14%,40.56%,19.75%,-,596.27%,52.30%,50.05%,52.40%,203.73%,251.47%,-,-,1.49%,1.49%,6.89%,6.89%
28,Buyback Yield / Dilution,-11.11%,-11.06%,-11.14%,-11.12%,-11.13%,60.38%,-320.62%,-320.70%,-0.01%,-152.44%,76.23%,76.23%,-,-,-,-
29,Total Shareholder Return,-11.11%,-11.06%,-11.14%,-11.12%,-11.13%,60.38%,-320.62%,-320.70%,-0.01%,-152.44%,76.23%,76.23%,-,-,-,-
