,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,197.77,271.85,374.02,325.09,304.36,331.14,199.99,124.28,203.89,755.57,-,70.56,-,-,-
1,Trading Asset Securities,30.1,10,20.1,140.93,120.77,70.72,380.87,478.63,419.69,-,-,-,-,-,-
2,Cash & Short-Term Investments,227.87,281.85,394.12,466.02,425.12,401.86,580.86,602.91,623.58,755.57,70.56,70.56,-,-,52.69
3,Cash Growth,-46.40%,-29.86%,-32.15%,-22.70%,-31.82%,-46.81%,723.26%,754.51%,-,-,33.90%,-,-,-,-
4,Accounts Receivable,242.72,201.41,202.89,186.73,209.66,183.97,150.81,195.01,212.72,215.19,-,193.3,-,-,-
5,Other Receivables,3.4,-,3.14,-,2.93,-,6.81,-,2.91,-,-,-,-,-,-
6,Receivables,246.13,201.41,206.04,186.73,212.59,183.97,157.62,195.01,215.62,215.19,-,193.3,-,-,-
7,Inventory,441.65,439.06,407.75,447.72,457.69,496.33,458.28,417.91,361.63,330.19,-,308.7,-,-,-
8,Other Current Assets,42.21,48.9,29.23,26.33,34.4,23.45,19.54,18.45,20.36,28.83,-,31.52,-,-,-
9,Total Current Assets,957.85,971.21,1037,1127,1130,1106,1216,1234,1221,1330,-,604.08,-,-,-
10,"Property, Plant & Equipment",915.58,822.15,605.06,536.65,467.89,400.79,360.82,368.33,357.69,358.58,-,345.95,-,-,-
11,Long-Term Investments,56.46,57.14,60.15,58.65,43.96,44.12,44.73,45.32,32.3,32.3,-,32.3,-,-,-
12,Goodwill,6.46,6.46,6.46,6.46,6.46,6.46,6.46,6.46,6.46,6.46,-,6.46,-,-,-
13,Other Intangible Assets,44.47,44.82,45.16,43.01,43.17,43.51,43.85,44.19,38.8,39.09,-,39.56,-,-,-
14,Long-Term Deferred Tax Assets,48.94,46.57,36.16,38.95,31.34,29.84,26.5,23.83,24.39,24.12,-,21.78,-,-,-
15,Long-Term Deferred Charges,4.37,4.83,6.04,5.37,4.29,2.48,2.81,3.43,3.75,4.45,-,5.47,-,-,-
16,Other Long-Term Assets,23.53,12.71,60.72,23.29,81.48,182.86,45.13,1.08,6.47,5.92,-,8.3,-,-,-
17,Total Assets,2058,1966,1857,1839,1808,1816,1747,1727,1691,1801,-,1064,-,-,-
18,Accounts Payable,154.75,125.53,47.26,87.63,85.83,86.14,78.08,90.69,74.86,95.32,-,86.05,-,-,-
19,Accrued Expenses,8.99,8.37,4.84,8.92,5.71,8.49,4.39,7.5,6,9.06,-,6.83,-,-,-
20,Short-Term Debt,180.06,180.07,168.81,124.94,134.66,134.99,85.08,69.01,83.49,172.65,-,175.98,-,-,-
21,Current Portion of Long-Term Debt,-,-,-,-,-,-,-,-,-,30.04,-,10.04,-,-,-
22,Current Income Taxes Payable,10.86,10.73,10.21,12.36,8.08,6.93,6.03,4.42,11.68,8.12,-,6.2,-,-,-
23,Current Unearned Revenue,8.96,1.37,2.53,2.21,1.97,2.21,1.53,2.28,1.06,2.59,-,1.83,-,-,-
24,Other Current Liabilities,10.51,10.05,7.4,2.89,1.2,4.24,1.29,3.3,1.25,1.33,-,1.58,-,-,-
25,Total Current Liabilities,374.13,336.12,241.04,238.95,237.46,243.01,176.41,177.19,178.34,319.11,-,288.52,-,-,-
26,Long-Term Debt,50.04,30.03,30.04,20.03,10.14,-,-,-,-,-,-,25,-,-,-
27,Long-Term Unearned Revenue,0.89,0.93,0.96,1.08,1.04,1.08,1.11,1.15,2.39,1.23,-,1.3,-,-,-
28,Long-Term Deferred Tax Liabilities,2.57,2.56,2.67,0.15,2.39,2.23,2.66,2.35,4.22,4.22,-,4.22,-,-,-
29,Other Long-Term Liabilities,1.69,1.69,1.69,1.69,1.69,1.69,1.69,1.69,1.69,1.69,-,1.69,-,-,-
30,Total Liabilities,429.32,371.33,276.41,261.9,252.72,248,181.88,182.38,186.64,326.25,-,320.73,-,-,-
31,Common Stock,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,-,60.6,-,-,-
32,Additional Paid-In Capital,942.56,941.04,949.34,949.34,943.88,937.99,943.88,943.88,937.99,937.99,-,296.1,-,-,-
33,Retained Earnings,582.67,572.88,553.63,553.51,542.36,519.54,518.18,497.6,465.02,433.73,-,365.8,-,-,-
34,Treasury Stock,-30,-30,-30,-30,-30,-,-,-,-,-,-,-,-,-,-
35,Comprehensive Income & Other,41.56,18.96,15.54,24.95,19.65,30.03,22.47,22.91,20.98,21.9,-,20.66,-,-,-
36,Total Common Equity,1618,1584,1569,1579,1557,1568,1565,1545,1505,1474,743.16,743.16,-,-,652.1
37,Minority Interest,10.74,10.86,11.15,-1.32,-1.03,-0.69,-0.63,-0.66,-0.38,0.03,-,0.02,-,-,-
38,Shareholders' Equity,1628,1595,1580,1577,1556,1568,1565,1545,1504,1474,743.18,743.18,-,-,652.93
39,Total Liabilities & Equity,2058,1966,1857,1839,1808,1816,1747,1727,1691,1801,-,1064,-,-,-
40,Total Debt,230.11,210.1,198.85,144.96,144.8,134.99,85.08,69.01,83.49,202.69,211.03,211.03,-,-,201.25
41,Net Cash (Debt),-2.23,71.74,195.27,321.06,280.33,266.88,495.78,533.9,540.08,552.88,-140.47,-140.47,-,-,-148.56
42,Net Cash Growth,-,-73.12%,-60.61%,-39.87%,-48.10%,-51.73%,-,-,-,-,-,-,-,-,-
43,Net Cash Per Share,-0.03,0.90,2.41,4.16,3.44,3.35,6.02,6.60,13.26,5.45,-2.33,-2.33,-,-,-
44,Filing Date Shares Outstanding,79.93,79.93,79.93,79.93,79.93,80.8,80.8,80.8,80.8,80.8,60.6,60.6,60.64,60.64,-
45,Total Common Shares Outstanding,79.93,79.93,79.93,79.93,79.93,80.8,80.8,80.8,80.8,80.8,60.6,60.6,60.64,60.64,-
46,Working Capital,583.73,635.09,796.09,887.85,892.35,862.6,1040,1057,1043,1011,-,315.56,-,-,-
47,Book Value Per Share,20.24,19.81,19.63,19.75,19.48,19.41,19.37,19.12,18.62,18.25,12.26,12.26,-,-,10.76
48,Tangible Book Value,1567,1532,1518,1529,1507,1518,1515,1495,1460,1429,697.14,697.14,-,-,605.11
49,Tangible Book Value Per Share,19.60,19.17,18.99,19.13,18.86,18.79,18.75,18.50,18.06,17.68,11.50,11.50,-,-,9.99
50,Buildings,-,255.49,-,256.25,-,254.81,-,230.35,-,190.99,-,186.08,-,-,-
51,Machinery,-,253.6,-,250.61,-,240.79,-,242.81,-,225.54,-,213.89,-,-,-
52,Construction In Progress,-,430.75,-,134.71,-,24.29,-,1.75,-,29.09,-,17.55,-,-,-
