,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,219.49,182.17,174.06,155.84,198.27,151.22,124.85,164.35,173.85,178.47,188.72,174.1,143.88,154.23,136.16
1,Other Revenue,-4.89,4.89,-,-,-11.4,11.4,-,-,-4.22,4.22,-,12.66,-7.85,7.85,-
2,Revenue,214.59,187.06,174.06,155.84,186.87,162.61,124.85,164.35,169.63,182.69,188.72,186.76,136.03,162.09,136.16
3,Revenue Growth (YoY),14.84%,15.04%,39.41%,-5.18%,10.16%,-10.99%,-33.84%,-12.00%,24.70%,12.71%,38.60%,-,-,-,-
4,Cost of Revenue,155.41,132.53,127.69,101.85,133.05,112.78,80.69,100.71,115.41,114.86,124.48,117.36,92.43,107.25,93.66
5,Gross Profit,59.19,54.54,46.37,53.99,53.82,49.83,44.16,63.64,54.22,67.84,64.24,69.39,43.6,54.84,42.5
6,"Selling, General & Admin",28.38,24.39,19.31,22.54,18.66,20.55,18.58,18.3,22.24,17.57,15.54,17.04,14.54,15.78,16.21
7,Research & Development,11,9.96,5.84,24.78,7.07,6.77,5.9,7.78,10.53,9.68,8.58,14.57,9.98,6.68,3.38
8,Other Operating Expenses,0.91,1.92,1.2,0.24,1.06,0.79,0.19,5.72,-3.53,0.77,1.68,1.96,1.29,-0.32,1.88
9,Operating Expenses,43.41,37.47,28.4,45.22,28.69,30.26,22.1,30.65,30.67,28.49,26.62,35.02,25.61,22.5,21.48
10,Operating Income,15.78,17.07,17.97,8.77,25.13,19.57,22.06,32.99,23.56,39.34,37.62,34.37,17.98,32.34,21.02
11,Interest Expense,-,-2.35,-1.46,-2.46,-4.28,-0.88,-0.52,-0.75,-1.08,-1.64,-1.59,-1.67,-2.06,-2.7,-1.84
12,Interest & Investment Income,0.51,0.41,0.77,-,-,3.61,4.24,-,0.89,0.1,0.2,0.43,0.05,0.62,-
13,Currency Exchange Gain (Loss),-7.8,7.8,-,7.23,-3.38,3.38,-,12.56,-4.62,4.62,-,-3.42,2.02,-2.02,-
14,Other Non Operating Income (Expenses),2.9,-3.72,3.54,-7.74,7.6,2.91,-3.08,-19.2,19.42,-0,-0.33,-0.2,0.25,-0.08,-0.18
15,EBT Excluding Unusual Items,11.4,19.2,20.82,5.79,25.06,28.6,22.7,25.61,38.16,42.42,35.9,29.51,18.24,28.16,19
16,Gain (Loss) on Sale of Investments,0.06,-0.5,-0.17,1.8,0.37,-0.59,0.5,-1.96,-,-,-,-,-,-,-
17,Gain (Loss) on Sale of Assets,-0.43,0.59,-0.59,0.07,0,-0,-0.08,-0.19,-0.01,-,-,-,-,0,-
18,Asset Writedown,-0.31,-0.35,-0.25,-0.22,-0.17,0.47,-0.51,0.09,-0.37,0.42,-0.49,0.29,-0.45,-0.01,-
19,Other Unusual Items,-0.66,0.7,-0.02,2.4,-,-,-,13.13,-0.08,0.08,-,2.94,-,-,-
20,Pretax Income,10.07,19.64,19.79,9.84,25.26,28.48,22.61,36.67,37.71,42.92,35.41,32.73,17.79,28.15,19
21,Income Tax Expense,0.4,2.2,2.19,-1.02,2.77,2.95,2,4.36,6.85,5.73,4.65,1.51,0.94,2.66,1.95
22,Earnings From Continuing Operations,9.67,17.44,17.6,10.86,22.48,25.53,20.61,32.31,30.87,37.18,30.76,31.22,16.86,25.49,17.05
23,Minority Interest in Earnings,0.12,0.11,0.2,0.29,0.34,0.07,-0.03,0.27,0.41,-,-0.01,0.17,0.12,0.41,0.11
24,Net Income,9.79,17.55,17.8,11.16,22.82,25.59,20.59,32.58,31.28,37.18,30.75,31.39,16.98,25.9,17.15
25,Net Income to Common,9.79,17.55,17.8,11.16,22.82,25.59,20.59,32.58,31.28,37.18,30.75,31.39,16.98,25.9,17.15
26,Net Income Growth,-57.10%,-31.42%,-13.55%,-65.76%,-27.04%,-31.17%,-33.05%,3.79%,84.23%,43.58%,79.24%,-,-,-,-
27,Shares Outstanding (Basic),81,80,81,77,81,80,82,81,41,101,60,60,61,61,-
28,Shares Outstanding (Diluted),81,80,81,77,81,80,82,81,41,101,60,60,61,61,-
29,Shares Change (YoY),-0.43%,0.11%,-1.76%,-4.76%,100.08%,-21.45%,36.58%,34.33%,-32.83%,67.32%,-,-,-,-,-
30,EPS (Basic),0.12,0.22,0.22,0.14,0.28,0.32,0.25,0.40,0.77,0.37,0.51,0.52,0.28,0.43,-
31,EPS (Diluted),0.12,0.22,0.22,0.14,0.28,0.32,0.25,0.40,0.77,0.37,0.51,0.52,0.28,0.43,-
32,EPS Growth,-56.91%,-31.50%,-12.00%,-64.04%,-63.54%,-12.37%,-50.98%,-22.73%,174.27%,-14.18%,-,-,-,-,-
33,Free Cash Flow,-51.96,-104.8,-110.34,-33.29,-37.29,-48.08,-38.05,15.66,-0.97,-11.18,28.34,-4.51,22.86,-,-
34,Free Cash Flow Per Share,-0.64,-1.31,-1.36,-0.43,-0.46,-0.60,-0.46,0.19,-0.02,-0.11,0.47,-0.07,0.38,-,-
35,Dividend Per Share,-,-,-,0.200,-,-,-,0.300,-,-,-,-,-,-,-
36,Dividend Growth,-,-,-,-33.33%,-,-,-,-,-,-,-,-,-,-,-
37,Gross Margin,27.58%,29.15%,26.64%,34.65%,28.80%,30.65%,35.37%,38.72%,31.96%,37.13%,34.04%,37.16%,32.05%,33.83%,31.21%
38,Operating Margin,7.35%,9.12%,10.33%,5.63%,13.45%,12.04%,17.67%,20.07%,13.89%,21.53%,19.93%,18.41%,13.22%,19.95%,15.44%
39,Profit Margin,4.56%,9.38%,10.22%,7.16%,12.21%,15.74%,16.49%,19.82%,18.44%,20.35%,16.29%,16.81%,12.48%,15.98%,12.60%
40,Free Cash Flow Margin,-24.21%,-56.02%,-63.39%,-21.36%,-19.95%,-29.56%,-30.47%,9.53%,-0.57%,-6.12%,15.02%,-2.41%,16.80%,-,-
41,EBITDA,25.1,26.42,27.3,18.09,33.59,28.64,30.52,41.45,31.37,47.56,45.43,42.19,23.19,40.16,26.23
42,EBITDA Margin,11.70%,14.13%,15.68%,11.61%,17.97%,17.61%,24.44%,25.22%,18.49%,26.03%,24.07%,22.59%,17.05%,24.78%,19.27%
43,D&A For EBITDA,9.32,9.36,9.32,9.32,8.46,9.07,8.46,8.46,7.81,8.22,7.81,7.81,5.21,7.82,5.21
44,EBIT,15.78,17.07,17.97,8.77,25.13,19.57,22.06,32.99,23.56,39.34,37.62,34.37,17.98,32.34,21.02
45,EBIT Margin,7.35%,9.12%,10.33%,5.63%,13.45%,12.04%,17.67%,20.07%,13.89%,21.53%,19.93%,18.40%,13.22%,19.95%,15.44%
46,Effective Tax Rate,3.97%,11.21%,11.08%,-,10.97%,10.36%,8.83%,11.90%,18.16%,13.36%,13.13%,4.61%,5.26%,9.45%,10.27%
47,Revenue as Reported,214.59,187.06,174.06,155.84,186.87,162.61,124.85,164.35,169.63,182.69,188.72,186.76,136.03,298.25,-
