,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 10, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,6233,2247,2040,2234,2642,2641,2756,3321,2976,2965,3469,-,-,-,-,-
1,Market Cap Growth,-14.94%,-14.94%,-25.99%,-32.73%,-11.23%,-10.90%,-20.55%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,6246,2186,1856,1953,2360,2374,2260,2780,2435,2412,3609,-,-,-,-,-
3,Last Close Price,77.98,28.11,25.52,27.75,32.81,32.45,33.86,40.46,36.25,36.12,42.26,-,-,-,-,-
4,PE Ratio,110.44,39.91,29.42,28.87,32.95,26.00,25.05,27.30,22.58,22.70,29.83,-,-,-,-,-
5,Forward PE,95.68,17.96,16.31,15.49,20.17,17.88,18.54,24.39,-,-,-,-,-,-,-,-
6,PS Ratio,8.50,3.07,2.90,3.29,4.19,4.14,4.43,5.18,4.22,4.07,5.00,-,-,-,-,-
7,PB Ratio,3.85,1.38,1.28,1.41,1.67,1.70,1.76,2.12,1.93,1.97,2.35,-,-,-,-,-
8,P/TBV Ratio,1.43,1.43,1.33,1.47,1.73,1.75,1.82,2.19,1.99,2.03,2.43,-,-,-,-,-
9,P/FCF Ratio,-,-,-,-,-,-,-,-,93.43,-,-,-,-,-,-,-
10,P/OCF Ratio,32.73,32.73,-,33.30,34.79,57.39,-,53.72,33.39,41.32,32.82,-,-,-,-,-
11,EV/Sales Ratio,8.54,2.99,2.64,2.87,3.75,3.72,3.64,4.33,3.45,3.31,5.20,-,-,-,-,-
12,EV/EBITDA Ratio,63.82,22.56,17.61,18.14,21.29,17.69,17.12,18.43,14.69,14.48,22.79,-,-,-,-,-
13,EV/EBIT Ratio,107.71,36.68,26.92,27.33,31.25,23.80,23.02,23.57,18.24,17.88,27.91,-,-,-,-,-
14,EV/FCF Ratio,-20.79,-,-,-,-,-,-,-,76.46,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.14,0.14,0.13,0.13,0.09,0.09,0.09,0.05,0.04,0.06,0.14,0.28,0.28,-,-,0.31
16,Debt / EBITDA Ratio,2.35,2.29,1.99,1.82,2.00,1.08,1.18,0.70,0.42,0.67,1.07,1.16,1.25,-,-,1.92
17,Debt / FCF Ratio,-,-,-,-,-,-,-,-,2.17,-,-,4.52,-,-,-,-
18,Asset Turnover,0.43,0.39,0.38,0.34,0.41,0.37,0.29,0.38,0.39,-,-,-,-,-,-,
19,Inventory Turnover,1.15,1.41,1.25,1.19,0.90,1.12,0.95,0.74,1.03,1.33,-,-,-,-,-,-
20,Quick Ratio,1.27,1.27,1.44,2.49,2.73,2.69,2.41,4.19,4.50,4.71,3.04,-,0.91,-,-,-
21,Current Ratio,2.56,2.56,2.89,4.30,4.72,4.76,4.55,6.89,6.97,6.85,4.17,-,2.09,-,-,-
22,Return on Equity (ROE),2.40%,4.39%,4.46%,2.77%,5.76%,6.52%,5.30%,8.48%,8.29%,13.41%,16.56%,-,-,-,-,
23,Return on Assets (ROA),1.96%,2.23%,2.43%,1.20%,3.47%,2.75%,3.18%,4.83%,3.37%,-,-,-,-,-,-,
24,Return on Capital (ROIC),2.15%,2.38%,2.57%,1.28%,3.69%,2.92%,3.38%,5.15%,3.61%,7.48%,9.86%,-,-,-,-,
25,Return on Capital Employed (ROCE),3.44%,3.54%,4.23%,4.42%,4.72%,6.35%,6.24%,7.51%,8.62%,8.92%,8.73%,-,13.63%,-,-,-
26,Earnings Yield,0.90%,2.51%,3.40%,3.46%,3.03%,3.85%,3.99%,3.66%,4.43%,4.41%,3.35%,-,-,-,-,-
27,FCF Yield,-4.82%,-13.37%,-14.01%,-10.25%,-5.93%,-4.08%,-2.59%,-1.04%,1.07%,0.39%,1.02%,-,-,-,-,-
28,Dividend Yield,0.26%,-,-,-,0.61%,-,-,-,0.83%,-,-,-,-,-,-,-
29,Payout Ratio,39.83%,0.76%,113.77%,9.94%,5.48%,3.13%,93.27%,3.38%,2.79%,3.67%,4.54%,4.25%,4.47%,10.66%,-,-
30,Buyback Yield / Dilution,1.71%,0.43%,-0.11%,1.76%,4.76%,-100.08%,21.45%,-36.58%,-34.33%,32.83%,-67.32%,-,-,-,-,-
31,Total Shareholder Return,1.98%,0.43%,-0.11%,1.76%,5.37%,-100.08%,21.45%,-36.58%,-33.50%,32.83%,-67.32%,-,-,-,-,-
