,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,-,3099,4167,4240,4251,3980,3439,3337,4249,2335,2590,2647,2916,1560,1363,-,1148,-,1122,1122
1,Trading Asset Securities,-,1153,416.1,380.8,-,412.35,330.85,551.77,201.02,555.32,503.83,613.98,30.77,-,-,-,2.48,-,0.48,0.48
2,Cash & Short-Term Investments,4251,4251,4583,4621,4251,4392,3770,3889,4450,2890,3094,3261,2947,1560,1363,1150,1150,-,1123,1123
3,Cash Growth,0.02%,-3.20%,21.56%,18.83%,-4.47%,51.96%,21.86%,19.24%,50.98%,85.32%,127.05%,183.50%,156.19%,-,21.37%,2.47%,-,-,-,-
4,Accounts Receivable,-,3231,3014,2769,3073,3501,3432,2579,3062,2915,3105,3227,3010,2883,2720,-,2439,-,1917,1917
5,Other Receivables,-,101.86,89.74,98.09,95.11,106.47,128.67,51.43,158.83,151.93,180.47,162.6,186.22,154.33,144.9,-,74.4,-,34.1,34.1
6,Receivables,-,3333,3103,2867,3168,3608,3561,2631,3220,3067,3285,3389,3196,3038,2865,-,2513,-,1952,1952
7,Inventory,-,1847,1759,1874,1951,2045,1821,2027,2047,2366,2308,2939,2353,1600,1729,-,1048,-,799.75,799.75
8,Other Current Assets,-,425.68,310.71,377.89,334.89,333.58,364.61,302.45,284.71,357.29,240.56,456.01,259.75,221.72,324.28,-,222.25,-,248.05,248.05
9,Total Current Assets,-,9858,9756,9740,9704,10378,9516,8849,10002,8681,8928,10045,8756,6419,6281,-,4934,-,4122,4122
10,"Property, Plant & Equipment",-,9807,9724,9675,9687,9028,8864,8396,7656,7222,7156,6711,6155,4777,4282,-,3037,-,2118,2118
11,Long-Term Investments,-,138.34,465.12,139.17,460.83,139.47,470.85,79.8,492.1,71,26,16,-,-,-,-,-,-,-,-
12,Goodwill,-,9.07,9.07,9.07,9.07,9.07,9.07,9.07,9.07,9.07,9.07,9.07,9.07,9.07,9.07,-,9.07,-,9.07,9.07
13,Other Intangible Assets,-,388.69,392.06,389.42,395.44,400.56,387.63,406.11,325.69,315.45,268.23,267.1,263.02,179.48,179.34,-,180.6,-,109.8,109.8
14,Long-Term Deferred Tax Assets,-,826.75,714.71,677.92,629.7,770.55,649.52,559.08,508.66,430.77,343.11,312.25,211.65,156.8,164.16,-,89.33,-,101.2,101.2
