,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,3027,3363,2605,2549,2488,3225,2938,2377,2124,2917,2417,3005,2313,2723,2658,2273,2053,2082,1307,1307
1,Other Revenue,-,-192.91,192.91,-,417.76,-158.71,158.71,-,512.55,-315.76,315.76,-,372.79,-154.59,154.59,-,215.56,-82.71,41.36,41.36
2,Revenue,3027,3170,2798,2549,2905,3066,3097,2377,2637,2601,2732,3005,2686,2568,2813,2273,2268,2000,1348,1348
3,Revenue Growth (YoY),4.20%,3.39%,-9.64%,7.23%,10.19%,17.91%,13.34%,-20.89%,-1.85%,1.28%,-2.85%,32.18%,18.42%,28.42%,108.63%,68.62%,-,-,-,-
4,Cost of Revenue,-6317,2167,2229,1920,2406,2066,2427,1933,2608,2044,2347,2434,2295,1844,2135,1668,1685,1285,960.78,960.78
5,Gross Profit,9344,1003,568.94,628.44,499.5,1000,669.94,443.53,28.95,556.91,385.26,570.27,391.1,724.19,677.94,604.77,583.03,714.48,387.3,387.3
6,"Selling, General & Admin",-894.1,266.75,291.7,335.65,382.77,331.63,276.34,320.95,24.53,244.9,280.58,279.84,199.75,176.65,159.75,135.58,167.02,110.43,99.52,99.52
7,Research & Development,-1053,389.11,330.36,333.69,342.79,323.4,266.66,217.22,193.31,196.56,186.41,196.12,190.98,166.18,147.43,118.77,126.64,107.87,85.63,85.63
8,Other Operating Expenses,11368,23.68,53.34,-16.04,111.09,-4.54,-10.98,-14.48,-5.56,-11.86,-8.73,-5.68,71.44,-43.1,-0.11,3.72,49.24,-20.66,7.51,7.51
9,Operating Expenses,9422,677.58,680.24,648.72,839.21,646.34,537.62,519.1,247.37,398.89,458.33,470.57,460.16,300.65,304.88,261.01,338.68,202.64,199.63,199.63
10,Operating Income,-78.07,325.71,-111.31,-20.28,-339.72,354.05,132.31,-75.57,-218.41,158.02,-73.06,99.7,-69.06,423.54,373.06,343.76,244.35,511.85,187.67,187.67
11,Interest Expense,-76.9,-51.25,-51.31,-69.87,-39.68,-68.46,-54.58,-62.41,-29.32,-24.68,-8.06,-24.1,-,-12.8,-16.08,-16.29,-14.41,-14.08,-12.91,-12.91
12,Interest & Investment Income,172.42,28.61,18.74,29.54,10,46.75,29.98,31.04,20.86,9.29,6.57,11.78,28.72,5.55,13.13,5.35,18.45,4.32,2.32,2.32
13,Currency Exchange Gain (Loss),-,-47.45,47.45,-,67.05,-94.79,94.79,-,35.1,-10.03,10.03,-,-40.83,24.13,-24.13,-,-148.22,7.25,-3.62,-3.62
14,Other Non Operating Income (Expenses),11.18,-13.03,-28.62,23.93,-55.07,43.96,12.28,-18.37,-23.59,29.7,37.98,-16.83,18.08,-23.91,-11.96,3.48,107.68,-107.8,-4.27,-4.27
15,EBT Excluding Unusual Items,28.64,242.59,-125.04,-36.67,-357.42,281.52,214.78,-125.31,-215.37,162.31,-26.55,70.54,-63.09,416.52,334.02,336.3,207.85,401.53,169.19,169.19
16,Merger & Restructuring Charges,-,-,-,-,-21.38,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
17,Gain (Loss) on Sale of Investments,-0.47,-6.69,6.03,1.13,-4.98,3.1,-0.76,1.57,-15.76,-29,-36.71,3.41,-0.01,-,-0.8,-1.68,2.95,2.33,-2.82,-2.82
