,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,18969,18076,19301,16750,15136,24630,20602,22605,21136,20911,25073,34441,34789,54578,-,-,-,-,-,-,-
1,Market Cap Growth,-26.61%,-26.61%,-6.31%,-25.90%,-28.39%,17.78%,-17.83%,-34.36%,-39.25%,-61.69%,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,22011,21118,21898,19003,17520,27014,23161,24563,22429,21006,25211,34372,35234,55024,-,-,-,-,-,-,-
3,Last Close Price,16.87,16.08,17.17,14.64,13.29,21.62,18.09,19.80,18.42,18.23,21.86,30.02,30.12,47.25,-,-,-,-,-,-,-
4,PE Ratio,43.26,41.61,59.84,54.82,30.64,71.56,69.67,133.76,-,229.93,115.93,79.62,46.91,57.70,-,-,-,-,-,-,-
5,Forward PE,20.75,22.42,24.98,21.42,16.34,40.59,39.79,37.63,37.31,17.16,22.95,30.87,25.06,35.41,-,-,-,-,-,-,-
6,PS Ratio,1.63,1.57,1.69,1.48,1.30,2.15,1.84,2.11,2.04,1.91,2.27,3.13,3.14,5.28,-,-,-,-,-,-,-
7,PB Ratio,2.63,2.53,2.70,2.40,2.11,3.41,2.86,3.32,3.23,3.14,3.99,5.46,5.41,8.67,-,-,-,-,-,-,-
8,P/TBV Ratio,2.74,2.74,2.93,2.62,2.30,3.75,3.08,3.58,3.48,3.32,4.20,5.71,5.66,9.06,-,-,-,-,-,-,-
9,P/FCF Ratio,-,-,325.86,-,-,-35.50,-11.26,-,-,-,-18.80,-,-,-,-,-,-,-,-,-,-
10,P/OCF Ratio,-,-,7.12,6.53,5.22,9.46,11.67,11.54,11.46,11.12,11.87,17.05,17.95,27.45,-,-,-,-,-,-,-
11,EV/Sales Ratio,1.91,1.83,1.92,1.68,1.51,2.36,2.07,2.29,2.17,1.91,2.29,3.13,3.18,5.32,-,-,-,-,-,-,-
12,EV/EBITDA Ratio,13.68,12.69,15.61,14.22,11.87,20.37,17.12,23.11,28.54,24.21,27.29,30.98,23.98,33.69,-,-,-,-,-,-,-
13,EV/EBIT Ratio,189.66,-,-150.40,-,-,-,120.39,-6729.89,-,-,218.09,-,42.59,-,-,-,-,-,-,-,-
14,EV/FCF Ratio,-,-,369.70,-,-,-38.94,-12.66,-,-,-,-18.90,-,-,-,-,-,-,-,-,-,-
15,Debt / Equity Ratio,1.00,1.00,1.00,1.00,0.93,0.85,0.92,0.91,0.89,0.86,0.47,0.51,0.50,0.40,0.49,0.38,0.31,0.31,-,0.44,0.44
16,Debt / EBITDA Ratio,4.44,6.05,2.55,5.28,4.72,19.54,2.63,3.14,7.14,13.24,2.18,3.97,2.80,4.13,0.95,0.66,0.56,0.73,-,1.15,1.15
17,Debt / FCF Ratio,-,-,120.55,-,-,-8.89,-3.64,-,-,-,-2.24,-,-,-,-,-,-,4.67,-,23.97,47.94
