,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,643,517,450,460,457,458,303,212,184,186,196
1,Market Cap Growth,12.42%,12.42%,-1.66%,0.45%,50.97%,116.13%,64.60%,13.98%,-6.12%,-10.14%,-39.69%
2,Enterprise Value,1226,1287,967,901,974,890,703,625,312,349,251
3,Last Close Price,0.61,0.49,0.42,0.43,0.43,0.43,0.30,0.21,0.18,0.19,0.20
4,PE Ratio,153.88,121.77,-27.74,-,-,-34.30,-,10.35,-,-17.97,-
5,PS Ratio,0.20,0.16,0.18,0.23,0.17,0.16,0.11,0.09,0.10,0.10,0.10
6,PB Ratio,2.29,1.58,1.37,1.43,1.33,1.19,0.89,0.59,0.57,0.58,0.61
7,P/TBV Ratio,1.81,1.81,1.59,1.64,1.53,1.37,1.06,0.71,0.68,0.69,0.67
8,P/FCF Ratio,189.27,152.32,-,-,17.70,-,-,-1.03,-,-7.39,-
9,P/OCF Ratio,77.98,77.98,-,-,16.43,-,-,-1.04,-,-7.57,-
10,EV/Sales Ratio,0.38,0.40,0.38,0.45,0.36,0.31,0.27,0.25,0.18,0.19,0.13
11,EV/EBITDA Ratio,17.35,19.21,25.48,-,-,95.03,-,12.82,-,25.11,53.56
12,EV/EBIT Ratio,21.67,22.75,34.76,-,-,5526.30,-,15.56,-,34.39,151.28
13,EV/FCF Ratio,360.79,378.72,-,-,37.72,-,-,-3.04,-,-13.88,-
14,Debt / Equity Ratio,2.00,2.00,2.52,1.82,1.48,1.55,1.59,1.40,1.49,0.74,1.09
15,Debt / FCF Ratio,193.44,193.44,-,-,19.69,-,-,-2.44,-,-9.48,-
16,Return on Capital Employed (ROCE),16.01%,16.01%,7.86%,-,-,0.04%,-,11.12%,-,3.13%,0.51%
17,Earnings Yield,0.66%,0.83%,-3.59%,-12.29%,-7.08%,-2.90%,2.22%,9.66%,-2.78%,-5.56%,-8.67%
18,FCF Yield,0.53%,0.66%,-62.41%,10.84%,5.65%,-31.65%,0.57%,-96.92%,-125.22%,-13.52%,58.11%
19,Buyback Yield / Dilution,-1.22%,-2.75%,0.31%,-2.43%,-5.67%,-3.43%,-0.54%,-,-,-,0.08%
20,Total Shareholder Return,-1.22%,-2.75%,0.31%,-2.43%,-5.67%,-3.43%,-0.54%,-,-,-,0.08%
