,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jan '21 Jan 1, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Cash & Equivalents,547306,247826,334928,203675,480448,55812,423548,51179,316342,230082,418044,407405,818292,560170,462449,412867,276490,267435,145990,313335,Upgrade
1,Short-Term Investments,3000,133000,-,83000,11501,11500,9300,10500,14000,9500,1000,5600,17100,17100,22600,9600,24648,76029,67557,193707,Upgrade
2,Trading Asset Securities,26604,29612,26320,26604,28020,28020,19780,36346,155599,255631,234142,266747,275738,192409,169822,129294,65373,70239,58274,193341,Upgrade
3,Cash & Short-Term Investments,576910,410438,361248,313278,519969,95333,452628,98025,485941,495213,653186,679751,1111130,769679,654871,551762,366511,413703,271820,700383,Upgrade
4,Cash Growth,10.95%,330.53%,-20.19%,219.59%,7.00%,-80.75%,-30.70%,-85.58%,-56.27%,-35.66%,-0.26%,23.20%,203.16%,86.05%,140.92%,-21.22%,-30.65%,-17.25%,-46.84%,86.62%,Upgrade
5,Accounts Receivable,400649,572898,803999,403142,385263,383911,325149,337081,453159,477890,494581,533391,622470,469858,491720,524366,558936,421148,445074,692040,Upgrade
6,Other Receivables,510361,1044644,742173,710028,605383,917585,544568,709841,522424,645421,1172995,1092229,745811,813575,970659,837161,541689,1041296,773045,650129,Upgrade
7,Receivables,929851,1656914,1598983,1157557,1081707,1338799,902721,1063944,1041557,1219926,1824511,1763878,1462049,1514593,1641582,1378985,1160299,1482444,1228119,1357170,Upgrade
8,Inventory,502693,380352,426123,391319,497476,383100,421449,437870,540950,529254,442663,426796,430408,479880,527019,403368,478224,510204,558678,744449,Upgrade
9,Prepaid Expenses,6167,5755,6356,6224,5029,4965,5540,9031,6788,7047,5663,6592,5742,14957,15324,5514,5544,5291,4481,8593,Upgrade
10,Other Current Assets,188370,159896,312511,518606,179510,457385,478124,778158,777148,868599,851444,206532,451531,327958,138520,114196,376245,624706,664265,127827,Upgrade
11,Total Current Assets,2203990,2613355,2705222,2386983,2283692,2279582,2260461,2387027,2852384,3120040,3777467,3083549,3460860,3107067,2977316,2453824,2386824,3036348,2727363,2938422,Upgrade
12,"Property, Plant & Equipment",1694809,1690489,1690029,1843173,1839890,1837374,1840847,1817498,1810026,2109291,2088182,2015240,1988584,1850962,1737308,1485478,1457214,1310522,1210838,931193,Upgrade
13,Long-Term Investments,2128050,2102134,2109456,2100956,2197722,2246712,2244591,2268769,2272420,2295671,1703683,1711447,1584936,1596059,1673691,1915591,1533351,1593696,1447920,1221199,Upgrade
14,Goodwill,4699,4894,5090,5286,5482,5678,5873,6069,6265,56170,57828,59486,61144,61287,62899,-,-,-,-,-,Upgrade
15,Other Intangible Assets,31143,29625,29942,30258,30444,30633,30719,31064,31410,31759,32110,32460,32811,33148,33556,33965,34382,34587,34905,35265,Upgrade
16,Long-Term Accounts Receivable,8896,16373,16086,17642,17642,20444,21033,25111,25440,30625,30625,34414,43019,59379,59379,64923,64923,24505,24505,25018,Upgrade
17,Other Long-Term Assets,203619,205322,210362,211927,217020,209046,218448,216629,220548,2254306,1319165,750344,363325,492335,596257,190477,192203,199481,203894,207666,Upgrade
18,Total Assets,6375206,6762192,6766186,6596226,6591892,6696309,6688814,6819009,7237334,9915102,9024801,7686941,7544297,7200237,7140406,6144258,5668897,6199138,5649425,5358763,Upgrade
19,Accounts Payable,86038,204543,165012,52433,66345,67425,73349,77852,157734,119139,84218,185096,262660,290834,310049,190127,280104,112787,166549,153182,Upgrade
20,Accrued Expenses,109528,120589,115089,19771,117660,202653,218930,173600,184613,144213,171740,123399,152073,38889,125050,29068,151402,141590,112387,222522,Upgrade
21,Short-Term Debt,1037279,1097829,1217451,1135890,1084477,892875,1043266,1314077,1147313,1857596,1486450,1398589,1035363,932014,887755,166211,572180,651838,674465,973961,Upgrade
22,Current Portion of Long-Term Debt,-,-,83333,1875,85833,-,115183,-,312400,-,698283,-,297019,-,343610,-,2500,625,1458,2083,Upgrade
23,Current Portion of Leases,-,-,-,-,-,-,-,-,-,-,-,-,-,117000,-,-,-,-,-,19466,Upgrade
24,Current Income Taxes Payable,11546,15449,13246,5075,6896,10088,8754,6333,14972,19399,14752,15314,28824,18319,13488,10003,15067,4322,6002,5371,Upgrade
25,Current Unearned Revenue,5788,1006,4064,2793,4062,2661,4356,3185,4465,24281,27273,22961,35340,72652,74356,28530,39323,1842,2829,1739,Upgrade
26,Other Current Liabilities,70119,295694,293985,519770,357776,637192,305567,129981,271883,399899,370759,727878,356266,417994,361528,954483,783748,1504700,1728326,1034781,Upgrade
27,Total Current Liabilities,1320298,1735110,1892181,1737608,1723049,1812894,1769406,1705028,2093379,2564527,2853476,2473237,2167544,1887702,2115835,1378422,1844325,2417704,2692016,2413106,Upgrade
28,Long-Term Debt,184560,186260,41667,69109,110776,113276,154943,208609,238276,374114,139201,494697,563414,746548,507419,308590,312361,317708,17500,17500,Upgrade
29,Long-Term Leases,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2772,-,Upgrade
30,Long-Term Unearned Revenue,120980,96700,93049,84369,78670,74106,74803,72871,72793,73435,74054,74175,74556,3493,3531,3540,3574,2169,2121,2163,Upgrade
31,Long-Term Deferred Tax Liabilities,49991,51810,51505,57012,56903,50251,47487,46175,46150,37741,39374,35281,36799,35445,34794,29126,29704,25439,35791,25868,Upgrade
32,Other Long-Term Liabilities,19095,19535,18952,16471,16426,40093,39660,185861,183366,2229693,1292397,9628,105479,24150,24153,11235,11235,14599,14207,13710,Upgrade
33,Total Liabilities,1694924,2089415,2097353,1964569,1985824,2090620,2086299,2218544,2633965,5279511,4398502,3087017,2947792,2697339,2685732,1730913,2201198,2777620,2764407,2472346,Upgrade
34,Common Stock,3799610,3799610,3799610,3799610,3799610,3799610,3799610,3799610,3799610,3653531,3653531,3653531,3499972,3499972,3499972,3499972,2565045,2565045,2565045,2565045,Upgrade
35,Retained Earnings,184574,169957,167391,113855,92875,91967,85502,86429,78548,287230,281503,254854,404235,317748,263345,246897,238078,149074,108033,108478,Upgrade
36,Comprehensive Income & Other,38857,38857,38857,35949,35967,37660,37864,38116,38038,38400,40428,40002,40428,31803,32412,32000,32488,15082,15082,15082,Upgrade
37,Total Common Equity,4023041,4008424,4005857,3949414,3928452,3929236,3922976,3924154,3916196,3979160,3975462,3948386,3944635,3849523,3795729,3778869,2835612,2729202,2688160,2688605,Upgrade
