,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Interest Income on Loans,21401247,19607046,19757425,19345927,20430922,19323045,18774908,18028502,16655967,15858353,15446690,14239240,12498074,11504643,13486135,13338246,13348549,12883536,12881819,13247863,Upgrade
1,Interest Paid on Deposits,8208250,7451274,7349185,8022529,9389086,10486297,10012755,8494563,6373177,5473452,4981037,4351526,3975204,4030411,4254299,4218355,4608551,4999691,5181017,5226685,Upgrade
2,Net Interest Income,13192997,12155772,12408240,11323398,11041836,8836748,8762153,9533939,10282790,10384901,10465653,9887714,8522870,7474232,9231836,9119891,8739998,7883845,7700802,8021178,Upgrade
3,Net Interest Income Growth (YoY),19.48%,37.56%,41.61%,18.77%,7.38%,-14.91%,-16.28%,-3.58%,20.65%,38.94%,13.36%,8.42%,-2.48%,-5.20%,19.88%,13.70%,6.04%,-1.17%,3.70%,14.18%,Upgrade
4,Income From Trading Activities,236288,116898,40310,-32540,47520,88897,148543,95213,68282,81249,-232373,-66352,13522,-11009,6366,-,-3919,-4644,16699,218330,Upgrade
5,Gain (Loss) on Sale of Assets,-80,-,610,926,259,-,-38,425,357,-,-188,2612,1603,-,-378,378,-11713,-,4277,7436,Upgrade
6,Gain (Loss) on Sale of Investments,3650,17135,411663,37219,-44912,11887,252537,30520,-22317,10828,348602,171642,784220,727317,1440364,198965,363440,255196,117805,508446,Upgrade
7,Other Non-Interest Income,4223298,2773202,3264649,2081421,776281,2324499,3617977,2697627,2098921,2996160,2704795,8273732,2333513,1942069,1369112,1731888,1646435,1337129,1130787,1137884,Upgrade
8,Total Non-Interest Income,4463156,2907235,3717232,2087026,779148,2425283,4019019,2823785,2145243,3088237,2820836,8381634,3132858,2658377,2815464,1931231,1994243,1587681,1269568,1872096,Upgrade
9,Non-Interest Income Growth (YoY),472.83%,19.87%,-7.51%,-26.09%,-63.68%,-21.47%,42.48%,-66.31%,-31.52%,16.17%,0.19%,334.00%,57.10%,67.44%,121.77%,3.16%,1.78%,4.16%,1.05%,106.23%,Upgrade
10,Revenues Before Loan Losses,17656153,15063007,16125472,13410424,11820984,11262031,12781172,12357724,12428033,13473138,13286489,18269348,11655728,10132609,12047300,11051122,10734241,9471526,8970370,9893274,Upgrade
11,Provision for Loan Losses,7700986,6125121,8329750,5784064,7169039,4950150,6478991,6396194,7317459,5422915,5585723,4135129,5574290,4978670,4206696,4459112,4309140,3872191,2724820,3715487,Upgrade
12,Revenue,9955167,8937886,7795722,7626360,4651945,6311881,6302181,5961530,5110574,8050223,7700766,14134219,6081438,5153939,7840604,6592010,6425101,5599335,6245550,6177787,Upgrade
13,Revenue Growth (YoY),114.00%,41.60%,23.70%,27.93%,-8.97%,-21.59%,-18.16%,-57.82%,-15.96%,56.20%,-1.78%,114.41%,-5.35%,-7.95%,25.54%,6.71%,-1.53%,-6.34%,15.34%,31.11%,Upgrade
14,Salaries and Employee Benefits,1986286,-,2278848,4130429,1979843,-,1992874,4636496,2191243,-,2062047,4074451,1583673,-,1378241,3268592,1452718,-,1640413,3606364,Upgrade
15,Occupancy Expenses,521049,-,558172,878408,432569,-,425880,830635,495474,-,397574,734283,395181,-,358725,713759,394849,-,365491,789631,Upgrade
16,Federal Deposit Insurance,110470,-,109616,211055,94489,-,83016,124144,48000,-,48142,86306,41518,-,42748,91780,51903,-,52619,100493,Upgrade
17,"Selling, General & Administrative",521276,-,273681,530531,484353,-,241418,537139,649694,-,400382,521410,312863,-,212329,529588,409481,-,288320,608358,Upgrade
18,Other Non-Interest Expense,652904,3750960,94477,-2305727,652335,3194749,946788,-2715510,682771,3536223,615891,-2428160,534854,2455568,817049,-2017531,531932,2786691,225270,-1838356,Upgrade
19,Total Non-Interest Expense,3791985,3750960,3314794,3444696,3643589,3194749,3689976,3412904,4067182,3536223,3524036,2988290,2868089,2455568,2809092,2586188,2840883,2786691,2572113,3266490,Upgrade
20,EBT Excluding Unusual Items,6163182,5186926,4480928,4181664,1008356,3117132,2612205,2548626,1043392,4514000,4176730,11145929,3213349,2698371,5031512,4005822,3584218,2812644,3673437,2911297,Upgrade
21,Other Unusual Items,-11748,-,11560,188,1516214,-,334,1029,339834,-,-,247,-585284,-,-354,354,37720,-,44,95,Upgrade
22,Pretax Income,6151434,5186926,4492488,4181852,2524570,3117132,2612539,2549655,1383226,4514000,4176730,11146176,2628065,2698371,5031158,4006176,3621938,2812644,3673481,2911392,Upgrade
23,Income Tax Expense,1111912,1022666,851327,1039969,560027,689454,160308,899936,257747,971570,852655,2229353,529888,537551,1014795,804366,724709,561130,722459,597397,Upgrade
24,Earnings From Continuing Operations,5039522,4164260,3641161,3141883,1964543,2427678,2452231,1649719,1125479,3542430,3324075,8916823,2098177,2160820,4016363,3201810,2897229,2251514,2951022,2313995,Upgrade
25,Minority Interest in Earnings,-422102,-136428,-74315,424814,-13097,-2932,609562,886235,1132874,187453,184131,-245297,244038,-,-,-,-,-,-,-,Upgrade
26,Net Income,4617420,4027832,3566846,3566697,1951446,2424746,3061793,2535954,2258353,3729883,3508206,8671526,2342215,2160820,4016363,3201810,2897229,2251514,2951022,2313995,Upgrade
27,Net Income to Common,4617420,4027832,3566846,3566697,1951446,2424746,3061793,2535954,2258353,3729883,3508206,8671526,2342215,2160820,4016363,3201810,2897229,2251514,2951022,2313995,Upgrade
28,Net Income Growth,136.62%,66.11%,16.50%,40.65%,-13.59%,-34.99%,-12.72%,-70.76%,-3.58%,72.61%,-12.65%,170.83%,-19.16%,-4.03%,36.10%,38.37%,15.59%,-1.36%,44.03%,62.69%,Upgrade
29,Basic Shares Outstanding,7934,7934,7934,7934,6959,6713,6713,6713,6685,6676,6683,6668,6643,6635,6642,6628,6583,6582,6582,6582,Upgrade
30,Diluted Shares Outstanding,7934,7934,7934,7934,6959,6713,6713,6713,6685,6676,6683,6668,6643,6635,6642,6628,6583,6582,6582,6582,Upgrade
31,Shares Change (YoY),14.01%,18.18%,18.18%,18.18%,4.09%,0.56%,0.45%,0.67%,0.63%,0.62%,0.62%,0.61%,0.92%,0.81%,0.92%,0.70%,-0.35%,-0.77%,-0.77%,-0.77%,Upgrade
32,EPS (Basic),581.98,507.67,449.57,449.55,280.43,361.19,456.09,377.76,337.81,558.72,524.92,1300.43,352.57,325.67,604.67,483.09,440.12,342.08,448.35,351.57,Upgrade
33,EPS (Diluted),581.98,507.67,449.57,449.55,280.43,361.19,456.09,377.76,337.81,558.72,524.92,1300.43,352.57,325.67,604.67,483.09,440.12,342.08,448.35,351.57,Upgrade
34,EPS Growth,107.54%,40.56%,-1.43%,19.01%,-16.99%,-35.35%,-13.11%,-70.95%,-4.18%,71.56%,-13.19%,169.19%,-19.89%,-4.80%,34.86%,37.41%,15.99%,-0.59%,45.16%,63.96%,Upgrade
35,Dividend Per Share,-,-,-,-,1000.000,-,-,-,1000.000,-,-,-,-,-,-,-,-,-,-,-,Upgrade
36,Effective Tax Rate,18.08%,19.72%,18.95%,24.87%,22.18%,22.12%,6.14%,35.30%,18.63%,21.52%,20.41%,20.00%,20.16%,19.92%,20.17%,20.08%,20.01%,19.95%,19.67%,20.52%,Upgrade
