,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Mar '25 Mar 11, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Market Capitalization,152728029,152331333,159471864,147967675,156694991,151751117,145676527,133257099,141312944,119090386,120837781,128918728,165371610,161303809,162756417,166186464,109604515,79779322,57896524,49851954,41319835,Upgrade
1,Market Cap Growth,0.38%,0.38%,9.47%,11.04%,10.89%,27.43%,20.56%,3.37%,-14.55%,-26.17%,-25.76%,-22.43%,50.88%,102.19%,181.12%,233.36%,165.26%,63.63%,6.88%,7.36%,-16.74%,Upgrade
2,Last Close Price,19250.00,19200.00,20100.00,18650.00,18752.53,18230.30,19638.98,17964.69,19050.72,16199.90,16290.40,17497.09,22444.55,21599.86,22089.24,22692.59,14966.38,10893.78,7960.84,6854.70,5681.53,Upgrade
3,PE Ratio,9.68,9.65,12.16,12.86,14.24,15.21,14.17,11.50,11.74,6.55,6.62,7.73,9.62,13.76,13.26,13.44,9.70,7.66,5.78,4.96,4.51,Upgrade
4,PS Ratio,4.47,4.44,5.50,5.61,6.29,6.53,6.15,5.24,5.27,3.40,3.36,3.90,4.98,6.28,6.26,6.28,4.41,3.26,2.36,2.00,1.71,Upgrade
5,PB Ratio,1.08,1.03,1.12,1.07,1.10,1.09,1.32,1.24,1.34,1.15,1.18,1.31,1.74,1.87,2.61,2.77,1.96,1.51,1.16,1.05,0.93,Upgrade
6,P/FCF Ratio,-,-,-2.70,-,-,-,-,-,-,-,-,-,-,-,-,-7.52,-,-,-,-,-,Upgrade
7,P/OCF Ratio,-,-,-2.71,-,-,-,-,-,-,-,-,-,-,-,-,-7.54,-,-,-,-,-,Upgrade
8,Debt / Equity Ratio,0.64,0.64,0.98,0.77,0.63,0.66,0.86,0.85,1.01,1.15,1.18,1.27,1.17,1.42,1.57,1.46,1.46,1.51,2.08,1.55,1.74,Upgrade
9,Debt / FCF Ratio,-,-,-2.37,-,-,-,-,-,-,-,-,-,-,-,-,-3.96,-,-,-,-,-,Upgrade
10,Return on Equity (ROE),13.93%,11.88%,10.37%,8.89%,6.29%,8.93%,9.22%,6.33%,4.37%,14.11%,13.73%,39.31%,11.30%,14.13%,27.70%,23.54%,22.61%,18.53%,25.66%,21.34%,Upgrade,
11,Return on Assets (ROA),2.26%,1.93%,1.73%,1.53%,0.98%,1.28%,1.38%,1.01%,0.73%,2.35%,2.27%,6.42%,1.63%,1.86%,3.62%,2.99%,2.78%,2.21%,2.98%,2.40%,Upgrade,
12,Earnings Yield,10.33%,10.36%,8.22%,7.78%,7.02%,6.57%,7.06%,8.69%,8.51%,15.26%,15.10%,12.94%,10.40%,7.27%,7.54%,7.44%,10.31%,13.05%,17.31%,20.17%,22.15%,Upgrade
13,FCF Yield,-20.59%,-20.64%,-36.99%,-90.93%,-98.08%,-94.87%,-80.80%,-50.52%,-45.48%,-72.51%,-84.93%,-87.19%,-44.70%,-38.09%,-16.34%,-13.29%,-24.33%,-29.87%,-64.05%,-75.58%,-93.65%,Upgrade
14,Dividend Yield,5.19%,-,-,-,-,5.49%,-,-,-,6.17%,-,-,-,-,-,-,-,-,-,-,-,Upgrade
15,Payout Ratio,50.29%,0.01%,-,222.47%,-,406.57%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
16,Buyback Yield / Dilution,-14.01%,-14.01%,-18.18%,-18.18%,-18.18%,-4.09%,-0.56%,-0.45%,-0.67%,-0.63%,-0.62%,-0.62%,-0.61%,-0.92%,-0.81%,-0.92%,-0.70%,0.35%,0.77%,0.77%,0.77%,Upgrade
17,Total Shareholder Return,-8.82%,-14.01%,-18.18%,-18.18%,-18.18%,1.39%,-0.56%,-0.45%,-0.67%,5.54%,-0.62%,-0.62%,-0.61%,-0.92%,-0.81%,-0.92%,-0.70%,0.35%,0.77%,0.77%,0.77%,Upgrade
