,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Cash & Equivalents,128675569,105669367,87291818,67108204,85244959,87184297,97627681,65973506,44109792,34385085,47113600,41675109,42917198,37218192,27403374,16338789,17111581,22014097,22808143,12205923,Upgrade
1,Investment Securities,52972264,58245583,59618801,95428880,93115790,87493237,80236767,78721279,82585687,88006572,101983134,92599861,75806406,75641399,67790189,80187228,76724016,78523781,75202022,88254467,Upgrade
2,Trading Asset Securities,13110971,10549064,11501226,11914010,12325809,13186208,12693573,10854845,7793447,6637831,6096189,3871684,7074240,3159193,100769,5504075,493214,100400,291361,1370046,Upgrade
3,Total Investments,66083235,68794647,71120027,107342890,105441599,100679445,92930340,89576124,90379134,94644403,108079323,96471545,82880646,78800592,67890958,85691303,77217230,78624181,75493383,89624513,Upgrade
4,Gross Loans,701797989,652415293,656269499,604948059,579893966,537011949,499006045,471193269,446431597,419277277,410662469,387763331,373105198,322343413,320676397,306603690,296802101,285727987,276375174,268007440,Upgrade
5,Allowance for Loan Losses,-16336184,-15508719,-15252797,-15089011,-14805434,-12773741,-13710500,-13329928,-13682415,-12531350,-12792947,-11517740,-9981328,-6224293,-4828714,-4573067,-4498636,-4860904,-4231016,-4154042,Upgrade
6,Net Loans,685461805,636906574,641016702,589859048,565088532,524238208,485295545,457863341,432749182,406745927,397869522,376245591,363123870,316119120,315847683,302030623,292303465,280867083,272144158,263853398,Upgrade
7,"Property, Plant & Equipment",1442099,1381783,1348022,1295612,1302867,1332259,1174814,1191042,1233155,1194865,1151366,1177650,1217364,1097455,1137840,1171642,1213232,1230004,1260892,1300638,Upgrade
8,Goodwill,41310,60715,80119,99313,118507,137911,157316,176509,195492,65526,72737,79870,-,-,-,-,-,-,-,-,Upgrade
9,Other Intangible Assets,586817,542431,590752,631005,625702,579958,591030,601801,639018,655610,634860,635465,656016,626907,612847,632798,650667,597006,611609,546126,Upgrade
10,Accrued Interest Receivable,8014461,7626652,7548548,7834458,7849551,6950045,6613375,7663844,7192902,5914241,5554005,4844958,4474604,4337457,4722803,4920809,5036836,5498383,4908329,5448471,Upgrade
11,Other Receivables,3028348,3266405,5175665,2658113,2758097,3356512,3101698,3192583,2391232,2200021,1963872,2075042,1788636,1623386,1616136,1796630,2203661,2298176,1446403,1541944,Upgrade
12,Restricted Cash,14327215,13546544,14975550,7759148,8422511,9033687,10282392,9201959,9935379,4512134,4977601,4753558,10860730,9701663,5194489,3770309,5779610,5120560,3055805,1440200,Upgrade
13,Other Current Assets,14575439,18572796,32698418,35644047,38694115,44706808,39863290,41186796,41211183,45168350,40288311,35085621,39114737,29447385,26902566,19462394,16882442,17029897,17065306,16526090,Upgrade
14,Long-Term Deferred Tax Assets,1195836,1304989,1304013,1301299,1297724,1300413,1301472,556318,566968,-,-,-,-,-,-,-,-,-,-,-,Upgrade
15,Other Real Estate Owned & Foreclosed,593478,594359,598881,603019,588232,623819,616556,324923,299883,296905,307599,310265,311841,312336,312336,312335,439839,468405,518900,529596,Upgrade
16,Other Long-Term Assets,-177975,617332,644465,230825,134526,89368,206477,114987,109566,118807,262343,569011,63797,147433,126006,113554,187964,144238,160282,191988,Upgrade
