,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q4 2023,Q3 2023,Q4 2019,Q4 2018,Q4 2016,Q4 2015,Q2 2014,Q1 2014,Q2 2013,Q1 2013
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Dec '19 Dec 31, 2019","Dec '18 Dec 31, 2018","Dec '16 Dec 31, 2016","Dec '15 Dec 31, 2015","Jun '14 Jun 30, 2014","Mar '14 Mar 31, 2014","Jun '13 Jun 30, 2013","Mar '13 Mar 31, 2013"
0,Last Close Price,10400.00,10100.00,11600.00,12900.00,14100.00,14876.19,10439.90,6675.62,7688.31,6522.81,6671.06,5720.65,5372.77
1,Debt / Equity Ratio,0.08,0.08,0.03,0.06,-,0.73,1.06,-,-,-,-,-,-
2,Debt / EBITDA Ratio,4.55,37.65,0.81,-,-,1.60,1.37,-,-,-,-,-,-
3,Debt / FCF Ratio,-,-,-,0.08,-,-,0.76,-,-,-,-,-,-
4,Asset Turnover,0.38,-,-,-,-,-,-,-,0.50,-,-,-,
5,Inventory Turnover,2.16,2.60,-,-,-,-,-,-,-,15.30,-,-,-
6,Quick Ratio,1.12,1.12,1.24,1.22,-,0.63,0.43,1.18,1.70,1.64,1.64,-,-
7,Current Ratio,1.74,1.74,1.80,1.75,-,1.31,1.59,2.40,1.91,1.96,1.96,-,-
8,Return on Equity (ROE),2.48%,-,-,-,-,-,-,-,1.79%,-,-,-,
9,Return on Assets (ROA),-0.32%,-,-,-,-,-,-,-,-2.38%,-,-,-,
10,Return on Capital (ROIC),-0.57%,-,-,-,-,-,-,-,-4.59%,-,-,-,
11,Return on Capital Employed (ROCE),0.52%,-,6.57%,-,-,13.68%,6.20%,-,-,-,-,-,-
12,Payout Ratio,0.00%,-,-,-,-,56.59%,57.33%,-,-,-,-,-,-
13,Buyback Yield / Dilution,-7.25%,-8.23%,-19.80%,25.91%,-1.17%,-80.91%,-25.69%,-116.87%,-57.47%,-,-,-,-
14,Total Shareholder Return,-7.25%,-8.23%,-19.80%,25.91%,-1.17%,-80.91%,-25.69%,-116.87%,-57.47%,-,-,-,-
