,Fiscal Quarter,Q4 2024,Q3 2024,Q4 2023,Q3 2023,Q4 2019,Q4 2018,Q4 2016,Q4 2015,Q2 2014,Q1 2014,Q2 2013,Q1 2013
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Dec '19 Dec 31, 2019","Dec '18 Dec 31, 2018","Dec '16 Dec 31, 2016","Dec '15 Dec 31, 2015","Jun '14 Jun 30, 2014","Mar '14 Mar 31, 2014","Jun '13 Jun 30, 2013","Mar '13 Mar 31, 2013"
0,Revenue,34129,39750,3939,10015,167033,149459,17783,43693,21048,21048,11883,11883
1,Revenue Growth (YoY),-79.57%,-73.40%,-77.85%,-77.08%,693.57%,610.08%,49.66%,267.71%,-,-,-,-
2,Cost of Revenue,30289,36261,2024,5789,157748,120978,17191,42504,20475,20475,11275,11275
3,Gross Profit,3840,3490,1915,4226,9285,28482,592.39,1189,573.76,573.76,607.15,607.15
4,"Selling, General & Admin",4293,2181,3719,1994,-2696,11723,1300,2605,2182,2182,1053,1053
5,Operating Expenses,4293,2181,3719,1994,-2696,11723,1300,2605,2182,2182,1053,1053
6,Operating Income,-453,1309,-1804,2233,11980,16759,-708.03,-1416,-1608,-1608,-445.86,-445.86
7,Interest Expense,-1208,-2159,-2753,-1999,-69.84,-292.29,-,-,-19.45,-19.45,-39.78,-39.78
8,Interest & Investment Income,1135,1436,110.17,279.91,2068,726.87,1603,2610,2172,2172,859.04,859.04
9,Other Non Operating Income (Expenses),1994,28,-,70.76,-108.12,-,-200.45,-1070,-34.06,-34.06,-10.54,-10.54
10,Pretax Income,1468,613.64,-4447,584.48,13870,17193,694.96,124.04,510.55,510.55,362.86,362.86
11,Income Tax Expense,297.8,89.9,-1244,305.22,2365,3471,181.9,27.29,119.08,119.08,88.07,88.07
12,Net Income,1170,523.74,-3203,279.26,11505,13722,513.06,96.75,391.47,391.47,274.79,274.79
13,Net Income to Common,1170,523.74,-3203,279.26,11505,13722,513.06,96.75,391.47,391.47,274.79,274.79
14,Net Income Growth,-89.83%,-96.18%,-,188.64%,2838.96%,3405.34%,86.71%,-64.79%,-,-,-,-
15,Shares Outstanding (Basic),7,7,7,6,9,6,9,6,5,5,4,4
16,Shares Outstanding (Diluted),10,7,7,6,9,6,9,6,5,5,4,4
17,Shares Change (YoY),8.23%,19.80%,-25.91%,1.17%,80.91%,25.69%,116.87%,57.47%,-,-,-,-
18,EPS (Basic),159.00,71.00,-489.00,43.00,1298.21,2228.57,58.04,15.07,79.91,79.91,67.41,67.41
19,EPS (Diluted),122.00,71.00,-489.00,43.00,1298.21,2228.57,58.04,15.07,79.91,79.91,67.41,67.41
20,EPS Growth,-90.60%,-96.81%,-,185.29%,1524.58%,2688.83%,-13.91%,-77.64%,-,-,-,-
21,Free Cash Flow,-9202,-,24107,-,-13989,134219,-,-,-3962,-3962,-4581,-4581
22,Free Cash Flow Per Share,-959.45,-,3680.33,-,-1578.49,21798.06,-,-,-808.75,-808.75,-1123.85,-1123.85
23,Gross Margin,11.25%,8.78%,48.62%,42.20%,5.56%,19.06%,3.33%,2.72%,2.73%,2.73%,5.11%,5.11%
24,Operating Margin,-1.33%,3.29%,-45.80%,22.29%,7.17%,11.21%,-3.98%,-3.24%,-7.64%,-7.64%,-3.75%,-3.75%
25,Profit Margin,3.43%,1.32%,-81.31%,2.79%,6.89%,9.18%,2.89%,0.22%,1.86%,1.86%,2.31%,2.31%
26,Free Cash Flow Margin,-26.96%,-,611.98%,-,-8.37%,89.80%,-,-,-18.82%,-18.82%,-38.55%,-38.55%
27,EBITDA,101.99,1882,-745.97,-,12372,18140,-541.07,-,-1439,-1439,-210.51,-210.51
28,EBITDA Margin,0.30%,4.74%,-18.94%,-,7.41%,12.14%,-3.04%,-,-6.84%,-6.84%,-1.77%,-1.77%
29,D&A For EBITDA,554.99,573.61,1058,-,391.9,1381,166.96,-,169.4,169.4,235.36,235.36
30,EBIT,-453,1309,-1804,2233,11980,16759,-708.03,-1416,-1608,-1608,-445.86,-445.86
31,EBIT Margin,-1.33%,3.29%,-45.80%,22.29%,7.17%,11.21%,-3.98%,-3.24%,-7.64%,-7.64%,-3.75%,-3.75%
32,Effective Tax Rate,20.29%,14.65%,-,52.22%,17.05%,20.19%,26.17%,22.00%,23.32%,23.32%,24.27%,24.27%
33,Revenue as Reported,34129,39750,3939,10015,167033,149459,17783,43693,21048,21048,11883,11883
