,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Oct '23 Oct 1, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023"
0,Cash & Equivalents,2028,2028,34114,34114,31998,31998,-,-
1,Short-Term Investments,-,-,-,-,6000,6000,-,-
2,Cash & Short-Term Investments,2028,2028,34114,34114,37998,37998,-,-
3,Cash Growth,-94.66%,-94.66%,-,-,-,-,-,-
4,Accounts Receivable,10219,10219,14645,14645,6061,6061,-,-
5,Other Receivables,6009,6009,3844,3844,2316,2316,-,-
6,Receivables,44729,44729,18489,18489,8378,8378,-,-
7,Inventory,10867,10867,3614,3614,1418,1418,-,-
8,Prepaid Expenses,216.3,216.3,323.65,323.65,18.93,18.93,-,-
9,Other Current Assets,6679,6679,5298,5298,5477,5477,-,-
10,Total Current Assets,64519,64519,61838,61838,53290,53290,-,-
11,"Property, Plant & Equipment",147.21,147.21,1316,1316,10022,10022,-,-
12,Long-Term Investments,-,-,945.32,945.32,945.32,945.32,-,-
13,Long-Term Accounts Receivable,550,-,-,-,-,-,-,-
14,Other Long-Term Assets,28910,29460,29167,29167,21736,21736,-,-
15,Total Assets,94126,94126,93267,93267,85994,85994,-,-
16,Accounts Payable,8581,8581,8722,8722,4603,4603,-,-
17,Accrued Expenses,3484,3484,3217,3217,3382,3382,-,-
18,Short-Term Debt,1458,1458,5399,5399,1679,1679,-,-
19,Current Income Taxes Payable,182.74,182.74,401.56,401.56,206.36,206.36,-,-
20,Current Unearned Revenue,324.14,324.14,2051,2051,3597,3597,-,-
21,Other Current Liabilities,7778,7778,2037,2037,2866,2866,-,-
22,Total Current Liabilities,21808,21808,21828,21828,16333,16333,-,-
23,Long-Term Unearned Revenue,-,-,201.82,201.82,974.29,974.29,-,-
24,Other Long-Term Liabilities,873.27,873.27,873.27,873.27,651.87,651.87,-,-
25,Total Liabilities,22681,22681,22903,22903,17959,17959,-,-
26,Common Stock,60000,60000,30000,30000,30000,30000,-,-
27,Retained Earnings,11509,11509,40364,40364,38034,38034,-,-
28,Comprehensive Income & Other,-63.5,-63.5,-,-,-,-,-,-
29,Shareholders' Equity,71445,71445,70364,70364,68034,68034,-,-
30,Total Liabilities & Equity,94126,94126,93267,93267,85994,85994,-,-
31,Total Debt,1458,1458,5399,5399,1679,1679,-,-
32,Net Cash (Debt),570.38,570.38,28714,28714,36319,36319,-,-
33,Net Cash Growth,-98.43%,-98.43%,-,-,-,-,-,-
34,Net Cash Per Share,99.42,95.00,4788.35,4788.35,12127.36,5571.71,-,-
35,Filing Date Shares Outstanding,6,6,6,6,2.99,6.52,6.8,6.8
36,Total Common Shares Outstanding,6,6,6,6,2.99,6.52,6.8,6.8
37,Working Capital,42711,42711,40010,40010,36957,36957,-,-
38,Book Value Per Share,11907.55,11907.55,11733.76,11733.76,22717.46,10437.15,-,-
39,Tangible Book Value,71445,71445,70364,70364,68034,68034,-,-
40,Tangible Book Value Per Share,11907.55,11907.55,11733.76,11733.76,22717.46,10437.15,-,-
