,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Oct '23 Oct 1, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023"
0,Revenue,5238,15103,14254,14254,11713,7379,5079,5079
1,Revenue Growth (YoY),-55.28%,104.66%,180.66%,180.66%,-,-,-,-
2,Cost of Revenue,3820,13270,11297,11297,9528,5923,4209,4209
3,Gross Profit,1418,1833,2957,2957,2185,1456,870.33,870.33
4,"Selling, General & Admin",1861,1545,1592,1592,2052,1624,1283,1283
5,Operating Expenses,1861,1545,1592,1592,2052,1624,1283,1283
6,Operating Income,-443.07,287.72,1365,1365,133.52,-167.86,-412.22,-412.22
7,Interest Expense,-21.93,-1.12,-102.35,-102.35,-23.63,-8,-44.24,-44.24
8,Interest & Investment Income,496.96,387.75,192.42,192.42,461.7,522.26,535.54,535.54
9,Currency Exchange Gain (Loss),-,23.78,-,-,-,28.36,-,-
10,Other Non Operating Income (Expenses),54.92,1.25,57.83,57.83,19.89,-15.93,157.18,157.18
11,EBT Excluding Unusual Items,86.89,699.38,1513,1513,591.47,358.84,236.26,236.26
12,Gain (Loss) on Sale of Investments,-,27.34,-,-,-,-27.34,-,-
13,Pretax Income,86.89,726.72,1513,1513,591.47,331.5,236.26,236.26
14,Income Tax Expense,35.26,154.42,306.12,306.12,118.29,75.35,62.76,62.76
15,Net Income,51.63,572.3,1207,1207,473.18,256.15,173.5,173.5
16,Net Income to Common,51.63,572.3,1207,1207,473.18,256.15,173.5,173.5
17,Net Income Growth,-89.09%,123.43%,595.57%,595.57%,-,-,-,-
18,Shares Outstanding (Basic),6,6,6,6,3,7,7,7
19,Shares Outstanding (Diluted),6,6,6,6,3,7,7,7
20,Shares Change (YoY),91.56%,-7.89%,-11.87%,-11.87%,-,-,-,-
21,EPS (Basic),9.00,95.32,201.25,201.25,158.00,39.30,25.50,25.50
22,EPS (Diluted),9.00,95.32,201.25,201.25,158.00,39.30,25.50,25.50
23,EPS Growth,-94.30%,142.56%,689.22%,689.22%,-,-,-,-
24,Free Cash Flow,-746.23,-746.23,-3969,-3969,-2043,-2043,-2312,-2312
25,Free Cash Flow Per Share,-130.08,-124.28,-661.87,-661.87,-682.18,-313.42,-339.86,-339.86
26,Gross Margin,27.08%,12.14%,20.74%,20.74%,18.66%,19.73%,17.14%,17.14%
27,Operating Margin,-8.46%,1.91%,9.58%,9.58%,1.14%,-2.27%,-8.12%,-8.12%
28,Profit Margin,0.99%,3.79%,8.47%,8.47%,4.04%,3.47%,3.42%,3.42%
29,Free Cash Flow Margin,-14.25%,-4.94%,-27.84%,-27.84%,-17.44%,-27.68%,-45.53%,-45.53%
30,EBITDA,-12.2,718.58,1831,1831,732.95,431.57,438.13,438.13
31,EBITDA Margin,-0.23%,4.76%,12.85%,12.85%,6.26%,5.85%,8.63%,8.63%
32,D&A For EBITDA,430.87,430.87,466.42,466.42,599.43,599.43,850.36,850.36
33,EBIT,-443.07,287.72,1365,1365,133.52,-167.86,-412.22,-412.22
34,EBIT Margin,-8.46%,1.91%,9.58%,9.58%,1.14%,-2.27%,-8.12%,-8.12%
35,Effective Tax Rate,40.58%,21.25%,20.23%,20.23%,20.00%,22.73%,26.56%,26.56%
36,Revenue as Reported,5238,15103,14254,14254,11713,7379,5079,5079
