,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Mar '25 Mar 11, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Market Capitalization,3397613,5598140,5756578,6681648,4694520,4705189,5270665,4918576,3366184,3366184,6561658,7096614,11782475,7111146,5370551,2625348,3011331,1802078,1086687,662076,452545,Upgrade
1,Market Cap Growth,18.98%,18.98%,9.22%,35.85%,39.46%,39.78%,-19.67%,-30.69%,-71.43%,-52.66%,22.18%,170.31%,291.27%,294.61%,394.21%,296.53%,565.42%,109.35%,14.33%,8.50%,-30.28%,Upgrade
2,Enterprise Value,25423276,27847912,27359849,28475283,25273593,25284263,25837249,26557344,24141978,22715305,24963215,23294245,27980107,21840061,21578122,12545326,9500452,5280596,4648443,3799124,3423957,Upgrade
3,Last Close Price,3860.00,6360.00,6540.00,7590.91,8000.00,8018.18,8981.82,8381.82,5736.36,5736.36,11181.82,11836.73,22162.40,20063.69,12213.53,8559.62,9262.97,7606.96,4587.14,3133.62,2141.90,Upgrade
4,PE Ratio,7.71,13.86,29.29,94.49,41.79,-,-151.15,-347.70,24.89,-,10.17,9.04,15.95,11.68,8.01,4.89,8.99,8.53,23.15,10.45,4.49,Upgrade
5,PS Ratio,0.78,1.28,1.30,1.55,1.08,1.17,1.30,1.17,0.85,0.74,1.64,2.17,3.67,2.75,2.59,1.10,1.43,0.97,0.47,0.37,0.26,Upgrade
6,PB Ratio,0.34,0.26,0.27,0.32,0.27,0.27,0.36,0.34,0.23,0.24,0.48,0.52,1.41,0.85,0.84,0.50,0.63,0.61,0.48,0.36,0.27,Upgrade
7,P/TBV Ratio,0.60,0.60,0.62,0.73,0.75,0.75,0.86,0.80,0.56,0.56,1.07,1.10,3.85,2.33,1.95,1.44,2.08,2.21,0.98,0.75,0.52,Upgrade
8,P/FCF Ratio,-,-2.67,-,-,-,-,-5.70,-5.03,-0.73,-,-,-,-,-,-,-,-,-,2.97,-,-,Upgrade
9,P/OCF Ratio,-,-3.10,-,-,-,-,-,-13.96,-2.33,-,-1.69,-,-,-,-0.55,-,-,-,3.01,-,-,Upgrade
10,EV/Sales Ratio,5.82,6.37,6.19,6.63,5.80,6.30,6.37,6.30,6.07,5.01,6.25,7.11,8.72,8.43,10.42,5.24,4.52,2.85,2.00,2.13,1.98,Upgrade
11,EV/EBITDA Ratio,21.08,24.26,21.96,23.91,20.10,21.57,25.92,24.79,26.26,18.79,19.41,20.25,23.89,28.05,37.44,24.02,34.42,-,22.56,84.39,82.54,Upgrade
12,EV/EBIT Ratio,45.38,55.47,46.55,53.27,40.84,45.35,61.67,53.32,64.98,-,32.12,33.07,38.37,46.33,69.54,37.13,52.11,-,30.34,-,306.05,Upgrade
13,EV/FCF Ratio,-12.14,-13.30,-,-,-,-,-27.94,-27.18,-5.27,-,-,-,-,-,-,-,-,-,12.69,-,-,Upgrade
14,Debt / Equity Ratio,0.54,0.54,0.56,0.57,0.70,0.70,0.95,0.95,1.04,1.06,1.15,1.07,1.68,1.68,2.25,2.95,2.13,2.23,1.76,2.06,1.87,Upgrade
15,Debt / EBITDA Ratio,10.09,16.03,8.89,9.48,9.59,10.90,12.56,9.08,16.17,35.42,11.12,15.75,6.74,19.40,16.52,15.48,19.79,-,6.17,141.92,36.18,Upgrade
16,Debt / FCF Ratio,-,-5.53,-,-,-,-,-15.09,-14.25,-3.27,-,-,-,-,-,-,-,-,-,10.92,-,-,Upgrade
17,Asset Turnover,0.10,0.10,-,-,0.11,0.09,0.10,0.06,0.11,0.11,-,-,0.07,0.05,0.10,0.09,0.03,0.21,0.18,0.18,Upgrade,
18,Inventory Turnover,0.90,1.05,0.87,-,-,0.95,0.77,0.69,0.56,1.51,1.17,-,-,0.75,0.44,0.95,0.77,0.27,1.98,1.70,1.32,Upgrade
19,Quick Ratio,0.84,0.84,0.97,0.98,-,0.81,0.72,0.74,0.61,0.83,1.37,1.18,-,1.01,1.07,1.04,0.91,0.67,0.95,0.60,0.51,Upgrade
20,Current Ratio,1.68,1.68,1.84,1.87,-,1.61,1.38,1.29,1.29,1.56,2.29,1.93,-,1.59,1.86,1.80,1.41,1.07,1.41,1.17,0.86,Upgrade
21,Return on Equity (ROE),1.81%,6.27%,4.34%,4.77%,-0.34%,0.25%,4.44%,0.42%,-9.28%,1.16%,12.88%,23.52%,16.27%,14.95%,25.04%,17.34%,24.94%,14.84%,4.28%,2.03%,Upgrade,
22,Return on Assets (ROA),0.10%,0.95%,-,-,0.61%,0.69%,1.34%,0.53%,-0.20%,1.12%,-,-,0.68%,0.88%,1.07%,1.01%,-0.76%,2.60%,-0.37%,0.39%,Upgrade,
23,Return on Capital (ROIC),0.13%,1.30%,1.25%,1.32%,0.89%,1.04%,2.07%,0.82%,-0.30%,1.72%,1.12%,4.09%,1.16%,1.50%,1.93%,2.21%,-1.95%,6.42%,-0.82%,0.72%,Upgrade,
24,Return on Capital Employed (ROCE),1.51%,1.51%,1.73%,1.57%,-,1.86%,1.48%,1.91%,1.19%,-,2.22%,2.07%,-,1.71%,1.08%,1.19%,0.91%,-,1.41%,-,0.23%,Upgrade
25,Earnings Yield,12.97%,7.22%,3.41%,1.06%,2.39%,1.25%,-0.66%,-0.29%,4.02%,11.01%,9.84%,11.06%,6.27%,8.56%,12.48%,20.46%,11.12%,11.73%,4.32%,9.57%,22.28%,Upgrade
26,FCF Yield,-61.62%,-37.40%,-75.67%,-50.43%,-34.33%,-4.74%,-17.55%,-19.86%,-136.11%,-209.78%,-94.70%,-88.85%,-89.62%,-157.01%,-267.25%,-478.03%,-228.13%,-241.64%,33.72%,-370.58%,-347.28%,Upgrade
27,Dividend Yield,0.00%,-,-,-,-,-,-,-,-,-,-,-,-,2.16%,-,-,-,8.93%,-,-,-,Upgrade
28,Payout Ratio,2.41%,8.36%,-,0.00%,0.00%,-,140.52%,-,-,-,950.55%,28.54%,3.83%,118.52%,172.33%,4.13%,3.20%,-,315.26%,57.24%,295.39%,Upgrade
29,Buyback Yield / Dilution,-50.00%,-21.09%,-11.38%,-18.09%,-4.67%,-9.06%,-12.50%,-12.11%,-12.11%,-64.01%,-61.59%,-198.07%,-118.36%,-137.64%,-101.48%,-38.01%,-88.39%,-8.50%,-25.92%,-,-,Upgrade
30,Total Shareholder Return,-50.00%,-21.09%,-11.38%,-18.09%,-4.67%,-9.06%,-12.50%,-12.11%,-12.11%,-64.01%,-61.59%,-198.07%,-118.36%,-135.48%,-101.48%,-38.01%,-88.39%,0.43%,-25.92%,-,-,Upgrade
