,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Market Capitalization,673,1395,2670,3770,15615,-,-,-
1,Market Cap Growth,-62.99%,-62.99%,-82.90%,-,-,-,-,-
2,Enterprise Value,-582,85,1085,2446,19893,-,-,-
3,Last Close Price,0.51,1.04,1.99,2.81,11.64,-,-,-
4,PS Ratio,0.13,0.27,0.50,0.76,3.19,-,-,-
5,PB Ratio,0.33,0.67,1.19,1.64,6.28,-,-,-
6,P/TBV Ratio,0.82,0.82,1.47,2.04,7.85,-,-,-
7,P/FCF Ratio,-,-8.07,-,-56.77,-,-,-,-
8,P/OCF Ratio,-,-9.25,-,-69.40,-,-,-,-
9,EV/Sales Ratio,0.02,0.02,0.20,0.49,4.06,-,-,-
10,EV/FCF Ratio,3.37,-0.49,-,-36.83,-,-,-,-
11,Debt / Equity Ratio,0.08,0.08,0.07,0.07,0.07,-1.70,-1.86,-
12,Debt / FCF Ratio,-,-1.00,-,-2.40,-,-20.62,-,-
13,Earnings Yield,-31.57%,-15.23%,-9.32%,-67.88%,-20.51%,-,-,-
14,FCF Yield,-25.68%,-12.39%,-0.79%,-1.76%,-1.85%,-,-,-
15,Buyback Yield / Dilution,-11.11%,1.40%,-27.08%,-112.66%,-66.00%,-96.72%,-,-
16,Total Shareholder Return,-11.11%,1.40%,-27.08%,-112.66%,-66.00%,-96.72%,-,-
