,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Revenue,2268,2610,2247,2339,1990,2035,1644
1,Revenue Growth (YoY),0.92%,11.55%,12.94%,14.95%,21.06%,-,-
2,Cost of Revenue,1516,1782,1564,1554,1325,1376,1140
3,Gross Profit,751.74,827.76,682.91,785,664.67,658.64,503.67
4,"Selling, General & Admin",835.27,918.11,805.33,849.81,837.11,1036,691.93
5,Research & Development,24.36,34.31,30.68,42.78,46.17,50.13,46.03
6,Operating Expenses,862.17,952.87,836.05,892.64,883.45,1086,737.16
7,Operating Income,-110.43,-125.11,-153.14,-107.64,-218.78,-427.16,-233.48
8,Interest Expense,-4.35,-3.95,-3.93,-4.08,-3.84,-3.73,-14.04
9,Interest & Investment Income,17.93,19.89,16.5,9.17,7.98,2.52,1.65
10,Earnings From Equity Investments,-1.18,-2.21,-0.23,-,-,-,-
11,Currency Exchange Gain (Loss),3.01,-4.32,9.46,10.19,4.18,-10.55,22.47
12,Other Non Operating Income (Expenses),8.66,6.77,9.59,-2164,-376.23,-57.71,-871.71
13,EBT Excluding Unusual Items,-86.35,-108.93,-121.75,-2257,-586.69,-496.64,-1095
14,Impairment of Goodwill,-1.1,-,-,-,-,-,-
15,Gain (Loss) on Sale of Investments,4.5,1.4,8.54,6.11,5.16,7.98,2.3
16,Gain (Loss) on Sale of Assets,-0.01,-0.06,-0.01,-0.01,-0.01,-0.33,-0.01
17,Other Unusual Items,-0.71,-0.01,-0.42,0.04,0.02,-,-0.03
18,Pretax Income,-83.66,-107.6,-113.63,-2251,-581.52,-488.99,-1093
19,Income Tax Expense,6.14,5.92,3.72,5.73,4.39,11.59,5.53
20,Earnings From Continuing Operations,-89.8,-113.52,-117.35,-2256,-585.91,-500.58,-1098
21,Minority Interest in Earnings,5.31,0.28,4.78,1.04,7.84,10.06,10.89
22,Net Income,-84.49,-113.24,-112.57,-2255,-578.07,-490.52,-1088
23,Net Income to Common,-84.49,-113.24,-112.57,-2255,-578.07,-490.52,-1088
24,Shares Outstanding (Basic),1323,1336,1341,1051,631,633,321
25,Shares Outstanding (Diluted),1323,1336,1341,1051,631,633,321
26,Shares Change (YoY),-1.40%,27.08%,112.66%,66.00%,96.72%,-,-
27,EPS (Basic),-0.06,-0.08,-0.08,-2.15,-0.92,-0.77,-3.39
28,EPS (Diluted),-0.06,-0.08,-0.08,-2.15,-0.92,-0.78,-3.39
29,Free Cash Flow,64.11,-224.93,205.83,-267.28,11.71,-262.17,-53.78
30,Free Cash Flow Per Share,0.05,-0.17,0.15,-0.25,0.02,-0.41,-0.17
31,Operating Margin,-4.87%,-4.79%,-6.81%,-4.60%,-11.00%,-20.99%,-14.21%
32,Profit Margin,-3.73%,-4.34%,-5.01%,-96.41%,-29.05%,-24.10%,-66.17%
33,Free Cash Flow Margin,2.83%,-8.62%,9.16%,-11.43%,0.59%,-12.88%,-3.27%
34,EBITDA,-84.15,-109.74,-124.62,-90.41,-190.46,-408.92,-204.71
35,D&A For EBITDA,26.28,15.37,28.52,17.23,28.32,18.25,28.77
36,EBIT,-110.43,-125.11,-153.14,-107.64,-218.78,-427.16,-233.48
37,Advertising Expenses,-,-,-,-,-,-,91.31
