,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Mar '25 Mar 5, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022"
0,Market Capitalization,1239,1793,4500,4251,4223,-
1,Market Cap Growth,-57.82%,-57.82%,6.57%,-,-,-
2,Enterprise Value,1213,1704,4357,4029,4151,-
3,Last Close Price,5.18,7.50,18.82,17.78,17.66,-
4,PS Ratio,27.77,40.21,99.75,110.03,137.58,-
5,PB Ratio,9.78,13.24,23.55,17.75,14.40,-
6,P/TBV Ratio,14.17,14.17,25.30,19.16,15.62,-
7,EV/Sales Ratio,27.20,38.19,96.57,104.28,135.24,-
8,Debt / Equity Ratio,0.30,0.30,0.06,0.05,0.04,-
9,Earnings Yield,-9.22%,-6.37%,-2.39%,-2.87%,-3.00%,-
10,FCF Yield,-8.91%,-6.16%,-2.72%,-3.10%,-2.78%,-
11,Buyback Yield / Dilution,-2.37%,-,-4.84%,-4.87%,-,-
12,Total Shareholder Return,-2.37%,-,-4.84%,-4.87%,-,-
