,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022"
0,Revenue,19.48,22.04,18.91,16.84,10.31
1,Revenue Growth (YoY),2.97%,30.83%,83.52%,-,-
2,Cost of Revenue,4.19,5.62,4.28,4.57,3.22
3,Gross Profit,15.28,16.41,14.64,12.27,7.09
4,"Selling, General & Admin",36.53,40.38,34.32,53.91,34.41
5,Research & Development,37.22,41.8,34.33,37.13,22.81
6,Operating Expenses,73.75,82.18,68.65,91.04,57.22
7,Operating Income,-58.47,-65.76,-54.01,-78.76,-50.13
8,Interest Expense,-0.44,-0.32,-0.33,-0.32,-0.27
9,Interest & Investment Income,0.15,0.52,0.71,0.53,0.65
10,Currency Exchange Gain (Loss),0.83,-1.48,3.18,1.19,1.44
11,Other Non Operating Income (Expenses),1.97,8.72,3.03,3.89,3.46
12,Pretax Income,-55.95,-58.32,-47.43,-73.47,-44.85
13,Earnings From Continuing Operations,-55.95,-58.32,-47.43,-73.47,-44.85
14,Minority Interest in Earnings,3.78,4.23,4.03,3.94,2.15
15,Net Income,-52.17,-54.08,-43.4,-69.52,-42.7
16,Net Income to Common,-52.17,-54.08,-43.4,-69.52,-42.7
17,Shares Outstanding (Basic),239,239,239,228,228
18,Shares Outstanding (Diluted),239,239,239,228,228
19,Shares Change (YoY),-,4.84%,4.87%,-,-
20,EPS (Basic),-0.22,-0.23,-0.18,-0.30,-0.19
21,EPS (Diluted),-0.22,-0.23,-0.18,-0.30,-0.19
22,Free Cash Flow,-51.82,-50.94,-60.06,-61.79,-42.15
23,Free Cash Flow Per Share,-0.22,-0.21,-0.25,-0.27,-0.18
24,Operating Margin,-300.24%,-298.43%,-285.56%,-467.63%,-486.44%
25,Profit Margin,-267.89%,-245.43%,-229.47%,-412.78%,-414.30%
26,Free Cash Flow Margin,-266.07%,-231.17%,-317.52%,-366.87%,-409.02%
27,EBITDA,-55.14,-62.88,-51.47,-76.59,-47.76
28,D&A For EBITDA,3.33,2.88,2.54,2.18,2.38
29,EBIT,-58.47,-65.76,-54.01,-78.76,-50.13
