,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022"
0,Cash & Equivalents,69.56,103.4,159.01,226.42,-
1,Short-Term Investments,-,1.05,-,1.92,-
2,Cash & Short-Term Investments,69.56,104.46,159.01,228.34,-
3,Cash Growth,-56.25%,-54.25%,-,-,-
4,Receivables,0.11,0.13,0.36,0.08,-
5,Inventory,21.8,24.35,25.17,19.93,-
6,Restricted Cash,-,0.07,-,-,-
7,Other Current Assets,25.23,20.9,24.78,15.86,-
8,Total Current Assets,116.7,149.92,209.31,264.21,-
9,"Property, Plant & Equipment",56.56,51.28,39.56,41.76,-
10,Other Intangible Assets,0.01,0.02,0.03,0.04,-
11,Other Long-Term Assets,11.37,11.61,7.77,7.85,-
12,Total Assets,184.65,212.82,256.68,313.86,-
13,Accounts Payable,1.66,1.15,4.35,1.87,-
14,Accrued Expenses,-,21.68,-,34.77,-
15,Current Portion of Long-Term Debt,20,-,-,-,-
16,Current Portion of Leases,5.16,3.25,2.76,3.43,-
17,Current Income Taxes Payable,-,2.07,-,1.98,-
18,Current Unearned Revenue,0.69,0.99,2.87,3.26,-
19,Other Current Liabilities,18.57,1.64,16.09,0.42,-
20,Total Current Liabilities,46.08,30.78,26.07,45.73,-
21,Long-Term Leases,12.54,7.76,7.27,7.94,-
22,Long-Term Unearned Revenue,-,0.82,1.68,0.8,-
23,Total Liabilities,58.62,39.36,35.02,54.47,-
24,Common Stock,239.11,239.11,239.11,239.11,-
25,Additional Paid-In Capital,299.77,299.77,299.77,299.77,-
26,Retained Earnings,-683.13,-630.96,-576.88,-533.48,-
27,Comprehensive Income & Other,262.07,253.55,243.43,233.73,-
28,Total Common Equity,117.82,161.47,205.43,239.13,-
29,Minority Interest,8.21,12,16.23,20.26,-
30,Shareholders' Equity,126.03,173.46,221.65,259.39,-
31,Total Liabilities & Equity,184.65,212.82,256.68,313.86,-
32,Total Debt,37.7,11.01,10.03,11.37,-
33,Net Cash (Debt),31.87,93.44,148.98,216.97,-
34,Net Cash Growth,-78.61%,-56.93%,-,-,-
35,Net Cash Per Share,0.13,0.39,0.62,0.95,-
36,Filing Date Shares Outstanding,239.11,239.11,239.11,239.11,228
37,Total Common Shares Outstanding,239.11,239.11,239.11,239.11,228
38,Working Capital,70.62,119.13,183.24,218.47,-
39,Book Value Per Share,0.49,0.68,0.86,1.00,-
40,Tangible Book Value,117.8,161.44,205.39,239.09,-
41,Tangible Book Value Per Share,0.49,0.68,0.86,1.00,-
42,Machinery,-,37.66,-,34.29,-
43,Construction In Progress,-,10.15,-,0.8,-
44,Leasehold Improvements,-,15.58,-,13.8,-
