,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Jan '24 Jan 1, 2024","Oct '23 Oct 1, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Market Capitalization,518239,524559,542001,498001,570001,512001,554001,600001,544001,572001,808002,540001,970002,786002,680001,680001,620001,508001,576001,408001,354001,Upgrade
1,Market Cap Growth,2.45%,2.45%,-2.17%,-17.00%,4.78%,-10.49%,-31.44%,11.11%,-43.92%,-27.23%,18.82%,-20.59%,56.45%,54.72%,18.06%,66.67%,75.14%,53.94%,77.78%,37.84%,22.07%,Upgrade
2,Enterprise Value,1158074,633045,650487,563051,635051,593371,621643,629533,536302,518721,730568,412013,827629,598373,488675,495950,444813,357274,427312,262900,241179,Upgrade
3,Last Close Price,16400.00,16600.00,17151.90,15759.49,18037.97,16202.53,17531.65,18987.34,17215.19,18101.27,24525.96,16391.11,29443.30,23858.18,20640.66,19234.62,17537.45,14369.39,14110.78,9995.13,8672.25,Upgrade
4,PE Ratio,87.91,140.94,202.06,303.12,295.96,229.37,111.39,120.09,109.23,118.55,129.40,83.68,111.11,50.21,12.39,9.72,8.88,7.10,12.32,5.53,4.59,Upgrade
5,PS Ratio,11.60,17.77,24.25,32.78,39.95,37.32,18.47,20.12,17.49,16.14,20.89,11.90,17.85,9.71,6.56,4.81,3.69,2.79,1.87,1.02,0.84,Upgrade
6,PB Ratio,1.21,1.23,1.27,1.17,1.39,1.21,1.30,1.42,1.29,1.35,1.81,1.21,2.17,1.76,1.74,1.52,1.40,1.16,1.18,0.86,0.76,Upgrade
7,P/TBV Ratio,1.23,1.23,1.27,1.17,1.39,1.21,1.30,1.42,1.29,1.35,1.81,1.21,2.17,1.76,1.74,1.52,1.40,1.16,1.18,0.86,0.76,Upgrade
8,P/FCF Ratio,-,-,-,-,-,-,-,-,-,-,-,-,-,86.82,-,5.66,5.36,3.64,4.67,2.21,1.52,Upgrade
9,P/OCF Ratio,-,-,-,-,-,-,-,-,-,-,-,-,-,86.82,-,5.66,5.36,3.64,4.67,2.20,1.52,Upgrade
10,EV/Sales Ratio,39.99,21.45,29.10,37.07,44.51,43.26,20.72,21.11,17.24,14.63,18.89,9.08,15.23,7.39,4.72,3.51,2.65,1.96,1.39,0.66,0.57,Upgrade
11,EV/EBITDA Ratio,92.60,81.64,98.70,-,-,223.76,-,-,-,-,-,-,-,-,-,-,-,3.15,6.53,2.73,2.41,Upgrade
12,EV/EBIT Ratio,199.99,96.85,123.91,142.08,183.14,176.82,65.20,69.97,72.44,63.88,111.43,-,68.28,31.06,6.85,5.33,4.64,3.64,8.57,3.24,2.84,Upgrade
13,EV/FCF Ratio,-,-,-,-,-,-,-,-,-,-,-,-,-,66.10,-,4.13,3.85,2.56,3.47,1.42,1.03,Upgrade
14,Debt / Equity Ratio,1.56,1.56,1.56,0.31,0.29,0.28,0.28,0.28,0.24,0.24,0.18,0.14,0.08,0.09,0.11,0.10,0.12,0.09,0.16,0.26,0.25,Upgrade
15,Debt / EBITDA Ratio,53.44,43.79,42.42,-,-,11.09,-,-,-,-,-,-,-,-,-,-,-,0.16,0.73,3.21,1.94,Upgrade
16,Debt / FCF Ratio,-,-,-,-,-,-,-,-,-,-,-,-,-,4.44,-,0.38,0.47,0.28,0.64,0.67,0.50,Upgrade
17,Asset Turnover,0.02,0.03,-,-,0.03,0.03,-,-,0.13,0.03,0.03,0.05,0.15,0.07,0.09,0.22,0.27,0.25,0.22,0.26,Upgrade,
18,Inventory Turnover,0.02,0.02,0.03,-,-,0.02,0.02,-,-,0.15,0.01,-,0.09,-,0.11,0.04,0.46,-,0.45,1.45,6.45,Upgrade
19,Quick Ratio,0.04,0.04,0.04,0.85,-,1.32,1.32,1.60,-,1.48,1.87,2.02,2.16,1.99,1.23,1.95,1.96,1.97,1.80,1.83,2.39,Upgrade
20,Current Ratio,1.82,1.82,1.82,7.81,-,7.25,7.25,6.92,-,4.75,5.59,5.43,5.07,4.34,2.04,3.22,3.17,3.18,2.61,2.45,2.69,Upgrade
21,Return on Equity (ROE),1.50%,1.51%,0.20%,0.30%,0.98%,0.98%,0.46%,0.58%,3.04%,0.53%,0.42%,0.41%,4.52%,0.76%,2.47%,6.70%,38.06%,13.20%,4.54%,7.88%,Upgrade,
22,Return on Assets (ROA),0.26%,0.41%,-,-,0.36%,0.36%,-,-,2.92%,0.13%,-0.26%,0.61%,2.24%,0.34%,1.78%,3.45%,21.02%,7.45%,2.42%,3.72%,Upgrade,
23,Return on Capital (ROIC),0.49%,0.65%,0.69%,0.36%,0.39%,0.39%,0.47%,0.31%,3.35%,0.15%,-0.30%,0.70%,2.98%,0.47%,2.23%,4.37%,27.60%,9.71%,3.03%,4.63%,Upgrade,
24,Return on Capital Employed (ROCE),0.60%,0.67%,0.54%,0.75%,-,0.64%,1.81%,1.74%,-,1.61%,1.29%,-,2.61%,4.13%,17.72%,20.16%,20.73%,21.42%,9.71%,16.21%,17.00%,Upgrade
25,Earnings Yield,0.74%,0.71%,0.58%,0.52%,0.50%,0.62%,0.98%,0.83%,0.92%,0.84%,0.77%,1.20%,0.90%,1.99%,8.07%,10.29%,11.70%,14.62%,8.58%,18.74%,22.33%,Upgrade
26,FCF Yield,-110.48%,-110.48%,-58.57%,-11.11%,-10.29%,-12.10%,-12.03%,-13.53%,-18.23%,-19.50%,-8.24%,-8.16%,-1.56%,1.15%,8.59%,17.67%,18.65%,27.45%,21.39%,45.29%,65.91%,Upgrade
27,Dividend Yield,0.00%,-,-,-,-,-,-,-,-,-,-,-,-,3.18%,-,-,-,11.01%,-,-,-,Upgrade
28,Payout Ratio,0.00%,-,-,-,-,538.05%,538.05%,0.23%,0.19%,370.26%,5.79%,-,7.54%,1033.45%,-,-,0.58%,199.90%,-,-,-,Upgrade
29,Buyback Yield / Dilution,-2.38%,-7.37%,-7.37%,-0.66%,-1.05%,73.28%,72.79%,-3.46%,-1.21%,-0.10%,1.49%,48.38%,1.37%,-0.20%,0.06%,-90.44%,-0.05%,0.04%,-0.02%,0.15%,-0.03%,Upgrade
30,Total Shareholder Return,-2.38%,-7.37%,-7.37%,-0.66%,-1.05%,73.28%,72.79%,-3.46%,-1.21%,-0.10%,1.49%,48.38%,1.37%,2.99%,0.06%,-90.44%,-0.05%,11.05%,-0.02%,0.15%,-0.03%,Upgrade
