,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Jan '24 Jan 1, 2024","Oct '23 Oct 1, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Cash & Equivalents,28484,28484,24251,-,51557,51557,37456,-,68218,84568,89892,98593,91274,123665,118459,119982,130606,173992,183902,173597,Upgrade
1,Short-Term Investments,-,-,-,-,4368,4368,13368,-,38810,49810,49810,64410,91310,105810,118810,118810,83674,55674,88674,88674,Upgrade
2,Cash & Short-Term Investments,28484,28484,24251,52625,55925,55925,50824,107027,107027,134377,139701,163003,182584,229475,237269,238792,214280,229666,272576,262271,Upgrade
3,Cash Growth,-49.07%,-49.07%,-52.28%,-50.83%,-47.75%,-58.38%,-63.62%,-34.34%,-41.38%,-41.44%,-41.12%,-31.74%,-14.79%,-0.08%,-12.95%,-8.95%,-8.01%,41.78%,207.41%,253.73%,Upgrade
4,Accounts Receivable,8696,8696,23120,-,26760,26760,25810,-,27550,14672,18395,19357,21489,47178,48619,62110,82051,158661,196179,257138,Upgrade
5,Other Receivables,4880,4880,6509,-,5757,5757,32925,-,18799,11083,11240,6776,9455,21376,21012,9624,8370,48250,5833,4040,Upgrade
6,Receivables,13575,13575,29629,-,32517,32517,58735,-,46349,25755,29635,26133,30944,68554,69632,71734,90421,206911,202012,261177,Upgrade
7,Inventory,1829417,1829417,419098,-,369117,369117,335453,-,304242,267378,229692,224611,223452,171735,172881,162515,153605,154749,115911,18468,Upgrade
8,Prepaid Expenses,727.36,727.36,727.36,-,486.62,486.62,599.74,-,155.98,4620,155.98,155.98,155.98,-,-,12,12,-,-,6099,Upgrade
9,Other Current Assets,49326,49326,22862,-,25788,25788,26979,-,35447,45747,56358,30568,28215,26982,25327,28707,33252,41633,43547,41602,Upgrade
10,Total Current Assets,1921529,1921529,496567,-,483833,483833,472591,-,493221,477877,455543,444471,465350,496746,505109,501760,491570,632959,634046,589618,Upgrade
11,"Property, Plant & Equipment",33270,33270,34745,-,36320,36320,38130,-,39947,39080,39527,38892,38953,40539,42129,43720,45320,46876,48465,49999,Upgrade
12,Long-Term Investments,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2500,2500,2500,2500,2500,Upgrade
13,Other Intangible Assets,-,-,-,-,-,-,-,-,-,3.23,6.98,10.73,14.48,18.23,21.98,25.73,31.14,39.89,48.64,57.39,Upgrade
14,Other Long-Term Assets,68514,68514,60876,-,72386,72386,74203,-,76278,76402,77259,68567,69491,108246,71346,72312,73063,73830,74787,75756,Upgrade
15,Total Assets,2023313,2023313,592188,-,592539,592539,584924,-,609447,593362,572336,551941,573808,645550,618607,620318,612484,756205,759846,717930,Upgrade
16,Accounts Payable,5168,5168,6359,-,5091,5091,4804,-,2645,4714,2794,6808,6677,14158,7784,6839,13209,13389,17136,18921,Upgrade
17,Accrued Expenses,910900,910900,17109,-,29879,29879,19647,-,35509,29385,29634,29806,41827,107728,85339,83124,91997,109631,115234,85275,Upgrade
18,Short-Term Debt,15820,15820,29423,-,21006,21006,29587,-,25129,30276,30285,29015,31210,29792,30800,36510,17772,53238,72104,85293,Upgrade
19,Current Portion of Long-Term Debt,110485,110485,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,22994,-,Upgrade
20,Current Income Taxes Payable,-,-,-,-,-,-,-,-,36.7,9.56,3.05,597.4,-,1224,116.73,-,579.1,7708,-,557.49,Upgrade
21,Current Unearned Revenue,1181,1181,1083,-,1408,1408,964.95,-,-,-,-,-,-,13599,6317,-,1315,19781,6300,500,Upgrade
22,Other Current Liabilities,10488,10488,9578,-,9393,9393,13269,-,40440,21062,21132,21400,27548,76433,26633,31840,29786,38882,25160,28535,Upgrade
23,Total Current Liabilities,1054043,1054043,63552,-,66777,66777,68272,-,103759,85446,83849,87626,107262,242933,156990,158313,154658,242629,258926,219082,Upgrade
24,Long-Term Debt,542013,542013,103314,-,96668,96668,88878,-,74199,50821,31983,6000,9000,12055,15143,18231,21319,25701,28789,31878,Upgrade
25,Other Long-Term Liabilities,-,-,-,-,4254,4254,4844,-,8898,9658,9658,11893,11893,-,-,-,-,-,-,-,Upgrade
26,Total Liabilities,1596056,1596056,166865,-,167700,167700,161995,-,186857,145925,125490,105519,128154,254987,172133,176544,175978,268330,287715,250960,Upgrade
27,Common Stock,316000,316000,200000,-,200000,200000,200000,-,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,Upgrade
28,Retained Earnings,111257,111257,225322,-,224839,224839,222930,-,222590,247437,246846,246422,245654,190562,246475,243774,236507,287875,272131,266971,Upgrade
29,Shareholders' Equity,427257,427257,425322,409839,424839,424839,422930,422590,422590,447437,446846,446422,445654,390562,446475,443774,436507,487875,472131,466971,Upgrade
30,Total Liabilities & Equity,2023313,2023313,592188,-,592539,592539,584924,-,609447,593362,572336,551941,573808,645550,618607,620318,612484,756205,759846,717930,Upgrade
31,Total Debt,668318,668318,132737,117675,117675,117675,118465,99328,99328,81097,62268,35015,40210,41846,45943,54741,39092,78939,123887,117171,Upgrade
32,Net Cash (Debt),-639834,-639834,-108486,-65050,-61750,-61750,-67641,7699,7699,53281,77434,127988,142374,187629,191326,184051,175188,150727,148689,145101,Upgrade
33,Net Cash Growth,-,-,-,-,-,-,-,-93.98%,-94.59%,-71.60%,-59.53%,-30.46%,-18.73%,24.48%,28.68%,26.84%,55.28%,1060.86%,-,-,Upgrade
34,Net Cash Per Share,-70385.35,-70385.35,-3358.41,-2041.56,-7293.33,-7293.33,-2107.71,244.16,242.94,1712.58,2496.29,4107.90,4496.94,5941.13,3183.92,5826.32,5544.23,4769.82,4712.32,4595.53,Upgrade
35,Filing Date Shares Outstanding,31.6,31.6,31.6,31.86,31.6,31.6,31.6,31.53,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.57,Upgrade
36,Total Common Shares Outstanding,31.6,31.6,31.6,31.86,31.6,31.6,31.6,31.53,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.57,Upgrade
37,Working Capital,867486,867486,433015,-,417056,417056,404319,-,389462,392431,371694,356844,358089,253814,348120,343448,336912,390330,375120,370536,Upgrade
38,Book Value Per Share,13520.80,13520.80,13459.57,12969.58,13444.26,13444.26,13383.86,13373.12,13373.12,14159.40,14140.70,14127.28,14102.99,12359.57,14128.94,14043.49,13813.51,15439.09,14940.84,14789.58,Upgrade
39,Tangible Book Value,427257,427257,425322,409839,424839,424839,422930,422590,422590,447434,446839,446411,445640,390544,446453,443749,436476,487835,472082,466913,Upgrade
40,Tangible Book Value Per Share,13520.80,13520.80,13459.57,12969.58,13444.26,13444.26,13383.86,13373.12,13373.12,14159.29,14140.48,14126.94,14102.53,12358.99,14128.24,14042.67,13812.52,15437.83,14939.30,14787.76,Upgrade
41,Buildings,65777,65777,-,-,65777,65777,-,-,-,-,-,-,-,-,-,-,-,-,65777,-,Upgrade
42,Machinery,8031,8031,-,-,7945,7945,-,-,-,-,-,-,-,-,-,-,-,-,8867,-,Upgrade
43,Construction In Progress,4896,4896,4896,-,4896,4896,4896,-,4896,3090,2596,1066,187.42,187.42,187.42,187.42,197.31,197.31,197.31,197.31,Upgrade
