,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,25,18,22,44,33,180,117,194,461,65,65
1,Market Cap Growth,-60.00%,-60.00%,-31.82%,-75.34%,-72.26%,-7.41%,-74.53%,200.00%,611.11%,-6.90%,-20.00%
2,Enterprise Value,3,-4,-4,14,4,134,74,147,416,12,19
3,Last Close Price,0.03,0.02,0.03,0.06,0.04,0.25,0.16,0.27,0.64,0.09,0.09
4,PS Ratio,1.70,2.56,-,7.35,-,17.71,16.87,58.55,53.38,5.79,11.14
5,PB Ratio,0.89,0.63,5.35,1.16,5.98,-,18.27,23.50,49.17,4.97,4.28
6,P/TBV Ratio,0.90,0.90,7.17,1.65,8.81,-,28.44,49.74,63.67,5.84,4.94
7,P/FCF Ratio,-,-,-,-,-,-,126.19,253.46,-746.84,-,-131.71
8,P/OCF Ratio,-,-,-,-,-,-,124.72,252.47,-754.17,-,82.76
9,EV/Sales Ratio,0.25,-,-,2.31,-,13.16,10.63,44.42,48.15,1.07,3.23
10,EV/FCF Ratio,-0.27,-,-,-,-,-,79.50,192.28,-673.70,-,-38.22
11,Debt / Equity Ratio,0.00,0.00,0.00,0.00,0.01,-,0.02,-,-,-,-
12,Debt / FCF Ratio,-,-,-,-,-,-,0.11,-,-,-,-
13,Earnings Yield,-54.01%,-20.10%,-,-8.79%,-,-1.38%,-2.65%,-2.38%,-1.24%,-5.27%,-3.25%
14,FCF Yield,-51.11%,-20.97%,-,-2.21%,-,-1.14%,0.79%,0.39%,-0.13%,0.34%,-0.76%
15,Buyback Yield / Dilution,-14.63%,-20.00%,-,-2.75%,-,-,-,-,-7.72%,-20.00%,-11.40%
16,Total Shareholder Return,-14.63%,-20.00%,-,-2.75%,-,-,-,-,-7.72%,-20.00%,-11.40%
