,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Revenue,4032,4105,4098,4371,4266,4564,3779,3461,1565,1644
1,Revenue Growth (YoY),-1.62%,-6.10%,-3.93%,-4.23%,12.87%,31.88%,141.53%,110.56%,85.08%,-
2,Cost of Revenue,3220,3321,3235,3542,3152,3430,2524,2415,1033,1088
3,Gross Profit,811.51,783.76,862.67,829.34,1114,1135,1255,1046,531.8,555.75
4,"Selling, General & Admin",478.41,614.22,511.94,1012,577.44,408.98,464.35,392.05,222.73,189.01
5,Other Operating Expenses,-1.75,25.36,-18.39,-8.47,-69.85,-167.91,126.43,-14.87,-1.77,-9.6
6,Operating Expenses,577.56,745.9,514.82,1310,664.08,437.75,590.78,452.01,220.97,179.41
7,Operating Income,233.95,37.86,347.85,-480.26,449.54,696.99,664.56,593.95,310.83,376.34
8,Interest Expense,-19.17,-26.37,-19.56,-80.3,-135.99,-43.3,-10.46,-1.33,-13.26,-31.42
9,Interest & Investment Income,22.12,46.35,31.76,17.99,36.63,18.68,12.1,8.78,2.63,15.87
10,Earnings From Equity Investments,7.05,8.36,3.75,9.71,3.04,11.36,2.04,10.8,0.12,-1.09
11,Currency Exchange Gain (Loss),0.01,-0.05,0.08,0.58,0.25,-3.39,-3.03,-4.44,1.75,0.01
12,Other Non Operating Income (Expenses),14.38,32.82,8.18,-57.89,-223.72,-54.46,-,4.3,-,-
13,EBT Excluding Unusual Items,258.34,98.96,372.06,-590.18,129.75,625.87,665.21,612.06,302.06,359.7
14,Impairment of Goodwill,-,-15.39,-,-682.49,-22.59,-,-,-,-,-
15,Gain (Loss) on Sale of Investments,-,-,-,17.73,-,-16.39,2.41,0.98,1.08,3.1
16,Gain (Loss) on Sale of Assets,3.69,-0.69,0.96,27.53,6.69,4.87,68.99,-11.89,0.49,-0.07
17,Asset Writedown,-,-112.38,-,-20.54,-,-,-,-,-,-
18,Other Unusual Items,-,132.71,-88.37,67.16,108.23,144.75,-,-,-,-2.05
19,Pretax Income,262.03,103.2,284.65,-1181,222.07,759.1,736.61,601.16,303.63,360.68
20,Income Tax Expense,51.19,-9.61,80.7,-118.3,36.25,181.33,97.53,131.51,48.96,85.03
21,Earnings From Continuing Operations,210.84,112.8,203.95,-1062,185.82,577.77,639.08,469.65,254.67,275.65
22,Minority Interest in Earnings,-26.87,5.66,-49.17,-4.24,-46.21,-45.48,-60.92,-22.12,-9.25,-
23,Net Income,183.97,118.47,154.78,-1067,139.61,532.29,578.16,447.53,245.42,275.65
24,Net Income to Common,183.97,118.47,154.78,-1067,139.61,532.29,578.16,447.53,245.42,275.65
25,Net Income Growth,18.86%,-,10.86%,-,-75.85%,18.94%,135.58%,62.36%,125.40%,-
26,Shares Outstanding (Basic),2468,2506,2435,2460,2468,2413,2364,2124,2000,2100
27,Shares Outstanding (Diluted),2476,2512,2439,2460,2471,2416,2364,2124,2000,2100
28,Shares Change (YoY),1.51%,2.11%,-1.26%,1.81%,4.51%,13.77%,18.20%,1.13%,5.26%,-
29,EPS (Basic),0.07,0.05,0.06,-0.43,0.06,0.22,0.24,0.21,0.12,0.13
30,EPS (Diluted),0.07,0.05,0.06,-0.44,0.06,0.22,0.24,0.21,0.12,0.13
31,EPS Growth,17.19%,-,12.21%,-,-76.46%,4.50%,95.58%,60.54%,114.13%,-
32,Free Cash Flow,-111.29,544.47,296.58,790.84,-2538,897.93,190.54,461.03,408.51,452.64
33,Free Cash Flow Per Share,-0.04,0.22,0.12,0.32,-1.03,0.37,0.08,0.22,0.20,0.22
34,Operating Margin,5.80%,0.92%,8.49%,-10.99%,10.54%,15.27%,17.59%,17.16%,19.87%,22.90%
35,Profit Margin,4.56%,2.89%,3.78%,-24.40%,3.27%,11.66%,15.30%,12.93%,15.69%,16.77%
36,Free Cash Flow Margin,-2.76%,13.27%,7.24%,18.09%,-59.50%,19.67%,5.04%,13.32%,26.11%,27.54%
37,EBITDA,380.76,193.91,499.1,-369.55,613.53,764.08,737.3,649.36,326.54,386.67
38,D&A For EBITDA,146.81,156.05,151.25,110.71,163.99,67.09,72.73,55.41,15.71,10.34
39,EBIT,233.95,37.86,347.85,-480.26,449.54,696.99,664.56,593.95,310.83,376.34
