,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Revenue,26.87,22.85,50.37,31.71,51.9,37.12,44.08
1,Revenue Growth (YoY),-46.66%,-27.95%,-2.94%,-14.58%,17.73%,-,-
2,Cost of Revenue,8.22,11.54,13.12,6.71,7.07,6.42,5.75
3,Gross Profit,18.65,11.3,37.25,25,44.83,30.7,38.33
4,"Selling, General & Admin",52.96,69.84,75.72,96.46,79.61,79.36,105.97
5,Research & Development,18.47,18.71,22.62,16.22,27.95,19.08,7.89
6,Other Operating Expenses,0.32,-5.67,0.38,-5.46,0.23,-0.12,-0.31
7,Operating Expenses,71.75,82.88,98.72,107.22,107.79,98.32,113.56
8,Operating Income,-53.1,-71.58,-61.47,-82.23,-62.96,-67.62,-75.22
9,Interest Expense,-0.45,-0.6,-0.71,-0.38,-0.38,-3.4,-0.45
10,Interest & Investment Income,2.68,4.87,7.54,2.19,1.3,1.07,0.75
11,Currency Exchange Gain (Loss),0.25,-1.88,2.96,-1.59,3.61,0.13,-0.06
12,Other Non Operating Income (Expenses),-,-0.1,-,-44.66,-1166,-314.11,-179.77
13,EBT Excluding Unusual Items,-50.62,-69.29,-51.67,-126.67,-1225,-383.92,-254.76
14,Gain (Loss) on Sale of Investments,0.95,0.73,1.68,0,-,-,0.04
15,Gain (Loss) on Sale of Assets,-0.02,-0.01,-0,-0.01,-0,-0,-0.04
16,Other Unusual Items,7.25,-,1.49,-3.39,3.39,-,-
17,Pretax Income,-42.44,-68.57,-48.51,-130.06,-1221,-383.93,-254.76
18,Income Tax Expense,0.29,0.48,-0.5,5.68,-11.13,-4.02,-1.03
19,Earnings From Continuing Operations,-42.73,-69.05,-48.02,-135.74,-1210,-379.91,-253.74
20,Minority Interest in Earnings,1.08,0.7,0.54,-,-,-,0
21,Net Income,-41.65,-68.35,-47.48,-135.74,-1210,-379.91,-253.74
22,Net Income to Common,-41.65,-68.35,-47.48,-135.74,-1210,-379.91,-253.74
23,Shares Outstanding (Basic),1168,1168,1168,1152,645,645,642
24,Shares Outstanding (Diluted),1168,1168,1168,1152,645,645,642
25,Shares Change (YoY),-,1.37%,81.19%,78.73%,0.38%,-,-
26,EPS (Basic),-0.04,-0.06,-0.04,-0.12,-1.88,-0.59,-0.40
27,EPS (Diluted),-0.04,-0.06,-0.04,-0.12,-1.88,-0.59,-0.40
28,Free Cash Flow,-47.9,-98.61,-110.36,-71.77,-56.56,-57.91,-45.76
29,Free Cash Flow Per Share,-0.04,-0.08,-0.09,-0.06,-0.09,-0.09,-0.07
30,Operating Margin,-197.62%,-313.32%,-122.02%,-259.35%,-121.32%,-182.18%,-170.64%
31,Profit Margin,-155.00%,-299.19%,-94.25%,-428.14%,-2331.88%,-1023.60%,-575.57%
32,Free Cash Flow Margin,-178.29%,-431.67%,-219.07%,-226.36%,-108.98%,-156.03%,-103.80%
33,EBITDA,-46.54,-61.17,-52.1,-79.96,-54.43,-64.99,-71.75
34,D&A For EBITDA,6.56,10.41,9.37,2.27,8.53,2.63,3.47
35,EBIT,-53.1,-71.58,-61.47,-82.23,-62.96,-67.62,-75.22
