,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,391.5,469.79,844.58,754.77,738.1,686.56,615.14,591.61,639.64,582.28,630.34,630.67,581.7,-,-,329.24,329.24,279.51,279.51
1,Short-Term Investments,-,-,-,111.44,-,109.45,-,-,-,-,-,-,-,-,-,-,-,-,-
2,Trading Asset Securities,180,100,-,-,-,-,0.08,0.15,-,-,-,20.2,-,-,-,-,-,-,-
3,Cash & Short-Term Investments,571.5,569.79,844.58,866.21,738.1,796.01,615.22,591.75,639.64,582.28,630.34,650.87,581.7,-,329.24,329.24,329.24,279.51,279.51
4,Cash Growth,-22.57%,-28.42%,37.28%,46.38%,15.39%,36.70%,-2.40%,-9.08%,9.96%,-,91.45%,97.69%,76.68%,-,17.79%,-,-,-,-
5,Accounts Receivable,194.24,219.81,216.66,223.41,239.79,242.55,250.41,256.11,246.32,224.08,200.89,202.93,184.96,-,-,149.75,149.75,157.91,157.91
6,Other Receivables,19.52,1.54,21.28,0.04,19.9,2.74,15.97,1.36,20.56,1.95,9.69,3.5,9.27,-,-,3.54,3.54,10.65,10.65
7,Receivables,213.76,221.35,237.94,223.45,259.69,245.28,266.38,257.47,266.88,226.03,210.58,206.43,194.23,-,-,153.29,153.29,168.56,168.56
8,Inventory,79.52,86.99,102.46,134.12,128.73,124.29,109.39,103.22,121.35,116,87.77,94.04,74.34,-,-,95.21,95.21,116.54,116.54
