,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,162.46,194.02,184.39,189.14,180.82,217.1,128.52,217.99,165.93,183.2,102.43,174.45,174.08,139.68,82.21,214.41,173.97,90.49,90.49
1,Other Revenue,-2.73,2.73,-,7.97,-4.53,4.53,-,8.42,-4.86,4.86,-,5.45,-2.57,2.57,-,9.86,4.93,1.24,1.24
2,Revenue,159.73,196.75,184.39,197.11,176.29,221.64,128.52,226.42,161.07,188.05,102.43,179.9,171.5,142.25,82.21,224.27,178.9,91.73,91.73
3,Revenue Growth (YoY),-9.39%,-11.23%,43.47%,-12.94%,9.45%,17.86%,25.48%,25.86%,-6.08%,32.20%,24.59%,-19.79%,-4.14%,55.08%,-10.37%,-,-,-,-
4,Cost of Revenue,102.82,130.74,124.77,132.19,109.9,150.18,92.59,160.55,113.83,136.96,74.6,130.7,120.92,99.89,55.25,151.97,118.18,57.95,57.95
5,Gross Profit,56.91,66.01,59.62,64.91,66.39,71.46,35.94,65.86,47.24,51.09,27.83,49.19,50.58,42.36,26.96,72.31,60.72,33.78,33.78
6,"Selling, General & Admin",27.59,27.95,31.73,27.28,39.2,32.17,24.92,42.32,30.54,32.36,19.47,21.09,22.59,19.16,18.88,34.17,30.23,19.15,19.15
7,Research & Development,6.77,8.39,5.7,6.88,5.94,6.84,5.32,8.04,5.28,5.13,4.32,7,4.78,4.33,3.71,6.28,5.09,3.58,3.58
8,Other Operating Expenses,-0.3,1.05,0.4,-0.3,0.99,0.42,0.42,8.69,-0.3,-2.37,-0.81,12.77,-4.07,-0.23,-3.59,-5.15,-2.31,0.99,0.99
9,Operating Expenses,34.52,40.95,34.78,45.61,48.01,38.21,30.16,65.38,37.74,38.75,21.97,43.39,23.82,25.07,16.73,38.9,34.46,24.25,24.25
10,Operating Income,22.38,25.06,24.84,19.3,18.38,33.25,5.77,0.48,9.5,12.34,5.85,5.81,26.76,17.29,10.23,33.41,26.27,9.53,9.53
