,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 12, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,2377,2100,2046,2246,2727,2868,2444,2182,2030,2028,2310,2753,3076,2967,-,-,-,-,-,-
1,Market Cap Growth,-26.79%,-26.79%,-16.27%,2.93%,34.30%,41.45%,5.77%,-20.74%,-34.00%,-31.65%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,1806,1530,1202,1509,1990,2084,1839,1554,1402,1447,1681,2174,2497,2644,-,-,-,-,-,-
3,Last Close Price,8.91,7.87,7.67,8.19,9.95,10.46,8.91,7.92,7.36,7.35,8.38,9.76,10.90,10.51,-,-,-,-,-,-
4,PE Ratio,22.28,19.76,19.41,20.71,30.14,37.77,35.90,41.81,40.39,35.28,32.13,39.64,41.87,36.15,-,-,-,-,-,-
5,PS Ratio,3.21,2.85,2.71,2.88,3.77,3.81,3.31,3.10,2.99,3.21,3.60,4.62,5.34,4.78,-,-,-,-,-,-
6,PB Ratio,2.79,2.47,2.46,2.63,3.31,3.60,3.14,2.88,2.72,2.76,3.20,3.64,4.11,4.07,-,-,-,-,-,-
7,P/TBV Ratio,2.57,2.57,2.58,2.75,3.46,3.77,3.30,3.04,2.87,2.91,3.38,3.83,4.34,4.30,-,-,-,-,-,-
8,P/FCF Ratio,27.53,24.32,21.91,-,14.20,12.22,11.21,16.89,25.33,41.30,-,-,58.86,43.06,-,-,-,-,-,-
9,P/OCF Ratio,23.59,23.59,21.02,-,14.01,12.56,11.63,15.77,22.46,26.18,40.17,-,50.14,41.44,-,-,-,-,-,-
10,EV/Sales Ratio,2.45,2.07,1.59,1.94,2.75,2.77,2.49,2.21,2.07,2.29,2.62,3.65,4.34,4.26,-,-,-,-,-,-
11,EV/EBITDA Ratio,17.20,14.40,11.72,13.58,21.52,28.16,28.21,34.60,31.10,28.66,24.71,29.73,32.09,25.02,-,-,-,-,-,-
12,EV/EBIT Ratio,20.04,16.71,13.73,15.76,25.94,36.00,37.53,55.33,49.77,43.20,33.12,39.02,41.55,30.15,-,-,-,-,-,-
13,EV/FCF Ratio,20.92,17.72,12.87,-,10.36,8.88,8.43,12.03,17.49,29.48,-,-,47.77,38.38,-,-,-,-,-,-
14,Debt / Equity Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.02,0.02,0.00,0.00,0.00,0.00,-,-,-,-,-,-
15,Debt / EBITDA Ratio,0.00,0.00,0.00,0.00,0.01,0.01,0.08,0.26,0.50,0.21,0.03,0.03,0.03,0.02,-,-,-,-,-,-
16,Debt / FCF Ratio,0.01,0.01,0.00,-,0.00,0.01,0.05,0.08,0.15,0.24,-,-,0.03,0.03,-,-,-,-,-,-
17,Asset Turnover,0.47,0.57,0.52,0.54,0.49,0.65,0.39,0.71,0.53,0.64,0.35,0.61,-,-,-,-,0.81,0.42,-,
18,Inventory Turnover,4.71,4.94,5.52,4.22,4.02,3.47,5.14,3.48,5.72,3.84,5.38,3.28,6.21,-,-,-,-,4.46,1.99,-
19,Quick Ratio,1.53,1.53,1.54,2.03,1.77,1.54,1.69,1.58,1.57,1.77,1.86,2.13,1.97,1.86,-,-,1.14,1.14,0.97,0.97
20,Current Ratio,1.70,1.70,1.75,2.24,2.02,1.92,1.93,1.98,1.79,2.03,2.17,2.37,2.21,2.11,-,-,1.42,1.42,1.24,1.24
21,Return on Equity (ROE),9.66%,14.61%,13.59%,13.14%,9.91%,17.63%,5.61%,6.54%,6.39%,9.69%,4.57%,10.45%,-,-,11.05%,-,22.31%,10.95%,-,
22,Return on Assets (ROA),4.07%,4.52%,4.34%,3.30%,3.20%,6.06%,1.09%,0.09%,1.95%,2.64%,1.24%,1.23%,-,-,-,-,7.41%,2.70%,-,
23,Return on Capital (ROIC),6.65%,7.43%,7.40%,5.95%,5.79%,10.69%,1.89%,0.16%,3.23%,4.16%,1.94%,1.96%,-,-,5.60%,-,15.19%,5.84%,-,
24,Return on Capital Employed (ROCE),10.37%,10.54%,10.32%,10.98%,9.11%,7.09%,6.16%,3.63%,3.70%,4.47%,6.88%,7.22%,7.89%,11.78%,-,-,16.75%,9.64%,4.56%,2.28%
25,Earnings Yield,4.47%,5.06%,5.15%,4.83%,3.32%,2.65%,2.79%,2.39%,2.48%,2.83%,3.11%,2.52%,2.39%,2.77%,-,-,-,-,-,-
26,FCF Yield,3.63%,4.11%,4.56%,6.34%,7.04%,8.18%,8.92%,5.92%,3.95%,2.42%,1.28%,2.10%,1.70%,2.32%,-,-,-,-,-,-
27,Dividend Yield,2.23%,-,-,-,2.01%,-,-,-,0.68%,-,-,-,1.83%,-,-,-,-,-,-,-
28,Payout Ratio,50.35%,12.02%,165.84%,-,0.03%,3.30%,38.20%,-,1.14%,20.83%,284.10%,-,-,-,-,-,-,62.19%,-,-
29,Buyback Yield / Dilution,-2.32%,6.96%,-6.68%,-0.10%,-10.84%,3.80%,3.52%,-0.08%,9.48%,-28.53%,-38.21%,-26.62%,-39.48%,-13.41%,5.88%,-3.58%,-,-,-,-
30,Total Shareholder Return,-0.09%,6.96%,-6.68%,-0.10%,-8.83%,3.80%,3.52%,-0.08%,10.15%,-28.53%,-38.21%,-26.62%,-37.64%,-13.41%,5.88%,-3.58%,-,-,-,-
