,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Revenue,224.13,125.74,154.48,101.12,159.64,91.55,115.83,85.25,108.82,65.79,80.1,60.73,92.79,55.7,54.75,50.34,78.14,46.2,71.32,2.47
1,Revenue Growth (YoY),40.40%,37.35%,33.37%,18.63%,46.70%,39.15%,44.60%,40.36%,17.27%,18.11%,46.29%,20.65%,18.76%,20.56%,-23.23%,1938.11%,-,-,-,-
2,Cost of Revenue,-218.61,73.68,87.8,57.14,84.88,49.98,63.64,46.14,60.7,39.93,45.24,35.01,52.69,31.83,32.02,28.36,45.32,26.37,41.16,1.26
3,Gross Profit,442.74,52.07,66.68,43.99,74.75,41.57,52.19,39.1,48.11,25.86,34.86,25.73,40.1,23.87,22.73,21.98,32.82,19.84,30.16,1.21
4,"Selling, General & Admin",-58.03,19.01,20.13,18.89,23.14,17.7,20.37,14.95,15.95,11.56,12.53,11.89,12.15,10.47,11.7,10.77,10.13,8.24,8.76,7.29
5,Research & Development,-22.9,6.44,8.19,8.27,8.41,7.23,6.34,4.8,6.29,5.47,5.31,5.34,1.58,2.66,4.17,-5.33,-0.85,5.31,4.67,4.32
6,Other Operating Expenses,456.11,-0.62,1.17,-0.3,0.87,0.17,-0,-0.35,0.16,-0.25,0.43,-0.26,21.76,-19.83,-1.4,0.13,2.31,-1.72,0.04,0.05
7,Operating Expenses,372.1,25.79,30.35,28.12,36.15,23.93,26.91,21.89,24.2,16.18,17.45,17.78,37.68,-6.64,14.1,7.64,10.44,11.78,14.6,12.15
8,Operating Income,70.64,26.27,36.33,15.87,38.61,17.64,25.27,17.21,23.91,9.69,17.41,7.94,2.42,30.51,8.63,14.35,22.37,8.06,15.56,-10.95
9,Interest Expense,-3.64,-0.08,-0.08,-0.08,-0.22,-0.11,-0.18,-0.14,-0.16,-0.25,-0.56,-0.24,-0.24,-0.21,-0.41,-0.39,-0.13,-0.08,-0.1,-0.27
10,Interest & Investment Income,0.25,1.84,1,0.8,0.9,0.89,11.21,1.25,1.85,1.29,0.24,0.89,0.41,0.8,0.36,0.22,0.21,0.28,0.52,0.69
11,Currency Exchange Gain (Loss),-,-,-,-,0.03,-0.03,0.03,-,-0.04,-,-,-,0.15,-,-,-,0.01,-0.01,-0,0.02
12,Other Non Operating Income (Expenses),-0.24,0.3,-0.2,-0.03,-0.18,-0.04,-0.09,0.01,-0.35,0.09,-0.71,-0,-0.6,0.45,0.03,-0.02,-0.03,-0,-0.02,-0.05
13,EBT Excluding Unusual Items,67.01,28.33,37.05,16.55,39.14,18.36,36.23,18.33,25.21,10.82,16.38,8.59,2.14,31.56,8.61,14.15,22.44,8.24,15.96,-10.56
14,Gain (Loss) on Sale of Investments,-0.42,-0.08,0.5,-,-,-,-12.54,12.54,3.01,-4.46,6.63,0.03,0.15,-,-,-,-,-,-,-
15,Gain (Loss) on Sale of Assets,0.07,-,0.01,-0.08,-,-,-,-,-,0.11,-,-,-,-,-,-,-,-,-,-
16,Asset Writedown,0.52,-0.52,0.06,-0.06,0.37,-0.37,-0.02,0.02,-0.05,0.05,-0.22,-0.32,1.76,-1.76,-0.11,0.11,-0.01,0.01,-,-
17,Other Unusual Items,-,-0.53,0.53,0,2.62,0.46,-0.46,-,-0.25,-0.29,-,-,26.41,-1.05,1.05,-,2.96,0.44,-0.29,-0.15
18,Pretax Income,67.18,27.19,38.14,16.42,42.13,18.45,23.22,30.89,27.92,6.24,22.79,8.31,30.46,28.74,9.55,14.27,25.38,8.69,15.67,-10.71
19,Income Tax Expense,8.82,3.44,4.84,1.39,5.03,1.36,2.58,3.99,0.91,0.36,2.94,0.82,4.18,3.87,0.69,1.46,3.44,0.84,1.93,-2.24
20,Earnings From Continuing Operations,58.36,23.75,33.3,15.03,37.09,17.09,20.63,26.9,27.01,5.88,19.85,7.49,26.28,24.88,8.86,12.81,21.95,7.86,13.74,-8.47
21,Minority Interest in Earnings,-0.17,0.06,0.08,0.03,0.1,0.11,0.08,-0.01,-0.01,0.03,0.06,0.04,-0.04,0.02,0.04,0.03,0.03,0.04,0.07,0.02
22,Net Income,58.19,23.82,33.38,15.06,37.19,17.2,20.71,26.88,27,5.91,19.91,7.53,26.24,24.9,8.9,12.83,21.98,7.9,13.81,-8.45
23,Net Income to Common,58.19,23.82,33.38,15.06,37.19,17.2,20.71,26.88,27,5.91,19.91,7.53,26.24,24.9,8.9,12.83,21.98,7.9,13.81,-8.45
24,Net Income Growth,56.44%,38.49%,61.18%,-43.97%,37.76%,191.15%,4.02%,257.09%,2.90%,-76.27%,123.67%,-41.33%,19.39%,215.18%,-35.55%,-,-,-,-,-
25,Shares Outstanding (Basic),102,102,99,93,93,93,93,93,93,92,87,94,83,91,68,68,68,68,68,68
26,Shares Outstanding (Diluted),102,102,99,93,93,93,93,93,93,92,87,94,83,91,68,68,68,68,68,68
27,Shares Change (YoY),9.31%,9.16%,6.14%,-0.03%,0.05%,0.86%,6.65%,-0.98%,12.00%,1.83%,28.37%,38.32%,22.30%,33.06%,0.13%,-0.00%,-,-,-,-
28,EPS (Basic),0.57,0.23,0.34,0.16,0.40,0.18,0.22,0.29,0.29,0.06,0.23,0.08,0.32,0.27,0.13,0.19,0.32,0.12,0.20,-0.12
29,EPS (Diluted),0.57,0.23,0.34,0.16,0.40,0.18,0.22,0.29,0.29,0.06,0.23,0.08,0.32,0.27,0.13,0.19,0.32,0.12,0.20,-0.12
30,EPS Growth,43.11%,26.87%,51.86%,-43.95%,37.69%,188.67%,-2.47%,260.63%,-8.12%,-76.70%,74.24%,-57.58%,-2.38%,136.87%,-35.63%,-,-,-,-,-
31,Free Cash Flow,-,-9.08,-228.34,-30.68,12.82,-59.69,41.54,-46.89,-6.55,-41.56,-27.24,8.06,-21.59,-35.28,-50.16,-26.14,71.41,-20.87,-3.05,-8.31
32,Free Cash Flow Per Share,-,-0.09,-2.31,-0.33,0.14,-0.64,0.45,-0.50,-0.07,-0.45,-0.31,0.09,-0.26,-0.39,-0.74,-0.38,1.05,-0.31,-0.04,-0.12
33,Dividend Per Share,-,-,-,-,0.250,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
34,Gross Margin,197.54%,41.41%,43.16%,43.50%,46.83%,45.41%,45.05%,45.87%,44.22%,39.31%,43.52%,42.36%,43.22%,42.86%,41.52%,43.67%,42.00%,42.94%,42.29%,48.89%
35,Operating Margin,31.52%,20.89%,23.52%,15.69%,24.18%,19.27%,21.82%,20.19%,21.97%,14.72%,21.73%,13.07%,2.61%,54.77%,15.76%,28.50%,28.63%,17.44%,21.82%,-443.22%
36,Profit Margin,25.96%,18.94%,21.61%,14.90%,23.30%,18.79%,17.88%,31.54%,24.81%,8.98%,24.85%,12.40%,28.28%,44.69%,16.26%,25.49%,28.13%,17.10%,19.36%,-342.22%
37,Free Cash Flow Margin,-,-7.22%,-147.81%,-30.34%,8.03%,-65.19%,35.87%,-55.00%,-6.01%,-63.16%,-34.00%,13.28%,-23.27%,-63.34%,-91.62%,-51.93%,91.39%,-45.18%,-4.27%,-336.33%
38,EBITDA,77.99,33.62,46.49,23.22,45.95,23.24,31.99,22.81,29.51,14.44,22.27,12.69,7.17,35.39,13.51,18.81,25.7,12.07,19.58,-6.96
39,EBITDA Margin,34.80%,26.74%,30.10%,22.96%,28.79%,25.39%,27.62%,26.76%,27.12%,21.95%,27.80%,20.90%,7.73%,63.54%,24.68%,37.36%,32.89%,26.13%,27.45%,-281.71%
40,D&A For EBITDA,7.35,7.35,10.17,7.35,7.35,5.6,6.72,5.6,5.6,4.75,4.86,4.75,4.75,4.88,4.88,4.46,3.33,4.02,4.02,3.99
41,EBIT,70.64,26.27,36.33,15.87,38.61,17.64,25.27,17.21,23.91,9.69,17.41,7.94,2.42,30.51,8.63,14.35,22.37,8.06,15.56,-10.95
42,EBIT Margin,31.52%,20.89%,23.52%,15.69%,24.18%,19.27%,21.82%,20.19%,21.97%,14.72%,21.73%,13.07%,2.61%,54.77%,15.76%,28.50%,28.63%,17.44%,21.82%,-
43,Effective Tax Rate,13.13%,12.65%,12.70%,8.45%,11.95%,7.37%,11.13%,12.93%,3.26%,5.72%,12.89%,9.85%,13.71%,13.45%,7.23%,10.24%,13.54%,9.62%,12.32%,-
44,Revenue as Reported,-,125.74,154.48,101.12,159.64,91.55,115.83,85.25,108.82,65.79,-,60.73,92.79,55.7,54.75,50.34,78.14,46.2,71.32,2.47
