,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,7624,6969,7566,6556,7215,7123,7234,9342,7571,8246,6716,6928,6456,9707,9249,-,-,-,-,-,-
1,Market Cap Growth,-2.16%,-2.16%,4.58%,-29.82%,-4.70%,-13.62%,7.71%,34.84%,17.27%,-15.05%,-27.38%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,7074,6420,7009,6361,7007,6916,6972,9120,7324,7999,6583,6772,6337,9588,9223,-,-,-,-,-,-
3,Last Close Price,74.57,68.17,74.39,64.46,77.15,76.17,77.36,99.90,80.96,88.18,71.82,76.09,70.90,106.61,101.58,-,-,-,-,-,-
4,PE Ratio,56.54,53.43,69.12,63.75,80.02,69.85,78.81,116.05,94.99,136.66,112.72,88.18,95.55,133.22,134.81,-,-,-,-,-,-
5,Forward PE,38.12,37.68,42.15,38.51,45.02,48.42,52.97,69.50,82.91,59.50,51.38,61.59,65.28,111.02,106.75,-,-,-,-,-,-
6,PS Ratio,12.18,11.51,13.99,12.94,15.41,15.75,18.02,24.87,22.27,26.14,22.43,23.95,24.45,38.28,38.71,-,-,-,-,-,-
7,PB Ratio,4.29,3.94,4.28,3.76,6.28,6.28,6.60,-,7.15,7.99,6.69,8.25,7.87,11.94,11.76,-,-,-,-,-,-
8,P/TBV Ratio,4.35,4.35,4.72,4.16,7.27,7.32,7.17,-,7.77,8.69,7.25,8.87,8.48,12.90,12.83,-,-,-,-,-,-
9,P/FCF Ratio,-,-,-,-,-,-136.43,-,-174.79,-,-,-,-,-65.22,-,-,-,-,-,-,-,-
10,P/OCF Ratio,-,-,493.17,-,-,159.84,-,404.56,-,-,-,-,-184.99,-148.57,-,-,-,-,-,-,-
11,PEG Ratio,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.12,1.34,0.96,1.28,1.87,-,-,-,-,-,-,-,-,-
