,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,-,457.13,413.94,215.03,245.74,158.29,-,223.79,268.94,151.02,140.03,184.38,125.99,149.91,60.85,110.45,140.8,-,28.31,-
1,Short-Term Investments,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,54.53,-
2,Trading Asset Securities,-,100.42,150.5,-,-,80.08,-,30.06,32.53,154.52,48.97,20.03,60.15,-,-,-,-,-,-,-
3,Cash & Short-Term Investments,557.55,557.55,564.44,215.03,245.74,238.36,-,253.84,301.48,305.54,189.01,204.42,186.14,149.91,60.85,110.45,140.8,-,82.85,123.03
4,Cash Growth,126.89%,133.91%,-,-15.29%,-18.49%,-21.99%,-,24.18%,61.96%,103.81%,210.62%,85.07%,32.21%,-,-26.55%,-10.22%,-,-,-,-
5,Accounts Receivable,-,171.1,172.92,160.62,181.03,186.28,-,219.73,196.36,184.5,185.52,156.14,138.54,124.23,104.81,89.28,98.98,-,109.91,-
6,Other Receivables,-,6.75,6.1,11.04,5.02,6.54,-,6.71,4.51,3.33,3.05,3.71,1.99,3.46,2.98,2.1,1.74,-,1.97,-
7,Receivables,-,177.85,179.03,171.66,186.05,192.82,-,226.43,200.87,187.83,188.57,159.85,140.52,127.69,107.79,91.39,100.72,-,111.88,-
8,Inventory,-,566.14,537.64,509.74,471.49,454.17,-,406.76,393.99,410.03,370.89,358.37,300.53,264.57,231.58,195.11,183.62,-,209.9,-
9,Prepaid Expenses,-,-,0.04,-,0.61,-,-,-,0.45,-,-,-,-,-,-,-,-,-,-,-
10,Other Current Assets,-,82.03,68.96,108.27,95.75,122.25,-,76.21,80.6,79.37,66.69,91.17,84.08,142.02,65.82,62.51,41.5,-,52.41,-
11,Total Current Assets,-,1384,1350,1005,999.64,1008,-,963.24,977.38,982.77,815.15,813.8,711.27,684.18,466.05,459.47,466.64,-,457.04,-
12,"Property, Plant & Equipment",-,429.97,421.5,211.73,211.93,188.08,-,174.02,163.69,159.58,161.37,161.86,160.7,156.45,153.84,155.65,132.27,-,129.19,-
13,Long-Term Investments,-,-,-,-,3.03,3.06,-,3.22,3.1,2.61,2.95,3,-,-,-,-,-,-,-,-
14,Other Intangible Assets,-,165.67,170.03,156.88,160.72,86.97,-,83.89,82.76,77.94,58.64,59.11,59.82,65.32,71.51,73.16,76.1,-,60.13,-
15,Long-Term Deferred Tax Assets,-,10,9.57,9.26,8.8,7.99,-,7.43,6.26,4.5,4.72,4.46,4.27,4.29,4.01,3.65,3.91,-,8.18,-
16,Long-Term Deferred Charges,-,206.94,174.75,145.2,115.61,182.3,-,116.58,103.43,88.12,83.72,68.41,54.74,40.67,24.36,10.57,2.91,-,26.55,-
17,Other Long-Term Assets,-,39.56,35.43,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
18,Total Assets,-,2236,2161,1528,1500,1476,-,1348,1337,1316,1127,1111,990.81,950.92,719.78,702.5,681.84,-,681.09,-
19,Accounts Payable,-,262.99,225.4,196.86,181.83,155.82,-,111.37,107.65,113.39,83.58,94.58,39.98,44.1,38.81,21.62,15.75,-,28.57,-
20,Accrued Expenses,-,7.37,10.79,6.92,9.01,7.28,-,5.9,6.33,5.63,5.77,5.29,6.66,3.65,4.13,3.95,4.3,-,3.32,-
21,Short-Term Debt,-,-,-,12.5,14.17,22.64,-,23.52,39.63,46.47,43.22,35.27,19.15,13.95,17.8,17.27,21.25,-,8.7,-
22,Current Portion of Leases,-,1.25,1.25,1.18,1.46,2.6,-,2.64,4.74,5.1,5.24,0.89,5.77,-,-,-,-,-,-,-
23,Current Income Taxes Payable,-,5.25,6.25,4.26,7.95,6.56,-,6.89,6.75,5.2,6.06,3.55,4.18,0.16,-,-,-,-,-,-
24,Current Unearned Revenue,-,59.81,35.62,63.55,54,65,-,24.51,26.9,33.61,35.72,28.32,30,37.08,25.44,34.5,52.46,-,44.08,-
25,Other Current Liabilities,-,30.97,42.46,10.69,15.53,11.13,-,12.67,8.76,5.51,4.9,28.06,6.12,6.42,4.29,2.91,3.18,-,4.67,-
26,Total Current Liabilities,-,367.64,321.78,295.96,283.95,271.05,-,187.5,200.75,214.92,184.5,195.97,111.86,105.36,90.47,80.25,96.93,-,89.35,-
27,Long-Term Leases,-,6.82,6.74,7.11,6.88,5.7,-,5.75,5.89,7.04,7.42,11.9,11.22,17.03,17.21,17.32,-,-,-,-
28,Long-Term Unearned Revenue,-,87.1,85.4,72.23,71.74,99.73,-,93.44,95.68,87.42,92.88,81.15,52.98,40.11,39.91,42.16,34.83,-,71.69,-
29,Long-Term Deferred Tax Liabilities,-,-,-,0.06,-,0.75,-,1.01,-,-,-,-,-,-,-,-,-,-,-,-
30,Other Long-Term Liabilities,-,6,3.09,3.91,3.69,2.65,-,2.29,2.53,1.78,1.71,1.43,2.04,2,2.16,1.59,1.71,-,1.5,-
31,Total Liabilities,-,467.57,417.01,379.26,366.26,379.88,-,289.99,304.85,311.15,286.5,290.45,178.1,164.49,149.75,141.33,133.48,-,162.53,-
32,Common Stock,-,101.7,101.7,93.18,93.18,93.18,-,93.18,93.18,93.18,90.72,90.72,90.72,90.72,68.04,68.04,68.04,-,68.04,-
33,Additional Paid-In Capital,-,1341,1341,761.33,761.33,761.33,-,761.33,761.33,761.33,605.34,605.34,605.34,605.34,436.5,436.5,436.5,-,436.5,-
34,Retained Earnings,-,325.99,302.17,294.22,279.15,241.7,-,203.8,177.17,149.8,143.89,123.99,116.46,90.22,65.32,56.42,43.59,-,13.71,-
35,Total Common Equity,1768,1768,1745,1149,1134,1096,-,1058,1032,1004,839.96,820.05,812.52,786.28,569.86,560.96,548.13,-,518.25,512.89
36,Minority Interest,-,-0.36,-0.29,-0.22,-0.18,-0.09,-,0.09,0.09,0.06,0.09,0.15,0.19,0.14,0.17,0.21,0.23,-,0.31,-
37,Shareholders' Equity,1768,1768,1744,1149,1133,1096,-,1058,1032,1004,840.05,820.2,812.71,786.43,570.03,561.17,548.36,-,518.56,513.29
38,Total Liabilities & Equity,-,2236,2161,1528,1500,1476,-,1348,1337,1316,1127,1111,990.81,950.92,719.78,702.5,681.84,-,681.09,-
39,Total Debt,8.07,8.07,7.99,20.78,22.51,30.94,-,31.92,50.25,58.61,55.89,48.06,36.14,30.98,35.01,34.59,21.25,-,8.7,25.9
40,Net Cash (Debt),549.48,549.48,556.45,194.26,223.23,207.42,-,221.93,251.22,246.92,133.12,156.35,150,118.93,25.84,75.86,119.55,-,74.15,97.14
41,Net Cash Growth,146.15%,164.91%,-,-12.47%,-11.14%,-16.00%,-,41.94%,67.48%,107.62%,415.09%,106.10%,25.47%,-,-65.15%,-21.90%,-,-,-,-
42,Net Cash Per Share,5.39,5.40,5.63,2.09,2.39,2.23,-,2.38,2.70,2.67,1.52,1.66,1.80,1.31,0.38,1.11,1.76,-,1.09,1.43
43,Filing Date Shares Outstanding,102.24,101.7,101.7,93.18,93.18,93.18,93.16,93.18,93.18,93.18,90.72,90.72,90.72,90.72,90.72,68.04,68.04,68.17,67.96,68.04
44,Total Common Shares Outstanding,102.24,101.7,101.7,93.18,93.18,93.18,93.16,93.18,93.18,93.18,90.72,90.72,90.72,90.72,68.04,68.04,68.04,68.17,67.96,68.04
45,Working Capital,-,1016,1028,708.75,715.68,736.54,-,775.74,776.62,767.85,630.65,617.83,599.41,578.82,375.57,379.22,369.71,-,367.69,-
