,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 11, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,3926,4085,3278,2583,2782,3266,3177,3248,3987,3259,3242,4896,-,-,-,-,-
1,Market Cap Growth,25.09%,25.09%,3.16%,-20.49%,-30.23%,0.20%,-1.98%,-33.65%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,3349,3508,2684,1942,2177,2661,2302,1796,2549,1821,1781,4721,-,-,-,-,-
3,Last Close Price,47.67,49.60,39.80,31.16,33.16,38.93,37.88,38.79,48.50,40.47,40.25,60.80,-,-,-,-,-
4,PE Ratio,48.70,50.99,32.54,30.20,40.44,54.64,70.04,113.29,-,62.84,-,65.38,-,-,-,-,-
5,Forward PE,-,51.78,51.78,51.78,51.78,87.09,123.00,58.56,58.56,58.56,27.19,43.25,-,-,-,-,-
6,PS Ratio,9.93,10.39,8.64,7.79,9.78,13.10,15.41,18.51,22.75,16.31,13.65,17.23,-,-,-,-,-
7,PB Ratio,2.27,2.42,1.94,1.56,1.69,1.94,1.92,1.96,2.42,1.98,2.00,3.03,-,-,-,-,-
8,P/TBV Ratio,2.42,2.42,1.94,1.56,1.69,1.94,1.92,1.96,2.42,1.98,2.00,3.03,-,-,-,-,-
9,P/FCF Ratio,-,-,43.87,38.60,35.73,80.40,210.79,1477.06,-,-143.44,-,-,-,-,-,-,-
10,P/OCF Ratio,-,-,33.12,27.64,29.34,49.39,102.19,224.17,-,-260.34,314.26,122.01,-,-,-,-,-
11,EV/Sales Ratio,8.52,8.93,7.07,5.86,7.65,10.67,11.17,10.23,14.54,9.11,7.50,16.61,-,-,-,-,-
12,EV/EBITDA Ratio,39.02,40.60,40.54,40.24,74.71,136.38,-295.12,-,-,-,-,-,-,-,-,-,-
13,EV/EBIT Ratio,41.73,43.71,44.69,45.65,-,178.33,-192.45,-,-,-,-,-,-,-,-,-,-
14,EV/FCF Ratio,-,-,35.92,29.03,27.96,65.51,152.74,816.61,-,-80.16,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.00,0.00,0.00,0.00,0.01,0.02,0.02,0.03,0.02,0.02,0.01,0.01,0.09,0.09,-,0.14,0.14
16,Debt / EBITDA Ratio,0.08,0.04,0.07,0.07,244.32,0.28,1.07,-,-,5.59,-,-,0.55,0.20,-,0.24,0.24
17,Debt / FCF Ratio,-,-,0.09,0.07,0.30,0.78,2.35,21.39,-,-1.20,-,-,-,0.17,-,0.33,0.66
18,Asset Turnover,-,0.26,0.24,0.15,0.23,0.15,0.13,0.07,0.13,0.09,-,-,-,-,1.46,-,
19,Inventory Turnover,-,-,2.27,2.75,1.59,2.09,1.12,1.33,0.60,1.46,0.64,-,-,-,-,5.05,-
20,Quick Ratio,-,-,12.07,10.57,13.59,9.60,10.51,13.80,32.87,28.78,29.98,42.34,-,3.47,-,3.25,3.25
21,Current Ratio,-,-,14.54,12.20,15.20,10.95,12.24,15.30,35.23,30.50,33.06,44.54,-,4.38,-,3.95,3.95
22,Return on Equity (ROE),4.74%,7.11%,5.53%,1.78%,9.73%,3.51%,1.48%,-0.39%,6.44%,-0.52%,6.78%,21.48%,-,-,50.26%,-,
23,Return on Assets (ROA),-,3.58%,1.72%,-0.20%,3.57%,1.06%,-0.97%,-1.55%,-0.31%,-0.94%,-,-,-,-,25.43%,-,
24,Return on Capital (ROIC),6.63%,3.70%,1.76%,-0.20%,3.64%,1.08%,-0.98%,-1.58%,-0.31%,-0.96%,-0.58%,9.07%,-,-,29.98%,-,
25,Return on Capital Employed (ROCE),-,-,3.54%,2.56%,-,0.88%,-0.72%,-,-,-,-,-,-,38.99%,-,26.61%,13.30%
26,Earnings Yield,2.04%,1.96%,3.07%,3.31%,2.47%,1.83%,1.43%,0.88%,0.96%,1.59%,1.63%,1.53%,-,-,-,-,-
27,FCF Yield,-,2.28%,2.59%,2.80%,1.24%,0.47%,0.07%,-0.57%,-0.70%,-0.03%,0.59%,-,-,-,-,-,
28,Dividend Yield,0.41%,-,-,-,-,0.51%,-,-,-,-,-,-,-,-,-,-,-
29,Payout Ratio,0.00%,-,55.31%,0.51%,2.98%,0.35%,2.81%,5.25%,-,0.83%,-,0.50%,1.76%,0.55%,1.23%,1.02%,1.02%
30,Buyback Yield / Dilution,4.71%,0.72%,6.29%,11.47%,-5.99%,5.06%,-9.96%,-24.81%,-27.30%,-27.38%,-31.27%,-24.62%,-2.52%,-,-,-,-
31,Total Shareholder Return,5.12%,0.72%,6.29%,11.47%,-5.99%,5.57%,-9.96%,-24.81%,-27.30%,-27.38%,-31.27%,-24.62%,-2.52%,-,-,-,-
