,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,-,378.41,482.73,589.59,367.46,429.16,479.96,1043,1069,1117,1144,-,197.41,-,150.86,150.86
1,Short-Term Investments,-,54.61,75.56,53.75,20.71,20.77,20.71,70.87,50.17,-,50,-,-,-,-,-
2,Trading Asset Securities,-,150.67,40.18,20.01,210.33,190.37,421.43,367.87,357.98,345,330,-,-,-,-,-
3,Cash & Short-Term Investments,583.69,583.69,598.46,663.34,598.5,640.3,922.09,1482,1477,1462,1524,197.41,197.41,-,150.86,150.86
4,Cash Growth,-2.48%,-8.84%,-35.10%,-55.24%,-59.48%,-56.19%,-39.50%,650.76%,648.19%,-,910.25%,30.86%,-,-,-,-
5,Accounts Receivable,-,26.58,26.54,21.25,33.74,20.28,17.86,20.68,31.32,11.65,9.94,-,19.44,-,20.46,20.46
6,Other Receivables,-,12.73,11.24,13.05,13.2,-,4.63,-,4.63,0.76,23.24,-,0.54,-,0.55,0.55
7,Receivables,-,39.31,41.74,34.3,46.94,20.28,22.49,20.68,35.95,12.41,33.18,-,19.99,-,21,21
8,Inventory,-,103.69,74.79,74.23,80.01,91.31,88.47,90.97,81.67,88,74.54,-,44.11,-,23.94,23.94
9,Other Current Assets,-,23.93,19.46,8.2,10.62,17.44,14.24,16.73,8.7,63.54,6.46,-,13.16,-,13.48,13.48
10,Total Current Assets,-,750.62,734.46,780.07,736.07,769.32,1047,1610,1603,1625,1638,-,274.66,-,209.28,209.28
11,"Property, Plant & Equipment",-,33.41,31.87,30.26,29.26,24.21,21.52,21.03,20.35,20.65,16.97,-,17.05,-,14.19,14.19
12,Long-Term Investments,-,1.49,949.42,2.45,980.21,2.62,1.12,1.94,74.24,3,-,-,-,-,-,-
13,Long-Term Deferred Tax Assets,-,5.93,6.29,7.37,7.2,5.18,5.18,1.11,2.14,0.77,0.77,-,0.73,-,0.46,0.46
14,Long-Term Deferred Charges,-,1.66,0.56,0.76,0.96,1.16,1.31,1.39,1.59,1.6,1.79,-,1.67,-,0.47,0.47
15,Other Long-Term Assets,-,956.26,0.33,880.98,0.49,920.1,655.54,62.14,0.23,20.59,0.86,-,0.42,-,0.51,0.51
16,Total Assets,-,1749,1723,1702,1754,1723,1732,1698,1702,1672,1659,-,294.52,-,224.9,224.9
17,Accounts Payable,-,26.7,21.07,12.26,15.43,10.98,8.98,8.96,6.58,10.48,11.31,-,16.66,-,11.76,11.76
18,Accrued Expenses,-,17.63,15.1,9.66,16.4,14.3,10.74,6.63,17.78,17.25,13.65,-,24.96,-,17.06,17.06
19,Short-Term Debt,-,-,-,19.65,27.45,31.59,42.58,24.41,22.81,18.61,8.21,-,14.94,-,18.67,18.67
20,Current Portion of Leases,-,1.74,2.11,2.19,2.5,2.3,2.35,2.4,2.06,-,-,-,-,-,0.15,0.15
21,Current Income Taxes Payable,-,2.13,-,0.9,0.43,0.83,-,0.48,-,1.05,-,-,-,-,-,-
22,Current Unearned Revenue,-,0.4,2.05,1.89,0.59,0.92,1.46,1.22,0.55,0.15,1.54,-,1.29,-,3.16,3.16
23,Other Current Liabilities,-,3.01,19.89,4.78,4.4,1.91,2.34,1.61,2.78,1.61,2.08,-,4.8,-,2.15,2.15
24,Total Current Liabilities,-,51.61,60.22,51.33,67.21,62.84,68.45,45.71,52.57,49.17,36.78,-,62.65,-,52.94,52.94
25,Long-Term Leases,-,5.1,2.32,1.22,1.61,1.61,2.12,2.77,2.33,5.05,5.36,-,6.21,-,4.6,4.6
26,Long-Term Unearned Revenue,-,0.12,0.16,0.19,0.23,-,-,-,-,-,-,-,-,-,-,-
27,Long-Term Deferred Tax Liabilities,-,1.17,0.73,0.55,0.71,0.96,0.96,0.03,1.11,-,-,-,-,-,-,-
28,Total Liabilities,-,58.01,63.42,53.29,69.75,65.41,71.53,48.5,56.01,54.21,42.14,-,68.86,-,57.54,57.54
29,Common Stock,-,84.95,84.95,83.33,83.33,83.33,83.33,81.67,80,80,80,-,60,-,60,60
30,Additional Paid-In Capital,-,1450,1444,1442,1438,1438,1435,1431,1427,1425,1421,-,78.03,-,66.9,66.9
31,Retained Earnings,-,242.81,213.03,206.64,199.22,158.56,143.99,137.92,139.45,113.19,115.32,-,87.59,-,40.43,40.43
32,Treasury Stock,-,-83.44,-80.18,-81.22,-34.53,-20.97,-,-,-,-,-,-,-,-,-,-
33,Comprehensive Income & Other,-,-2.6,-2.6,-1.78,-1.78,-1.46,-1.43,-1.08,-1.1,-0.01,0.01,-,0.04,-,0.03,0.03
34,Shareholders' Equity,1691,1691,1660,1649,1684,1657,1660,1650,1646,1618,1616,225.66,225.66,-,167.37,167.37
35,Total Liabilities & Equity,-,1749,1723,1702,1754,1723,1732,1698,1702,1672,1659,-,294.52,-,224.9,224.9
36,Total Debt,6.84,6.84,4.43,23.06,31.56,35.5,47.05,29.58,27.21,23.66,13.57,21.15,21.15,-,23.41,23.41
37,Net Cash (Debt),576.85,576.85,594.03,640.29,566.95,604.8,875.04,1452,1450,1438,1510,176.25,176.25,-,127.44,127.44
38,Net Cash Growth,1.75%,-4.62%,-32.11%,-55.92%,-60.89%,-57.94%,-42.07%,724.08%,722.54%,-,1085.21%,38.30%,-,-,-,-
39,Net Cash Per Share,7.01,6.99,7.00,7.51,6.84,6.87,9.13,18.06,16.62,17.96,19.66,2.79,2.57,-,2.07,2.07
40,Filing Date Shares Outstanding,82.23,80.53,82.36,82.51,80.71,82.96,83.33,81.67,80,80,80,60,80,60.67,60,60
41,Total Common Shares Outstanding,82.23,80.53,82.36,82.51,82.44,82.96,83.33,81.67,80,80,80,60,60,60.67,60,60
42,Working Capital,-,699,674.24,728.74,668.86,706.48,978.85,1565,1551,1576,1601,-,212.01,-,156.34,156.34
43,Book Value Per Share,21.00,21.00,20.15,19.98,20.43,19.97,19.93,20.20,20.57,20.22,20.21,3.76,3.76,-,2.79,2.79
44,Tangible Book Value,1691,1691,1660,1649,1684,1657,1660,1650,1646,1618,1616,225.66,225.66,-,167.37,167.37
45,Tangible Book Value Per Share,21.00,21.00,20.15,19.98,20.43,19.97,19.93,20.20,20.57,20.22,20.21,3.76,3.76,-,2.79,2.79
46,Machinery,-,-,46.71,-,40.5,-,30.31,-,26.68,-,20.44,-,17.61,-,14.99,14.99
