,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,111.9,114.48,102.74,63.89,98.14,66.46,55.75,28.84,55.15,35.71,55.59,53.39,92.74,82.51,81.97,81.97
1,Other Revenue,-,-0.07,0.07,-,0.12,-0.03,0.03,-,-,-,-,-,-,-,-,-
2,Revenue,111.9,114.4,102.82,63.89,98.25,66.43,55.79,28.84,55.15,35.71,55.59,53.39,92.74,82.51,81.97,81.97
3,Revenue Growth (YoY),13.89%,72.22%,84.30%,121.54%,78.17%,86.05%,0.36%,-45.98%,-40.54%,-56.73%,-32.18%,-34.87%,-,-,-,-
4,Cost of Revenue,-132.59,50.74,51.15,30.69,44.7,25.19,29.84,12.88,30.92,12.92,25.68,22.31,38.5,29.96,30.23,30.23
5,Gross Profit,244.49,63.66,51.66,33.21,53.55,41.24,25.95,15.97,24.23,22.79,29.91,31.08,54.24,52.55,51.74,51.74
6,"Selling, General & Admin",-35.8,12.15,12.72,10.93,10.13,11.48,14.18,10.36,8.82,11.35,13.7,8.83,11.96,14.57,11.83,11.83
7,Research & Development,-79.47,28.09,27.35,24.03,19.74,21.98,20.4,18.31,15.78,17.73,18.18,14.16,16.93,17.18,16.31,16.31
8,Other Operating Expenses,314.67,-1.43,-0.25,-0.24,-1.25,0.37,-1.95,-2.04,1.53,-0,0.29,-0.84,1.01,0.5,0.73,0.73
9,Operating Expenses,199.48,38.81,39.89,34.58,28.75,33.89,32.61,26.54,26.31,29.06,32.08,22.13,29.9,32.24,28.86,28.86
10,Operating Income,45,24.85,11.77,-1.37,24.8,7.35,-6.66,-10.57,-2.08,-6.27,-2.17,8.95,24.34,20.31,22.88,22.88
11,Interest Expense,-29.28,-,-0.18,-0.24,-0.32,-0.36,-0.41,-0.27,-,-0.17,-0.15,-0.27,-0.49,-0.09,-0.28,-0.28
12,Interest & Investment Income,0.41,9.5,9.73,10.05,10.38,11.56,9.12,8.84,18.1,6.3,2.93,0.58,0.55,0.44,0.26,0.26
13,Currency Exchange Gain (Loss),-,-0.14,0.14,-,0.13,-0.84,0.84,-,2.02,-1.65,1.65,-,-1.24,0.41,-0.21,-0.21
14,Other Non Operating Income (Expenses),-1.34,-0.67,-0.03,-0.02,-0.69,1.13,-0.77,-0.47,-19.01,2.77,13.31,2.86,1.62,-1.68,-0.02,-0.02
15,EBT Excluding Unusual Items,14.8,33.54,21.43,8.42,34.3,18.84,2.12,-2.47,-0.98,0.98,15.56,12.12,24.79,19.39,22.63,22.63
16,Gain (Loss) on Sale of Investments,-0.93,0.67,0.18,0.08,0.13,0.35,1.29,0.87,0.98,-,-,-,-,-,-,-
17,Gain (Loss) on Sale of Assets,0.56,-0.56,-,-,-0.49,-,-,0.03,-0,0,-0,-,-1.33,0.57,-0.29,-0.29
18,Asset Writedown,1.98,-1.98,1.42,-1.42,4.63,-4.63,-,-,3.1,-3.1,-,-,-,-,-,-
19,Other Unusual Items,-0.01,-1.07,1.08,0.01,0.1,-,-,-,22.89,-,-,-,3.47,-,-,-
